Genome,Region_Type,antiSMASH_classif,new_classif,From,To,Size(bp),Most_similar_known_ cluster,Most_similar_classif,Similarity,Correct_name
GCA_009664855.1,Region&nbsp4,bacteriocin,RiPPs,4200654.0,4215289,14635.0,,,,GCA_009664855_contig1.region004
GCA_009664855.1,Region&nbsp5,"arylpolyene,resorcinol",Others,5141359.0,5198593,57234.0,flexirubin,Polyketide,94%,GCA_009664855_contig1.region005
GCA_009664855.1,Region&nbsp6,terpene,terpene,5354114.0,5373491,19377.0,,,,GCA_009664855_contig1.region006
GCA_009664855.1,Region&nbsp7,terpene,terpene,6284641.0,6305480,20839.0,carotenoid,Terpene,28%,GCA_009664855_contig1.region007
GCA_001693415.1,Region&nbsp1.1,arylpolyene,Others,786158.0,827300,41142.0,,,,GCA_001693415_contig01.region001
GCA_001693415.1,Region&nbsp1.2,terpene,terpene,932357.0,953202,20845.0,carotenoid,Terpene,28%,GCA_001693415_contig01.region002
GCA_008692195.1,Region&nbsp1.1,betalactone,Others,72523.0,100505,27982.0,,,,GCA_008692195_contig01.region001
GCA_008692195.1,Region&nbsp10.1,terpene,terpene,51658.0,74374,22716.0,carotenoid,Terpene,28%,GCA_008692195_contig13.region001
GCA_008692195.1,Region&nbsp16.1,arylpolyene,Others,15734.0,58967,43233.0,flexirubin,Polyketide,25%,GCA_008692195_contig23.region001
GCA_008692195.1,Region&nbsp24.1,bacteriocin,RiPPs,12785.0,24569,11784.0,,,,GCA_008692195_contig32.region001
GCA_004341805.1,Region&nbsp1.1,bacteriocin,RiPPs,355944.0,366204,10260.0,,,,GCA_004341805_contig01.region001
GCA_004341805.1,Region&nbsp1.2,T3PKS,PKSIII,421838.0,462890,41052.0,,,,GCA_004341805_contig01.region002
GCA_004341805.1,Region&nbsp1.3,betalactone,Others,683089.0,713930,30841.0,,,,GCA_004341805_contig01.region003
GCA_004341805.1,Region&nbsp2.1,terpene,terpene,31959.0,52798,20839.0,carotenoid,Terpene,28%,GCA_004341805_contig02.region001
GCA_004341805.1,Region&nbsp4.1,lanthipeptide,RiPPs,47889.0,71976,24087.0,,,,GCA_004341805_contig04.region001
GCA_004341805.1,Region&nbsp4.2,"arylpolyene,resorcinol",Others,290906.0,346192,55286.0,flexirubin,Polyketide,88%,GCA_004341805_contig04.region002
GCA_004341805.1,Region&nbsp14.1,terpene,terpene,166691.0,187875,21184.0,,,,GCA_004341805_contig14.region001
GCA_004341805.1,Region&nbsp19.1,siderophore,Siderophore,46847.0,62827,15980.0,putrebactin / avaroferrin,Other,20%,GCA_004341805_contig19.region001
GCA_004341805.1,Region&nbsp20.1,"NRPS,T1PKS",NRPS_PKS_hybrid,1.0,49015,49014.0,occidiofungin A,NRP + Polyketide,11%,GCA_004341805_contig20.region001
GCA_004341805.1,Region&nbsp30.1,lanthipeptide,RiPPs,1.0,18423,18422.0,,,,GCA_004341805_contig30.region001
GCA_003688495.1,Region&nbsp2.1,terpene,terpene,164333.0,185520,21187.0,,,,GCA_003688495_contig02.region001
GCA_003688495.1,Region&nbsp3.1,"T3PKS,betalactone",PKSIII,130818.0,175082,44264.0,,,,GCA_003688495_contig03.region001
GCA_003688495.1,Region&nbsp4.1,terpene,terpene,428783.0,449625,20842.0,carotenoid,Terpene,28%,GCA_003688495_contig04.region001
GCA_000764795.1,Region&nbsp53.1,terpene,terpene,1.0,21407,21406.0,carotenoid,Terpene,28%,GCA_000764795_contig62.region001
GCA_000764795.1,Region&nbsp75.1,"T3PKS,arylpolyene",PKSIII,3333.0,47732,44399.0,,,,GCA_000764795_contig84.region001
GCA_900186425.1,Region&nbsp7.1,"arylpolyene,resorcinol",Others,156575.0,213683,57108.0,flexirubin,Polyketide,86%,GCA_900186425_contig07.region001
GCA_900186425.1,Region&nbsp8.1,siderophore,Siderophore,42431.0,54161,11730.0,,,,GCA_900186425_contig08.region001
GCA_900186425.1,Region&nbsp31.1,terpene,terpene,35636.0,60109,24473.0,carotenoid,Terpene,28%,GCA_900186425_contig31.region001
GCA_000422725.1,Region&nbsp1.1,T3PKS,PKSIII,789947.0,830999,41052.0,,,,GCA_000422725_contig01.region001
GCA_000422725.1,Region&nbsp4.1,terpene,terpene,122026.0,143171,21145.0,,,,GCA_000422725_contig04.region001
GCA_000422725.1,Region&nbsp5.1,terpene,terpene,16314.0,37153,20839.0,carotenoid,Terpene,28%,GCA_000422725_contig05.region001
GCA_000422725.1,Region&nbsp15.1,"arylpolyene,resorcinol",Others,23699.0,72826,49127.0,flexirubin,Polyketide,86%,GCA_000422725_contig15.region001
GCA_000687935.1,Region&nbsp1,T3PKS,PKSIII,1435940.0,1476992,41052.0,,,,GCA_000687935_contig1.region001
GCA_000687935.1,Region&nbsp2,terpene,terpene,3530280.0,3552768,22488.0,carotenoid,Terpene,28%,GCA_000687935_contig1.region002
GCA_012931685.1,Region&nbsp7.1,terpene,terpene,219150.0,239986,20836.0,carotenoid,Terpene,42%,GCA_012931685_contig07.region001
GCA_012931685.1,Region&nbsp7.2,"arylpolyene,resorcinol",Others,458618.0,512076,53458.0,flexirubin,Polyketide,75%,GCA_012931685_contig07.region002
GCA_002217285.1,Region&nbsp21.1,"T3PKS,NRPS,T1PKS",NRPS_PKS_hybrid,15117.0,138067,122950.0,anabaenopeptin NZ857 / nostamide A,NRP,100%,GCA_002217285_contig021.region001
GCA_002217285.1,Region&nbsp24.1,NRPS-like,NRPS,35016.0,80339,45323.0,,,,GCA_002217285_contig024.region001
GCA_002217285.1,Region&nbsp24.2,"NRPS,T1PKS",NRPS_PKS_hybrid,105854.0,155181,49327.0,colanic acid,Saccharide,9%,GCA_002217285_contig024.region002
GCA_002217285.1,Region&nbsp28.1,betalactone,Others,66091.0,96741,30650.0,,,,GCA_002217285_contig028.region001
GCA_002217285.1,Region&nbsp33.1,siderophore,Siderophore,11145.0,25969,14824.0,bisucaberin B,Other,66%,GCA_002217285_contig033.region001
GCA_002217285.1,Region&nbsp47.1,terpene,terpene,30178.0,51017,20839.0,carotenoid,Terpene,28%,GCA_002217285_contig047.region001
GCA_002217285.1,Region&nbsp80.1,terpene,terpene,88424.0,109641,21217.0,,,,GCA_002217285_contig080.region001
GCA_002217285.1,Region&nbsp80.2,ladderane,Others,138592.0,179836,41244.0,,,,GCA_002217285_contig080.region002
GCA_002217285.1,Region&nbsp90.1,"arylpolyene,resorcinol",Others,23569.0,79693,56124.0,flexirubin,Polyketide,88%,GCA_002217285_contig091.region001
GCA_014220885.1,Region&nbsp11.1,siderophore,Siderophore,59339.0,71153,11814.0,putrebactin / avaroferrin,Other,40%,GCA_014220885_contig11.region001
GCA_014220885.1,Region&nbsp22.1,lanthipeptide,RiPPs,175798.0,200152,24354.0,,,,GCA_014220885_contig22.region001
GCA_014220885.1,Region&nbsp25.1,terpene,terpene,123842.0,144678,20836.0,carotenoid,Terpene,28%,GCA_014220885_contig29.region001
GCA_900141955.1,Region&nbsp35.1,terpene,terpene,14028.0,34870,20842.0,carotenoid,Terpene,28%,GCA_900141955_contig35.region001
GCA_900141955.1,Region&nbsp43.1,T3PKS,PKSIII,35432.0,76484,41052.0,,,,GCA_900141955_contig43.region001
GCA_900141955.1,Region&nbsp46.1,"arylpolyene,resorcinol",Others,5552.0,59417,53865.0,flexirubin,Polyketide,75%,GCA_900141955_contig46.region001
GCA_002217435.1,Region&nbsp8.1,terpene,terpene,84611.0,105780,21169.0,,,,GCA_002217435_contig08.region001
GCA_002217435.1,Region&nbsp11.1,"arylpolyene,resorcinol",Others,62803.0,117652,54849.0,flexirubin,Polyketide,88%,GCA_002217435_contig11.region001
GCA_002217435.1,Region&nbsp23.1,"transAT-PKS-like,transAT-PKS",transAT_PSK,78317.0,177771,99454.0,bacillaene,Polyketide + NRP,14%,GCA_002217435_contig23.region001
GCA_002217435.1,Region&nbsp33.1,betalactone,Others,3441.0,34073,30632.0,,,,GCA_002217435_contig33.region001
GCA_002217435.1,Region&nbsp45.1,terpene,terpene,420621.0,439303,18682.0,carotenoid,Terpene,28%,GCA_002217435_contig47.region001
GCA_002954645.1,Region&nbsp1.1,terpene,terpene,690831.0,714024,23193.0,carotenoid,Terpene,28%,GCA_002954645_contig1.region001
GCA_002954645.1,Region&nbsp1.2,"arylpolyene,T3PKS",PKSIII,2149387.0,2193006,43619.0,,,,GCA_002954645_contig1.region002
GCA_001404985.1,Region&nbsp3.1,siderophore,Siderophore,4544.0,20491,15947.0,putrebactin / avaroferrin,Other,20%,GCA_001404985_contig03.region001
GCA_001404985.1,Region&nbsp4.1,NRPS-like,NRPS,744691.0,787777,43086.0,,,,GCA_001404985_contig04.region001
GCA_001404985.1,Region&nbsp6.1,"arylpolyene,resorcinol",Others,625338.0,681383,56045.0,flexirubin,Polyketide,88%,GCA_001404985_contig06.region001
GCA_001404985.1,Region&nbsp11.1,terpene,terpene,31590.0,52432,20842.0,carotenoid,Terpene,28%,GCA_001404985_contig11.region001
GCA_001404985.1,Region&nbsp12.1,NRPS,NRPS,1.0,6102,6101.0,,,,GCA_001404985_contig12.region001
GCA_001404985.1,Region&nbsp13.1,betalactone,Others,152699.0,183280,30581.0,,,,GCA_001404985_contig13.region001
GCA_001404985.1,Region&nbsp15.1,"NRPS,T1PKS,T3PKS",NRPS_PKS_hybrid,27946.0,167477,139531.0,,,,GCA_001404985_contig15.region001
GCA_001404985.1,Region&nbsp16.1,lanthipeptide,RiPPs,259380.0,283703,24323.0,,,,GCA_001404985_contig16.region001
GCA_001404985.1,Region&nbsp16.2,terpene,terpene,479670.0,500848,21178.0,,,,GCA_001404985_contig16.region002
GCA_003054025.1,Region&nbsp1.1,arylpolyene,Others,269.0,31503,31234.0,,,,GCA_003054025_contig01.region001
GCA_003054025.1,Region&nbsp1.2,arylpolyene,Others,114720.0,187164,72444.0,flexirubin,Polyketide,11%,GCA_003054025_contig01.region002
GCA_003201775.1,Region&nbsp4.1,terpene,terpene,83642.0,104478,20836.0,,,,GCA_003201775_contig04.region001
GCA_003201775.1,Region&nbsp4.2,"arylpolyene,resorcinol",Others,359618.0,412346,52728.0,flexirubin,Polyketide,75%,GCA_003201775_contig04.region002
GCA_003201775.1,Region&nbsp14.1,T3PKS,PKSIII,2501.0,43556,41055.0,,,,GCA_003201775_contig14.region001
GCA_003201775.1,Region&nbsp20.1,terpene,terpene,21101.0,41940,20839.0,carotenoid,Terpene,28%,GCA_003201775_contig20.region001
GCA_003201775.1,Region&nbsp32.1,terpene,terpene,2502.0,23656,21154.0,,,,GCA_003201775_contig32.region001
GCA_001439215.1,Region&nbsp1.1,terpene,terpene,86859.0,107710,20851.0,carotenoid,Terpene,28%,GCA_001439215_contig001.region001
GCA_001439215.1,Region&nbsp84.1,terpene,terpene,1.0,6151,6150.0,,,,GCA_001439215_contig084.region001
GCA_007993795.1,Region&nbsp1,terpene,terpene,150075.0,172524,22449.0,carotenoid,Terpene,28%,GCA_007993795_contig1.region001
GCA_007993795.1,Region&nbsp2,T3PKS,PKSIII,910086.0,951138,41052.0,,,,GCA_007993795_contig1.region002
GCA_007993795.1,Region&nbsp3,arylpolyene,Others,970488.0,1013676,43188.0,flexirubin,Polyketide,33%,GCA_007993795_contig1.region003
GCA_006491645.1,Region&nbsp1.1,terpene,terpene,134296.0,155135,20839.0,carotenoid,Terpene,28%,GCA_006491645_contig01.region001
GCA_006491645.1,Region&nbsp2.1,T3PKS,PKSIII,158603.0,199655,41052.0,,,,GCA_006491645_contig02.region001
GCA_006491645.1,Region&nbsp7.1,terpene,terpene,22317.0,43402,21085.0,,,,GCA_006491645_contig07.region001
GCA_006491645.1,Region&nbsp7.2,lanthipeptide,RiPPs,59823.0,88341,28518.0,,,,GCA_006491645_contig07.region002
GCA_014305215.1,Region&nbsp1.1,arylpolyene,Others,12988.0,54151,41163.0,,,,GCA_014305215_contig01.region001
GCA_014305215.1,Region&nbsp1.2,terpene,terpene,113668.0,134819,21151.0,bacillomycin D,Polyketide + NRP:Lipopeptide,20%,GCA_014305215_contig01.region002
GCA_014305215.1,Region&nbsp3.1,terpene,terpene,15062.0,35901,20839.0,carotenoid,Terpene,28%,GCA_014305215_contig03.region001
GCA_014305215.1,Region&nbsp12.1,"T3PKS,betalactone",PKSIII,530062.0,574156,44094.0,,,,GCA_014305215_contig12.region001
GCA_004328055.1,Region&nbsp8.1,"NRPS,T1PKS",NRPS_PKS_hybrid,271676.0,323271,51595.0,,,,GCA_004328055_contig10.region001
GCA_004328055.1,Region&nbsp13.1,terpene,terpene,44412.0,65251,20839.0,carotenoid,Terpene,28%,GCA_004328055_contig15.region001
GCA_000971735.2,Region&nbsp1,terpene,terpene,1575288.0,1599761,24473.0,carotenoid,Terpene,28%,GCA_000971735_contig1.region001
GCA_000971735.2,Region&nbsp2,"arylpolyene,resorcinol",Others,2522142.0,2579250,57108.0,flexirubin,Polyketide,86%,GCA_000971735_contig1.region002
GCA_000971735.2,Region&nbsp3,siderophore,Siderophore,2751260.0,2762990,11730.0,,,,GCA_000971735_contig1.region003
GCA_004762155.1,Region&nbsp9.1,ladderane,Others,1.0,21092,21091.0,,,,GCA_004762155_contig09.region001
GCA_004762155.1,Region&nbsp11.1,siderophore,Siderophore,62989.0,78022,15033.0,bisucaberin B,Other,100%,GCA_004762155_contig11.region001
GCA_004762155.1,Region&nbsp32.1,terpene,terpene,134564.0,155409,20845.0,carotenoid,Terpene,28%,GCA_004762155_contig32.region001
GCA_004762155.1,Region&nbsp42.1,T3PKS,PKSIII,273963.0,315015,41052.0,,,,GCA_004762155_contig42.region001
GCA_004762155.1,Region&nbsp45.1,NRPS,NRPS,117142.0,202622,85480.0,,,,GCA_004762155_contig45.region001
GCA_000518525.1,Region&nbsp5.1,terpene,terpene,13065.0,35510,22445.0,carotenoid,Terpene,28%,GCA_000518525_contig05.region001
GCA_004122105.1,Region&nbsp7.1,terpene,terpene,679776.0,700918,21142.0,bacillomycin D,Polyketide + NRP:Lipopeptide,20%,GCA_004122105_contig11.region001
GCA_004122105.1,Region&nbsp10.1,terpene,terpene,128537.0,149376,20839.0,carotenoid,Terpene,28%,GCA_004122105_contig31.region001
GCA_002482945.1,Region&nbsp8.1,T3PKS,PKSIII,1100.0,38263,37163.0,,,,GCA_002482945_contig08.region001
GCA_002482945.1,Region&nbsp18.1,terpene,terpene,120842.0,141981,21139.0,,,,GCA_002482945_contig18.region001
GCA_002482945.1,Region&nbsp27.1,terpene,terpene,1.0,13500,13499.0,carotenoid,Terpene,28%,GCA_002482945_contig27.region001
GCA_000829375.1,Region&nbsp1,terpene,terpene,84995.0,104729,19734.0,TP-1161,RiPP:Thiopeptide,12%,GCA_000829375_contig1.region001
GCA_000829375.1,Region&nbsp2,NRPS-like,NRPS,472492.0,514018,41526.0,,,,GCA_000829375_contig1.region002
GCA_000829375.1,Region&nbsp3,NRPS,NRPS,579508.0,663748,84240.0,,,,GCA_000829375_contig1.region003
GCA_000829375.1,Region&nbsp4,"ladderane,terpene",Others,2216034.0,2270906,54872.0,,,,GCA_000829375_contig1.region004
GCA_000829375.1,Region&nbsp5,bacteriocin,RiPPs,2563388.0,2574485,11097.0,,,,GCA_000829375_contig1.region005
GCA_000829375.1,Region&nbsp6,ladderane,Others,3314648.0,3355892,41244.0,,,,GCA_000829375_contig1.region006
GCA_000829375.1,Region&nbsp7,terpene,terpene,3455018.0,3475176,20158.0,carotenoid,Terpene,28%,GCA_000829375_contig1.region007
GCA_000829375.1,Region&nbsp8,NRPS-like,NRPS,3752417.0,3795485,43068.0,,,,GCA_000829375_contig1.region008
GCA_000829375.1,Region&nbsp9,terpene,terpene,3822647.0,3843687,21040.0,,,,GCA_000829375_contig1.region009
GCA_000829375.1,Region&nbsp10,"hglE-KS,T1PKS,lanthipeptide",PKS_other,4097133.0,4167015,69882.0,,,,GCA_000829375_contig1.region010
GCA_000829375.1,Region&nbsp11,microviridin,RiPPs,4255355.0,4275573,20218.0,,,,GCA_000829375_contig1.region011
GCA_000829375.1,Region&nbsp12,"resorcinol,arylpolyene",Others,5273183.0,5339401,66218.0,flexirubin,Polyketide,75%,GCA_000829375_contig1.region012
GCA_004016525.1,Region&nbsp3.1,T3PKS,PKSIII,1.0,30580,30579.0,,,,GCA_004016525_contig03.region001
GCA_004016525.1,Region&nbsp4.1,terpene,terpene,13679.0,34521,20842.0,carotenoid,Terpene,28%,GCA_004016525_contig04.region001
GCA_004016525.1,Region&nbsp7.1,T3PKS,PKSIII,24876.0,66084,41208.0,,,,GCA_004016525_contig07.region001
GCA_004016525.1,Region&nbsp11.1,arylpolyene,Others,380000.0,421154,41154.0,,,,GCA_004016525_contig11.region001
GCA_004016525.1,Region&nbsp11.2,terpene,terpene,453663.0,474808,21145.0,,,,GCA_004016525_contig11.region002
GCA_000422365.1,Region&nbsp6.1,terpene,terpene,13136.0,35576,22440.0,carotenoid,Terpene,28%,GCA_000422365_contig06.region001
GCA_014219395.1,Region&nbsp18.1,terpene,terpene,546223.0,567059,20836.0,carotenoid,Terpene,28%,GCA_014219395_contig20.region001
GCA_014219395.1,Region&nbsp22.1,siderophore,Siderophore,123701.0,135521,11820.0,putrebactin / avaroferrin,Other,40%,GCA_014219395_contig24.region001
GCA_003860585.1,Region&nbsp1,terpene,terpene,397265.0,416334,19069.0,carotenoid,Terpene,28%,GCA_003860585_contig1.region001
GCA_003860585.1,Region&nbsp2,terpene,terpene,911681.0,932841,21160.0,,,,GCA_003860585_contig1.region002
GCA_003860585.1,Region&nbsp3,T3PKS,PKSIII,986826.0,1027878,41052.0,,,,GCA_003860585_contig1.region003
GCA_001686925.1,Region&nbsp19.1,"NRPS-like,T3PKS",NRPS_PKS_hybrid,1.0,36044,36043.0,,,,GCA_001686925_contig21.region001
GCA_001686925.1,Region&nbsp24.1,bacteriocin,RiPPs,742475.0,756521,14046.0,,,,GCA_001686925_contig27.region001
GCA_001686925.1,Region&nbsp24.2,betalactone,Others,875456.0,906141,30685.0,,,,GCA_001686925_contig27.region002
GCA_001686925.1,Region&nbsp35.1,terpene,terpene,429890.0,450729,20839.0,carotenoid,Terpene,28%,GCA_001686925_contig42.region001
GCA_001686925.1,Region&nbsp37.1,"arylpolyene,resorcinol",Others,283217.0,338945,55728.0,flexirubin,Polyketide,94%,GCA_001686925_contig46.region001
GCA_001686925.1,Region&nbsp37.2,terpene,terpene,497238.0,518443,21205.0,,,,GCA_001686925_contig46.region002
GCA_003057865.1,Region&nbsp2.1,terpene,terpene,58381.0,79223,20842.0,carotenoid,Terpene,28%,GCA_003057865_contig02.region001
GCA_003057865.1,Region&nbsp3.1,terpene,terpene,176921.0,198114,21193.0,,,,GCA_003057865_contig03.region001
GCA_002899825.2,Region&nbsp1.1,bacteriocin,RiPPs,128516.0,139613,11097.0,,,,GCA_002899825_contig001.region001
GCA_002899825.2,Region&nbsp1.2,siderophore,Siderophore,671522.0,687072,15550.0,putrebactin / avaroferrin,Other,20%,GCA_002899825_contig001.region002
GCA_002899825.2,Region&nbsp1.3,ladderane,Others,850785.0,892035,41250.0,,,,GCA_002899825_contig001.region003
GCA_002899825.2,Region&nbsp1.4,terpene,terpene,919056.0,938866,19810.0,,,,GCA_002899825_contig001.region004
GCA_002899825.2,Region&nbsp1.5,terpene,terpene,1066028.0,1088875,22847.0,,,,GCA_002899825_contig001.region005
GCA_002899825.2,Region&nbsp1.6,terpene,terpene,1244129.0,1264965,20836.0,carotenoid,Terpene,28%,GCA_002899825_contig001.region006
GCA_002899825.2,Region&nbsp1.7,"hglE-KS,T1PKS",PKS_other,1337276.0,1388579,51303.0,,,,GCA_002899825_contig001.region007
GCA_002899825.2,Region&nbsp12.1,"ladderane,terpene",Others,534155.0,588836,54681.0,,,,GCA_002899825_contig044.region001
GCA_002899825.2,Region&nbsp12.2,lanthipeptide,RiPPs,666251.0,690455,24204.0,,,,GCA_002899825_contig044.region002
GCA_002899825.2,Region&nbsp12.3,microviridin,RiPPs,1026649.0,1047155,20506.0,,,,GCA_002899825_contig044.region003
GCA_002899825.2,Region&nbsp16.1,lanthipeptide,RiPPs,262145.0,286282,24137.0,,,,GCA_002899825_contig055.region001
GCA_002899825.2,Region&nbsp16.2,NRPS,NRPS,733209.0,783594,50385.0,,,,GCA_002899825_contig055.region002
GCA_002899825.2,Region&nbsp17.1,NRPS-like,NRPS,441961.0,483773,41812.0,,,,GCA_002899825_contig066.region001
GCA_002899825.2,Region&nbsp17.2,NRPS,NRPS,542695.0,608323,65628.0,,,,GCA_002899825_contig066.region002
GCA_002899825.2,Region&nbsp18.1,"arylpolyene,resorcinol",Others,236791.0,301178,64387.0,flexirubin,Polyketide,72%,GCA_002899825_contig077.region001
GCA_008017345.1,Region&nbsp6.1,terpene,terpene,250844.0,271986,21142.0,,,,GCA_008017345_contig08.region001
GCA_008017345.1,Region&nbsp28.1,terpene,terpene,240363.0,261205,20842.0,carotenoid,Terpene,28%,GCA_008017345_contig30.region001
GCA_900610305.1,Region&nbsp51.1,"arylpolyene,resorcinol",Others,42879.0,99987,57108.0,flexirubin,Polyketide,86%,GCA_900610305_contig057.region001
GCA_900610305.1,Region&nbsp58.1,siderophore,Siderophore,14298.0,24543,10245.0,,,,GCA_900610305_contig064.region001
GCA_009993865.1,Region&nbsp29.1,terpene,terpene,96572.0,119036,22464.0,carotenoid,Terpene,28%,GCA_009993865_contig029.region001
GCA_002379725.1,Region&nbsp61.1,"arylpolyene,resorcinol",Others,37991.0,90285,52294.0,flexirubin,Polyketide,69%,GCA_002379725_contig061.region001
GCA_002379725.1,Region&nbsp76.1,terpene,terpene,4920.0,22682,17762.0,carotenoid,Terpene,28%,GCA_002379725_contig076.region001
GCA_900111025.1,Region&nbsp2.1,terpene,terpene,1492675.0,1515125,22450.0,carotenoid,Terpene,28%,GCA_900111025_contig02.region001
GCA_900111025.1,Region&nbsp3.1,NRPS,NRPS,149348.0,205070,55722.0,,,,GCA_900111025_contig03.region001
GCA_000744105.1,Region&nbsp1,terpene,terpene,460959.0,479534,18575.0,,,,GCA_000744105_contig1.region001
GCA_000744105.1,Region&nbsp2,"NRPS,T1PKS",NRPS_PKS_hybrid,631624.0,684315,52691.0,polysaccharide B,Saccharide,6%,GCA_000744105_contig1.region002
GCA_000744105.1,Region&nbsp3,terpene,terpene,1508559.0,1529398,20839.0,carotenoid,Terpene,28%,GCA_000744105_contig1.region003
GCA_000744105.1,Region&nbsp4,T3PKS,PKSIII,2586351.0,2627406,41055.0,,,,GCA_000744105_contig1.region004
GCA_900115115.1,Region&nbsp25.1,"arylpolyene,resorcinol",Others,4968.0,59058,54090.0,flexirubin,Polyketide,69%,GCA_900115115_contig25.region001
GCA_900115115.1,Region&nbsp33.1,terpene,terpene,2540.0,17848,15308.0,carotenoid,Terpene,28%,GCA_900115115_contig33.region001
GCA_900130035.1,Region&nbsp1.1,bacteriocin,RiPPs,255014.0,265844,10830.0,,,,GCA_900130035_contig01.region001
GCA_900130035.1,Region&nbsp3.1,terpene,terpene,567224.0,588060,20836.0,carotenoid,Terpene,28%,GCA_900130035_contig03.region001
GCA_004349155.1,Region&nbsp1.1,"arylpolyene,resorcinol",Others,314676.0,369261,54585.0,flexirubin,Polyketide,83%,GCA_004349155_contig01.region001
GCA_004349155.1,Region&nbsp1.2,terpene,terpene,613985.0,635136,21151.0,bacillomycin D,Polyketide + NRP:Lipopeptide,20%,GCA_004349155_contig01.region002
GCA_004349155.1,Region&nbsp3.1,"betalactone,T3PKS",PKSIII,14645.0,58239,43594.0,,,,GCA_004349155_contig03.region001
GCA_004349155.1,Region&nbsp23.1,terpene,terpene,60615.0,81454,20839.0,carotenoid,Terpene,28%,GCA_004349155_contig23.region001
GCA_004349155.1,Region&nbsp27.1,T3PKS,PKSIII,14397.0,55617,41220.0,,,,GCA_004349155_contig27.region001
GCA_002422665.1,Region&nbsp8.1,terpene,terpene,11159.0,32007,20848.0,carotenoid,Terpene,28%,GCA_002422665_contig008.region001
GCA_900141785.1,Region&nbsp6.1,siderophore,Siderophore,181732.0,194161,12429.0,bisucaberin B,Other,83%,GCA_900141785_contig06.region001
GCA_900141785.1,Region&nbsp8.1,NRPS-like,NRPS,91634.0,135344,43710.0,,,,GCA_900141785_contig08.region001
GCA_900141785.1,Region&nbsp10.1,lanthipeptide,RiPPs,87029.0,111397,24368.0,,,,GCA_900141785_contig10.region001
GCA_900141785.1,Region&nbsp10.2,terpene,terpene,187949.0,209088,21139.0,,,,GCA_900141785_contig10.region002
GCA_900141785.1,Region&nbsp11.1,lanthipeptide,RiPPs,299590.0,324798,25208.0,,,,GCA_900141785_contig11.region001
GCA_900141785.1,Region&nbsp16.1,terpene,terpene,406105.0,426944,20839.0,carotenoid,Terpene,28%,GCA_900141785_contig16.region001
GCA_900141785.1,Region&nbsp18.1,T3PKS,PKSIII,723192.0,764244,41052.0,,,,GCA_900141785_contig18.region001
GCA_900141785.1,Region&nbsp23.1,"T1PKS,NRPS",NRPS_PKS_hybrid,1.0,35007,35006.0,,,,GCA_900141785_contig23.region001
GCA_900141785.1,Region&nbsp27.1,NRPS,NRPS,1.0,37682,37681.0,,,,GCA_900141785_contig27.region001
