,Assembly accession,ORFs,CAZymes,Peptidases,index,Merops orfs total
157,GCA_003054025.1,2344,66,,GCA_003054025.1,75
158,GCA_003687725.1,2694,42,,GCA_003687725.1,116
159,GCA_900156975.1,3450,90,,GCA_900156975.1,155
160,GCA_002022085.1,3898,113,,GCA_002022085.1,173
161,GCA_013214065.1,3287,70,,GCA_013214065.1,171
162,GCA_013001145.1,2435,65,,GCA_013001145.1,113
163,GCA_014219985.1,4346,94,,GCA_014219985.1,194
164,GCA_002784145.1,2677,73,,GCA_002784145.1,111
165,GCA_002697885.1,2628,94,,GCA_002697885.1,106
166,GCA_000218485.2,3566,117,,GCA_000218485.2,126
167,GCA_014218945.1,4167,86,,GCA_014218945.1,160
168,GCA_002383165.1,2664,66,,GCA_002383165.1,111
169,GCA_008124555.1,4002,112,,GCA_008124555.1,183
170,GCA_900453765.1,3727,36,,GCA_900453765.1,139
171,GCA_000735105.1,3959,96,,GCA_000735105.1,156
172,GCA_013042345.1,2191,44,,GCA_013042345.1,86
173,GCA_001280505.1,3576,155,,GCA_001280505.1,150
174,GCA_003386855.1,4659,225,,GCA_003386855.1,184
175,GCA_003055625.1,2996,87,,GCA_003055625.1,126
176,GCA_004362015.1,4292,196,,GCA_004362015.1,159
177,GCA_012522185.1,2457,43,,GCA_012522185.1,105
178,GCA_903819445.1,4604,247,,GCA_903819445.1,166
179,GCA_000355905.1,2975,65,,GCA_000355905.1,118
180,GCA_900092065.1,3775,108,,GCA_900092065.1,162
181,GCA_004213965.1,953,18,,GCA_004213965.1,54
182,GCA_900108395.1,2829,30,,GCA_900108395.1,93
183,GCA_006539785.1,3162,83,,GCA_006539785.1,145
184,GCA_000423005.1,3840,143,,GCA_000423005.1,170
185,GCA_000186265.1,4280,132,,GCA_000186265.1,143
186,GCA_007997205.1,4255,91,,GCA_007997205.1,170
187,GCA_000769435.1,2866,84,,GCA_000769435.1,128
188,GCA_000744495.1,4078,133,,GCA_000744495.1,178
189,GCA_003312915.1,4117,194,,GCA_003312915.1,159
190,GCA_004363695.1,2514,55,,GCA_004363695.1,102
191,GCA_000429545.1,4103,142,,GCA_000429545.1,153
192,GCA_003433355.1,2394,55,,GCA_003433355.1,107
193,GCA_000832125.1,4502,205,,GCA_000832125.1,170
194,GCA_003095375.1,3121,43,,GCA_003095375.1,134
195,GCA_013403955.1,3648,118,,GCA_013403955.1,141
196,GCA_002700465.1,1094,23,,GCA_002700465.1,54
197,GCA_004364165.1,3843,121,,GCA_004364165.1,162
198,GCA_009690765.1,2084,43,,GCA_009690765.1,83
199,GCA_004293045.1,1533,40,,GCA_004293045.1,62
200,GCA_013003655.1,1771,34,,GCA_013003655.1,82
201,GCA_013457195.1,2497,55,,GCA_013457195.1,107
202,GCA_000152985.1,3662,156,,GCA_000152985.1,154
203,GCA_002375625.1,2597,41,,GCA_002375625.1,112
204,GCA_900129445.1,3469,109,,GCA_900129445.1,133
205,GCA_001686925.1,4998,232,,GCA_001686925.1,186
206,GCA_002979755.1,4505,98,,GCA_002979755.1,214
207,GCA_001670695.1,1915,38,,GCA_001670695.1,90
208,GCA_001278825.1,2232,85,,GCA_001278825.1,83
209,GCA_002428305.1,2698,66,,GCA_002428305.1,110
210,GCA_900610335.1,2328,49,,GCA_900610335.1,105
211,GCA_003443675.1,5073,156,,GCA_003443675.1,223
212,GCA_900141955.1,3074,44,,GCA_900141955.1,133
213,GCA_002480405.1,3750,83,,GCA_002480405.1,168
214,GCA_900187185.1,2626,66,,GCA_900187185.1,106
215,GCA_900112115.1,2980,65,,GCA_900112115.1,136
216,GCA_003253545.1,2851,42,,GCA_003253545.1,103
217,GCA_900142685.1,5172,198,,GCA_900142685.1,200
218,GCA_002433505.1,3091,150,,GCA_002433505.1,130
219,GCA_003515005.1,4427,103,,GCA_003515005.1,192
220,GCA_006714895.1,3195,81,,GCA_006714895.1,135
221,GCA_900186405.1,2409,56,,GCA_900186405.1,107
222,GCA_008000935.1,3670,95,,GCA_008000935.1,145
223,GCA_014145665.1,3047,31,,GCA_014145665.1,119
224,GCA_012959395.1,1358,36,,GCA_012959395.1,85
225,GCA_009834475.1,3592,50,,GCA_009834475.1,149
226,GCA_002023715.1,3761,115,,GCA_002023715.1,172
227,GCA_002899825.2,4629,106,,GCA_002899825.2,220
228,GCA_013001285.1,2551,63,,GCA_013001285.1,126
229,GCA_013042315.1,2679,64,,GCA_013042315.1,124
230,GCA_002023515.1,3858,106,,GCA_002023515.1,175
231,GCA_013376415.1,3365,93,,GCA_013376415.1,154
232,GCA_012273575.1,3368,62,,GCA_012273575.1,115
233,GCA_009994075.1,2525,69,,GCA_009994075.1,102
234,GCA_000827715.1,2294,72,,GCA_000827715.1,92
235,GCA_007994155.1,2747,79,,GCA_007994155.1,134
236,GCA_014202225.1,3559,201,,GCA_014202225.1,109
237,GCA_000967805.1,3595,53,,GCA_000967805.1,141
238,GCA_002836595.1,4083,42,,GCA_002836595.1,173
239,GCA_002483315.1,2583,56,,GCA_002483315.1,105
240,GCA_002893765.1,3648,187,,GCA_002893765.1,108
241,GCA_002217195.1,4931,209,,GCA_002217195.1,183
242,GCA_000799335.1,4635,111,,GCA_000799335.1,226
243,GCA_002843925.1,3750,108,,GCA_002843925.1,177
244,GCA_000064305.2,2505,56,,GCA_000064305.2,108
245,GCA_006175945.1,4607,78,,GCA_006175945.1,175
246,GCA_002478375.1,2914,43,,GCA_002478375.1,129
247,GCA_002217395.1,4233,175,,GCA_002217395.1,165
248,GCA_900129585.1,3196,74,,GCA_900129585.1,133
249,GCA_002023335.1,4046,113,,GCA_002023335.1,182
250,GCA_000735205.1,3581,110,,GCA_000735205.1,169
251,GCA_002453055.1,2495,51,,GCA_002453055.1,102
252,GCA_002023365.1,3994,109,,GCA_002023365.1,180
253,GCA_013366395.1,3575,100,,GCA_013366395.1,158
254,GCA_003565575.1,2197,55,,GCA_003565575.1,94
255,GCA_003497625.1,2388,48,,GCA_003497625.1,98
256,GCA_002707025.1,2826,57,,GCA_002707025.1,113
257,GCA_009495795.1,2660,60,,GCA_009495795.1,101
258,GCA_900610305.1,2132,46,,GCA_900610305.1,101
259,GCA_900186785.1,2375,55,,GCA_900186785.1,104
260,GCA_002699605.1,1752,37,,GCA_002699605.1,69
261,GCA_003795085.1,2363,63,,GCA_003795085.1,85
262,GCA_003433335.1,2383,55,,GCA_003433335.1,107
263,GCA_014305215.1,2957,73,,GCA_014305215.1,137
264,GCA_003510655.1,3217,113,,GCA_003510655.1,103
265,GCA_004799345.1,3067,85,,GCA_004799345.1,160
266,GCA_900186415.1,2358,56,,GCA_900186415.1,107
267,GCA_013403865.1,3518,96,,GCA_013403865.1,139
268,GCA_002452975.1,3215,77,,GCA_002452975.1,163
269,GCA_013394655.1,3994,122,,GCA_013394655.1,157
270,GCA_000379185.1,2297,80,,GCA_000379185.1,87
271,GCA_900157035.1,3791,103,,GCA_900157035.1,172
272,GCA_013043005.1,2025,49,,GCA_013043005.1,102
273,GCA_900142565.1,3111,54,,GCA_900142565.1,147
274,GCA_001027725.1,4299,113,,GCA_001027725.1,191
275,GCA_009690645.1,2106,46,,GCA_009690645.1,85
276,GCA_003550275.1,2982,95,,GCA_003550275.1,146
277,GCA_009753805.1,3672,88,,GCA_009753805.1,146
278,GCA_000496015.1,3942,106,,GCA_000496015.1,166
279,GCA_004801375.1,3524,46,,GCA_004801375.1,129
280,GCA_003001695.1,4098,85,,GCA_003001695.1,185
281,GCA_900610025.1,2416,56,,GCA_900610025.1,108
282,GCA_009827835.1,1990,30,,GCA_009827835.1,86
283,GCA_003634755.1,2946,69,,GCA_003634755.1,138
284,GCA_014305155.1,3622,88,,GCA_014305155.1,147
285,GCA_003815955.1,4688,106,,GCA_003815955.1,200
286,GCA_003812705.1,4853,99,,GCA_003812705.1,215
287,GCA_001602525.1,5035,197,,GCA_001602525.1,198
288,GCA_003148385.1,3279,88,,GCA_003148385.1,124
289,GCA_014219455.1,3849,108,,GCA_014219455.1,157
290,GCA_000775755.1,3250,132,,GCA_000775755.1,119
291,GCA_000766805.1,2604,86,,GCA_000766805.1,118
292,GCA_002023475.1,4119,108,,GCA_002023475.1,182
293,GCA_013041785.1,2243,52,,GCA_013041785.1,95
294,GCA_001464475.1,3208,85,,GCA_001464475.1,128
295,GCA_000024125.1,3111,90,,GCA_000024125.1,160
296,GCA_002887275.1,3465,103,,GCA_002887275.1,157
297,GCA_004378585.1,3141,129,,GCA_004378585.1,128
298,GCA_013343195.3,2463,56,,GCA_013343195.3,108
299,GCA_013389595.1,3227,36,,GCA_013389595.1,110
300,GCA_900119185.1,4222,171,,GCA_900119185.1,164
301,GCA_009915155.1,2576,63,,GCA_009915155.1,109
302,GCA_004785645.1,3444,44,,GCA_004785645.1,148
303,GCA_001403755.1,2379,45,,GCA_001403755.1,105
304,GCA_014219285.1,3836,108,,GCA_014219285.1,158
305,GCA_004337635.1,3482,33,,GCA_004337635.1,134
306,GCA_002072105.2,3120,135,,GCA_002072105.2,124
307,GCA_000520995.1,5405,88,,GCA_000520995.1,269
308,GCA_014305175.1,3624,88,,GCA_014305175.1,147
309,GCA_900239495.1,2461,27,,GCA_900239495.1,104
310,GCA_001045435.1,2946,65,,GCA_001045435.1,107
311,GCA_002024805.1,4134,111,,GCA_002024805.1,180
312,GCA_900186685.1,2465,56,,GCA_900186685.1,112
313,GCA_003516285.1,2973,70,,GCA_003516285.1,131
314,GCA_002383055.1,3490,197,,GCA_002383055.1,121
315,GCA_003852675.1,3071,33,,GCA_003852675.1,149
316,GCA_003626845.1,4494,130,,GCA_003626845.1,215
317,GCA_000382125.1,3485,93,,GCA_000382125.1,182
318,GCA_004023655.1,2944,39,,GCA_004023655.1,117
319,GCA_004137745.1,4496,107,,GCA_004137745.1,199
320,GCA_004119495.1,4189,185,,GCA_004119495.1,167
321,GCA_003076475.1,3815,105,,GCA_003076475.1,154
322,GCA_900114265.1,3662,158,,GCA_900114265.1,154
323,GCA_000755265.1,3638,61,,GCA_000755265.1,117
324,GCA_002238525.1,2460,44,,GCA_002238525.1,71
325,GCA_002686575.1,3332,74,,GCA_002686575.1,134
326,GCA_900109935.1,4036,111,,GCA_900109935.1,150
327,GCA_002204825.1,2647,59,,GCA_002204825.1,115
328,GCA_000799565.1,3502,77,,GCA_000799565.1,177
329,GCA_002943105.1,2602,62,,GCA_002943105.1,109
330,GCA_014204235.1,3805,76,,GCA_014204235.1,176
331,GCA_003260205.1,3188,90,,GCA_003260205.1,144
332,GCA_001438125.1,1727,38,,GCA_001438125.1,76
333,GCA_014220515.1,4330,94,,GCA_014220515.1,193
334,GCA_001951155.1,3553,179,,GCA_001951155.1,137
335,GCA_000422685.1,3109,65,,GCA_000422685.1,123
336,GCA_014220345.1,4352,94,,GCA_014220345.1,194
337,GCA_004634245.1,4293,227,,GCA_004634245.1,179
338,GCA_003626865.1,4947,153,,GCA_003626865.1,222
339,GCA_002698895.1,4165,197,,GCA_002698895.1,155
340,GCA_014220165.1,4361,95,,GCA_014220165.1,193
341,GCA_000518525.1,3176,85,,GCA_000518525.1,120
342,GCA_012273615.1,3771,86,,GCA_012273615.1,179
343,GCA_001481655.1,4026,41,,GCA_001481655.1,135
344,GCA_004362055.1,4495,209,,GCA_004362055.1,190
345,GCA_000833025.1,3572,33,,GCA_000833025.1,133
346,GCA_003476385.1,1386,27,,GCA_003476385.1,60
347,GCA_014218785.1,4912,107,,GCA_014218785.1,203
348,GCA_001670805.1,1927,34,,GCA_001670805.1,82
349,GCA_900610135.1,2326,50,,GCA_900610135.1,104
350,GCA_006385255.1,3644,63,,GCA_006385255.1,147
351,GCA_001482795.1,3697,108,,GCA_001482795.1,160
352,GCA_001447995.1,3790,125,,GCA_001447995.1,152
353,GCA_002023055.1,3463,103,,GCA_002023055.1,157
354,GCA_002302515.1,2189,75,,GCA_002302515.1,91
355,GCA_002470765.1,1685,34,,GCA_002470765.1,88
356,GCA_002702895.1,1712,36,,GCA_002702895.1,84
357,GCA_014220005.1,4345,94,,GCA_014220005.1,194
358,GCA_002400885.1,2339,53,,GCA_002400885.1,97
359,GCA_009735585.1,3085,88,,GCA_009735585.1,137
360,GCA_011784885.1,2571,70,,GCA_011784885.1,105
361,GCA_002702875.1,1574,37,,GCA_002702875.1,54
362,GCA_003860545.1,2360,67,,GCA_003860545.1,104
363,GCA_002162685.1,3321,82,,GCA_002162685.1,172
364,GCA_008386485.1,4645,95,,GCA_008386485.1,222
365,GCA_002721175.1,1472,43,,GCA_002721175.1,70
366,GCA_001670685.1,1923,34,,GCA_001670685.1,82
367,GCA_003143755.1,2945,110,,GCA_003143755.1,116
368,GCA_001297705.1,5012,115,,GCA_001297705.1,202
369,GCA_900156575.1,4410,102,,GCA_900156575.1,198
370,GCA_900110605.1,3825,95,,GCA_900110605.1,149
371,GCA_001641185.1,2789,67,,GCA_001641185.1,121
372,GCA_000820645.1,4387,112,,GCA_000820645.1,190
373,GCA_900610155.1,2413,55,,GCA_900610155.1,106
374,GCA_900112595.1,3140,127,,GCA_900112595.1,98
375,GCA_007097345.1,3472,125,,GCA_007097345.1,132
376,GCA_003712125.1,2840,65,,GCA_003712125.1,136
377,GCA_005780245.1,3633,103,,GCA_005780245.1,181
378,GCA_002222045.1,4965,232,,GCA_002222045.1,185
379,GCA_003968825.1,2837,69,,GCA_003968825.1,129
380,GCA_012963555.1,2475,49,,GCA_012963555.1,95
381,GCA_001680885.1,3306,149,,GCA_001680885.1,129
382,GCA_003350545.1,2742,79,,GCA_003350545.1,134
383,GCA_012932585.1,3609,103,,GCA_012932585.1,153
384,GCA_902167265.1,5225,272,,GCA_902167265.1,183
385,GCA_900198195.1,4037,102,,GCA_900198195.1,175
386,GCA_002023205.1,4101,111,,GCA_002023205.1,180
387,GCA_003008415.2,2716,67,,GCA_003008415.2,116
388,GCA_014220115.1,4337,94,,GCA_014220115.1,193
389,GCA_004362865.1,2929,83,,GCA_004362865.1,133
390,GCA_900156735.1,4739,96,,GCA_900156735.1,199
391,GCA_003507755.1,1745,17,,GCA_003507755.1,59
392,GCA_014207845.1,3801,76,,GCA_014207845.1,176
393,GCA_009923175.1,2614,46,,GCA_009923175.1,95
394,GCA_004010225.1,3115,63,,GCA_004010225.1,119
395,GCA_900610345.1,2352,56,,GCA_900610345.1,106
396,GCA_013403985.1,3463,103,,GCA_013403985.1,139
397,GCA_002251775.1,2917,63,,GCA_002251775.1,113
398,GCA_013042625.1,2509,60,,GCA_013042625.1,128
399,GCA_013333505.2,1701,30,,GCA_013333505.2,64
400,GCA_002454195.1,2231,60,,GCA_002454195.1,68
401,GCA_014220375.1,4348,94,,GCA_014220375.1,194
402,GCA_014220575.1,4348,94,,GCA_014220575.1,194
403,GCA_013276255.1,2408,70,,GCA_013276255.1,93
404,GCA_002453895.1,2708,53,,GCA_002453895.1,118
405,GCA_002715085.1,3460,83,,GCA_002715085.1,138
406,GCA_009828155.1,1971,29,,GCA_009828155.1,85
407,GCA_004122105.1,2756,73,,GCA_004122105.1,117
408,GCA_002023325.1,3744,114,,GCA_002023325.1,168
409,GCA_014219905.1,3752,111,,GCA_014219905.1,165
410,GCA_902705275.1,2783,39,,GCA_902705275.1,116
411,GCA_002311535.1,3585,144,,GCA_002311535.1,141
412,GCA_007830385.1,2845,51,,GCA_007830385.1,113
413,GCA_002399805.1,4394,210,,GCA_002399805.1,146
414,GCA_002162835.1,2684,71,,GCA_002162835.1,101
415,GCA_900618225.1,3256,57,,GCA_900618225.1,142
416,GCA_001045465.1,4552,97,,GCA_001045465.1,228
417,GCA_002430445.1,1319,27,,GCA_002430445.1,61
418,GCA_001747085.1,3966,128,,GCA_001747085.1,125
419,GCA_902705525.1,3201,42,,GCA_902705525.1,118
420,GCA_900129575.1,2901,74,,GCA_900129575.1,130
421,GCA_002684355.1,1402,41,,GCA_002684355.1,69
422,GCA_001685485.1,3733,188,,GCA_001685485.1,144
423,GCA_011050085.1,4757,146,,GCA_011050085.1,188
424,GCA_002169865.1,952,29,,GCA_002169865.1,44
425,GCA_014239615.1,1151,19,,GCA_014239615.1,71
426,GCA_003815995.1,4611,87,,GCA_003815995.1,179
427,GCA_900610235.1,2442,54,,GCA_900610235.1,109
428,GCA_001005305.1,3528,78,,GCA_001005305.1,154
429,GCA_002302495.1,2525,82,,GCA_002302495.1,85
430,GCA_003815915.1,3901,91,,GCA_003815915.1,153
431,GCA_002697465.1,836,13,,GCA_002697465.1,31
432,GCA_000189415.1,2116,48,,GCA_000189415.1,98
433,GCA_002367645.1,1530,36,,GCA_002367645.1,78
434,GCA_002790195.1,2404,68,,GCA_002790195.1,109
435,GCA_001653755.1,2881,84,,GCA_001653755.1,128
436,GCA_011392115.1,2626,62,,GCA_011392115.1,118
437,GCA_003610735.1,2660,27,,GCA_003610735.1,125
438,GCA_000746315.1,4082,133,,GCA_000746315.1,178
439,GCA_009663455.1,2176,36,,GCA_009663455.1,85
440,GCA_900169075.1,4341,81,,GCA_900169075.1,204
441,GCA_002297465.1,1077,19,,GCA_002297465.1,55
442,GCA_014138495.1,3408,71,,GCA_014138495.1,141
443,GCA_004214315.1,1278,28,,GCA_004214315.1,72
444,GCA_000744105.1,3853,101,,GCA_000744105.1,159
445,GCA_011882165.1,3300,117,,GCA_011882165.1,120
446,GCA_000242095.1,3612,37,,GCA_000242095.1,135
447,GCA_012927265.1,3891,126,,GCA_012927265.1,159
448,GCA_011392125.1,2857,74,,GCA_011392125.1,119
449,GCA_000826645.1,3281,76,,GCA_000826645.1,143
450,GCA_013042245.1,2376,45,,GCA_013042245.1,115
451,GCA_900188235.1,3383,191,,GCA_900188235.1,129
452,GCA_000468595.1,3976,129,,GCA_000468595.1,148
453,GCA_001874145.1,2766,79,,GCA_001874145.1,116
454,GCA_002163855.1,2760,70,,GCA_002163855.1,142
455,GCA_003476275.1,2573,51,,GCA_003476275.1,117
456,GCA_003312425.1,3222,89,,GCA_003312425.1,142
457,GCA_002403935.1,2239,98,,GCA_002403935.1,85
458,GCA_013001365.1,2529,55,,GCA_013001365.1,114
459,GCA_000744555.1,4362,194,,GCA_000744555.1,151
460,GCA_002391865.1,2671,56,,GCA_002391865.1,105
461,GCA_002426835.1,2580,75,,GCA_002426835.1,88
462,GCA_000831225.1,2391,55,,GCA_000831225.1,107
463,GCA_000333355.1,3800,107,,GCA_000333355.1,131
