,Unnamed: 0,cazymes,Orfs_anno_cazymes%,orfs,index_x,Merops orfs total,GH total,Orfs_anno_merops%,Assembly accession,Genus,Family,scaf_bp,Completeness,MAG,Nr_BGCs,index_y,Virulence orfs total,Orfs_anno_virs%,P,BGCs/genomesize,merops_perMb,virs_perMb,bgc_perMb
1645,GCA_002360635.1,45,1.530091806,2941,GCA_002360635.1,1,5,0.03400204,GCA_002360635.1,Marixanthomonas,Flavobacteriaceae,3141914,99.24,True,2,GCA_002360635.1,222,7.548452907,0.043478261,6.37E-07,0.000318277,0.070657567,0.000636555
2169,GCA_014353055.1,40,1.526135063,2621,GCA_014353055.1,1,11,0.038153377,GCA_014353055.1,KYPW7,Weeksellaceae,2839245,99.93,False,1,GCA_014353055.1,173,6.600534147,0.048780488,3.52E-07,0.000352206,0.060931691,0.000352206
1399,GCA_000374405.1,35,1.473684211,2375,GCA_000374405.1,1,6,0.042105263,GCA_000374405.1,Riemerella,Weeksellaceae,2436793,100,False,2,GCA_000374405.1,154,6.484210526,0.055555556,8.21E-07,0.000410375,0.063197818,0.000820751
1717,GCA_002311725.1,33,1.377870564,2395,GCA_002311725.1,1,7,0.041753653,GCA_002311725.1,Kaistella,Weeksellaceae,2404650,98.68,True,2,GCA_002311725.1,175,7.306889353,0.058823529,8.32E-07,0.000415861,0.072775664,0.000831722
1065,GCA_002221975.1,244,4.695016356,5197,GCA_002221975.1,2,158,0.038483741,GCA_002221975.1,Flavobacterium,Flavobacteriaceae,6041815,99.65,False,6,GCA_002221975.1,438,8.427939196,0.016260163,9.93E-07,0.000331026,0.072494772,0.000993079
1427,GCA_002217365.1,237,5.082564872,4663,GCA_002217365.1,2,166,0.042890843,GCA_002217365.1,Flavobacterium,Flavobacteriaceae,5607986,99.65,False,8,GCA_002217365.1,436,9.350203732,0.016736402,1.43E-06,0.000356634,0.077746271,0.001426537
1750,GCA_003633785.1,229,4.076909382,5617,GCA_003633785.1,2,166,0.035606195,GCA_003633785.1,Flavobacterium,Flavobacteriaceae,6651739,99.29,False,10,GCA_003633785.1,440,7.833363005,0.017316017,1.50E-06,0.000300673,0.066148116,0.001503366
1644,GCA_002754195.1,202,3.819247495,5289,GCA_002754195.1,2,134,0.037814332,GCA_002754195.1,Flavobacterium,Flavobacteriaceae,6328714,99.65,False,11,GCA_002754195.1,424,8.016638306,0.019607843,1.74E-06,0.00031602,0.066996233,0.00173811
271,GCA_001602525.1,197,3.912611718,5035,GCA_001602525.1,2,128,0.039721946,GCA_001602525.1,Flavobacterium,Flavobacteriaceae,5924510,99.65,False,11,GCA_001602525.1,408,8.103277061,0.020100503,1.86E-06,0.000337581,0.068866455,0.001856694
1876,GCA_001680875.1,192,5.501432665,3490,GCA_001680875.1,2,129,0.05730659,GCA_001680875.1,Polaribacter,Flavobacteriaceae,4104437,98.99,False,1,GCA_001680875.1,265,7.593123209,0.020618557,2.44E-07,0.000487278,0.064564275,0.000243639
803,GCA_003076455.1,186,4.880608764,3811,GCA_003076455.1,2,102,0.052479664,GCA_003076455.1,Flavobacterium,Flavobacteriaceae,4621116,99.29,False,3,GCA_003076455.1,328,8.606664917,0.021276596,6.49E-07,0.000432796,0.070978526,0.000649194
754,GCA_002120265.1,178,5.004217037,3557,GCA_002120265.1,2,94,0.056227158,GCA_002120265.1,Gramella,Flavobacteriaceae,3977160,99.49,False,2,GCA_002120265.1,302,8.490300815,0.022222222,5.03E-07,0.000502871,0.075933581,0.000502871
987,GCA_004104045.1,171,5.153707052,3318,GCA_004104045.1,2,123,0.060277275,GCA_004104045.1,Leeuwenhoekiella,Flavobacteriaceae,3941878,99.62,False,4,GCA_004104045.1,286,8.619650392,0.023121387,1.01E-06,0.000507372,0.07255425,0.001014745
2135,GCA_003626755.1,161,3.138401559,5130,GCA_003626755.1,2,93,0.038986355,GCA_003626755.1,CCMM003,Flavobacteriaceae,5908984,99.61,False,5,GCA_003626755.1,446,8.693957115,0.024539877,8.46E-07,0.000338468,0.075478289,0.000846169
60,GCA_013284035.1,159,4.219745223,3768,GCA_013284035.1,2,98,0.053078556,GCA_013284035.1,Flavobacterium,Flavobacteriaceae,4464517,99.12,False,3,GCA_013284035.1,312,8.280254777,0.02484472,6.72E-07,0.000447977,0.069884379,0.000671965
1253,GCA_000220525.2,155,5.4539057,2842,GCA_000220525.2,2,110,0.070372977,GCA_000220525.2,Ochrovirga,Flavobacteriaceae,3384629,96.81,False,1,GCA_000220525.2,214,7.529908515,0.025477707,2.95E-07,0.000590907,0.063227018,0.000295453
1555,GCA_001278115.1,152,3.74015748,4064,GCA_001278115.1,2,114,0.049212598,GCA_001278115.1,Flavobacterium,Flavobacteriaceae,4533022,99.65,False,1,GCA_001278115.1,306,7.529527559,0.025974026,2.21E-07,0.000441207,0.067504636,0.000220603
207,GCA_002433505.1,150,4.852798447,3091,GCA_002433505.1,2,103,0.064703979,GCA_002433505.1,Zunongwangia,Flavobacteriaceae,3764586,87.92,True,2,GCA_002433505.1,241,7.796829505,0.026315789,5.31E-07,0.000531267,0.064017664,0.000531267
85,GCA_001761365.1,149,4.520631068,3296,GCA_001761365.1,2,89,0.060679612,GCA_001761365.1,Polaribacter,Flavobacteriaceae,3809314,99.66,False,2,GCA_001761365.1,245,7.433252427,0.026490066,5.25E-07,0.000525029,0.064316042,0.000525029
829,GCA_002453085.1,146,4.404223228,3315,GCA_002453085.1,2,93,0.060331825,GCA_002453085.1,Zunongwangia,Flavobacteriaceae,4116334,81.83,True,3,GCA_002453085.1,241,7.269984917,0.027027027,7.29E-07,0.000485869,0.058547241,0.000728804
2481,GCA_900099995.1,131,3.319817537,3946,GCA_900099995.1,2,52,0.050684237,GCA_900099995.1,Winogradskyella,Flavobacteriaceae,4573152,99.67,False,3,GCA_900099995.1,313,7.932083122,0.030075188,6.56E-07,0.000437335,0.068442947,0.000656003
758,GCA_013184525.1,129,3.140214216,4108,GCA_013184525.1,2,72,0.048685492,GCA_013184525.1,Chryseobacterium,Weeksellaceae,4609066,100,False,13,GCA_013184525.1,362,8.812074002,0.030534351,2.82E-06,0.000433927,0.078540858,0.002820528
487,GCA_000799195.1,129,3.037438192,4247,GCA_000799195.1,2,69,0.047092065,GCA_000799195.1,Chryseobacterium,Weeksellaceae,4629388,100,False,6,GCA_000799195.1,345,8.12338121,0.030534351,1.30E-06,0.000432023,0.07452389,0.001296068
1569,GCA_000255455.1,128,3.620933522,3535,GCA_000255455.1,2,86,0.056577086,GCA_000255455.1,Aquimarina,Flavobacteriaceae,4257070,98.67,False,3,GCA_000255455.1,283,8.005657709,0.030769231,7.05E-07,0.000469807,0.066477648,0.00070471
654,GCA_002690095.1,119,3.624733475,3283,GCA_002690095.1,2,71,0.06091989,GCA_002690095.1,Zunongwangia,Flavobacteriaceae,3826825,71.69,True,4,GCA_002690095.1,266,8.102345416,0.033057851,1.05E-06,0.000522626,0.069509319,0.001045253
651,GCA_001556235.1,117,2.944877926,3973,GCA_001556235.1,2,61,0.050339794,GCA_001556235.1,Chryseobacterium,Weeksellaceae,4396348,100,False,4,GCA_001556235.1,298,7.500629247,0.033613445,9.10E-07,0.000454923,0.067783533,0.000909846
345,GCA_001297705.1,115,2.294493216,5012,GCA_001297705.1,2,55,0.03990423,GCA_001297705.1,Chryseobacterium,Weeksellaceae,5532908,100,False,8,GCA_001297705.1,386,7.701516361,0.034188034,1.45E-06,0.000361474,0.069764399,0.001445894
1271,GCA_002695545.1,115,2.934422046,3919,GCA_002695545.1,2,54,0.051033427,GCA_002695545.1,Mesonia,Flavobacteriaceae,4356736,98.73,True,6,GCA_002695545.1,302,7.706047461,0.034188034,1.38E-06,0.000459059,0.069317948,0.001377178
259,GCA_001027725.1,113,2.62851826,4299,GCA_001027725.1,2,56,0.046522447,GCA_001027725.1,Flavobacterium,Flavobacteriaceae,5270010,99.65,False,12,GCA_001027725.1,374,8.699697604,0.034782609,2.28E-06,0.000379506,0.070967607,0.002277036
152,GCA_002022085.1,113,2.898922524,3898,GCA_002022085.1,2,65,0.051308363,GCA_002022085.1,Elizabethkingia,Weeksellaceae,4281097,100,False,6,GCA_002022085.1,290,7.439712673,0.034782609,1.40E-06,0.00046717,0.067739647,0.00140151
1681,GCA_001431805.1,112,3.093922652,3620,GCA_001431805.1,2,61,0.055248619,GCA_001431805.1,Flavobacterium,Flavobacteriaceae,4142224,99.65,False,3,GCA_001431805.1,287,7.928176796,0.035087719,7.24E-07,0.000482832,0.069286451,0.000724249
848,GCA_014219385.1,108,2.803010641,3853,GCA_014219385.1,2,60,0.051907604,GCA_014219385.1,Elizabethkingia,Weeksellaceae,4175257,100,False,2,GCA_014219385.1,276,7.163249416,0.036363636,4.79E-07,0.000479012,0.066103715,0.000479012
1967,GCA_003729955.1,107,3.020892151,3542,GCA_003729955.1,2,63,0.056465274,GCA_003729955.1,Chryseobacterium,Weeksellaceae,3831316,100,False,7,GCA_003729955.1,292,8.243929983,0.036697248,1.83E-06,0.000522014,0.076214022,0.001827048
1715,GCA_001011675.1,107,2.995520717,3572,GCA_001011675.1,2,61,0.055991041,GCA_001011675.1,Elizabethkingia,Weeksellaceae,3938967,100,False,2,GCA_001011675.1,263,7.362821948,0.036697248,5.08E-07,0.000507747,0.066768775,0.000507747
765,GCA_014218885.1,107,2.174354806,4921,GCA_014218885.1,2,58,0.040642146,GCA_014218885.1,Chryseobacterium,Weeksellaceae,5411141,100,False,9,GCA_014218885.1,365,7.417191628,0.036697248,1.66E-06,0.000369608,0.067453426,0.001663235
962,GCA_000737785.1,107,2.459204781,4351,GCA_000737785.1,2,58,0.045966444,GCA_000737785.1,Chryseobacterium,Weeksellaceae,4718546,99.75,False,9,GCA_000737785.1,329,7.56148012,0.036697248,1.91E-06,0.000423859,0.069724869,0.001907367
655,GCA_003525065.1,106,3.879941435,2732,GCA_003525065.1,2,74,0.073206442,GCA_003525065.1,Leeuwenhoekiella,Flavobacteriaceae,3227345,77.08,True,3,GCA_003525065.1,203,7.43045388,0.037037037,9.30E-07,0.000619704,0.0629,0.000929557
1546,GCA_003298875.1,106,2.612124199,4058,GCA_003298875.1,2,64,0.049285362,GCA_003298875.1,Elizabethkingia,Weeksellaceae,4340507,100,False,3,GCA_003298875.1,296,7.294233613,0.037037037,6.91E-07,0.000460776,0.068194798,0.000691163
1947,GCA_002023505.1,105,2.89017341,3633,GCA_002023505.1,2,58,0.055050922,GCA_002023505.1,Elizabethkingia,Weeksellaceae,4029713,100,False,3,GCA_002023505.1,279,7.679603633,0.037383178,7.44E-07,0.000496313,0.0692357,0.00074447
1434,GCA_002023695.1,105,2.822580645,3720,GCA_002023695.1,2,61,0.053763441,GCA_002023695.1,Elizabethkingia,Weeksellaceae,4003334,100,False,3,GCA_002023695.1,274,7.365591398,0.037383178,7.49E-07,0.000499584,0.068442953,0.000749375
1349,GCA_000813825.1,104,2.779262427,3742,GCA_000813825.1,2,49,0.053447354,GCA_000813825.1,Chryseobacterium,Weeksellaceae,4126328,100,False,3,GCA_000813825.1,336,8.979155532,0.037735849,7.27E-07,0.000484692,0.08142833,0.000727039
749,GCA_000745535.1,104,2.206662423,4713,GCA_000745535.1,2,48,0.042435816,GCA_000745535.1,Chryseobacterium,Weeksellaceae,5296881,100,False,9,GCA_000745535.1,383,8.126458731,0.037735849,1.70E-06,0.000377581,0.072306703,0.001699113
130,GCA_001678675.1,103,2.5769327,3997,GCA_001678675.1,2,43,0.050037528,GCA_001678675.1,Gelidibacter,Flavobacteriaceae,4506948,99.01,False,4,GCA_001678675.1,315,7.880910683,0.038095238,8.88E-07,0.000443759,0.069892087,0.000887519
935,GCA_002943655.1,102,2.318708797,4399,GCA_002943655.1,2,45,0.045464878,GCA_002943655.1,Chryseobacterium,Weeksellaceae,4889274,100,False,10,GCA_002943655.1,352,8.001818595,0.038461538,2.05E-06,0.000409059,0.071994329,0.002045293
1571,GCA_002337005.1,101,3.281351527,3078,GCA_002337005.1,2,54,0.064977258,GCA_002337005.1,Cloacibacterium,Weeksellaceae,3432406,96.23,True,1,GCA_002337005.1,231,7.504873294,0.038834951,2.91E-07,0.000582682,0.067299731,0.000291341
525,GCA_002364405.1,101,3.40296496,2968,GCA_002364405.1,2,72,0.067385445,GCA_002364405.1,Leeuwenhoekiella,Flavobacteriaceae,3477681,85.58,True,3,GCA_002364405.1,225,7.580862534,0.038834951,8.63E-07,0.000575096,0.064698286,0.000862644
1911,GCA_001684965.1,99,2.176302484,4549,GCA_001684965.1,2,56,0.043965707,GCA_001684965.1,Chryseobacterium,Weeksellaceae,5053343,100,False,8,GCA_001684965.1,360,7.913827215,0.03960396,1.58E-06,0.000395778,0.071239969,0.00158311
1979,GCA_003243255.1,98,1.696382205,5777,GCA_003243255.1,2,50,0.034620045,GCA_003243255.1,Flavobacterium,Flavobacteriaceae,6270519,97.6,True,5,GCA_003243255.1,389,6.733598754,0.04,7.97E-07,0.000318953,0.062036332,0.000797382
870,GCA_001020565.1,98,2.774631937,3532,GCA_001020565.1,2,44,0.056625142,GCA_001020565.1,Maribacter,Flavobacteriaceae,4050606,99.67,False,4,GCA_001020565.1,323,9.144960362,0.04,9.88E-07,0.000493753,0.079741155,0.000987507
391,GCA_001045465.1,97,2.130931459,4552,GCA_001045465.1,2,47,0.043936731,GCA_001045465.1,Chryseobacterium,Weeksellaceae,5202773,100,False,10,GCA_001045465.1,372,8.172231986,0.04040404,1.92E-06,0.00038441,0.071500333,0.001922052
2454,GCA_002591275.1,95,2.171428571,4375,GCA_002591275.1,2,43,0.045714286,GCA_002591275.1,Chryseobacterium,Weeksellaceae,4888827,100,False,7,GCA_002591275.1,346,7.908571429,0.041237113,1.43E-06,0.000409096,0.070773623,0.001431836
2387,GCA_001013295.1,94,1.747211896,5380,GCA_001013295.1,2,47,0.037174721,GCA_001013295.1,Chryseobacterium,Weeksellaceae,5830795,100,False,8,GCA_001013295.1,358,6.654275093,0.041666667,1.37E-06,0.000343006,0.061398146,0.001372026
1812,GCA_003523505.1,92,1.863479846,4937,GCA_003523505.1,2,45,0.040510431,GCA_003523505.1,Chryseobacterium,Weeksellaceae,5399021,98.77,True,8,GCA_003523505.1,354,7.170346364,0.042553191,1.48E-06,0.000370438,0.065567443,0.00148175
178,GCA_007997205.1,91,2.1386604,4255,GCA_007997205.1,2,40,0.047003525,GCA_007997205.1,Psychroserpens,Flavobacteriaceae,4902128,99.67,False,3,GCA_007997205.1,309,7.262044653,0.043010753,6.12E-07,0.000407986,0.06303385,0.000611979
474,GCA_000318315.2,91,3.925798102,2318,GCA_000318315.2,2,60,0.086281277,GCA_000318315.2,Capnocytophaga,Flavobacteriaceae,2739607,100,False,4,GCA_000318315.2,174,7.506471096,0.043010753,1.46E-06,0.000730032,0.063512759,0.001460063
1354,GCA_002217205.1,84,2.708803612,3101,GCA_002217205.1,2,25,0.064495324,GCA_002217205.1,Flavobacterium,Flavobacteriaceae,3580395,98.54,False,2,GCA_002217205.1,229,7.384714608,0.046511628,5.59E-07,0.000558598,0.063959423,0.000558598
1259,GCA_001873065.1,84,3.109959274,2701,GCA_001873065.1,2,43,0.074046649,GCA_001873065.1,Polaribacter,Flavobacteriaceae,2988978,98.99,True,2,GCA_001873065.1,195,7.219548315,0.046511628,6.69E-07,0.000669125,0.065239691,0.000669125
1723,GCA_002439165.1,82,1.771440916,4629,GCA_002439165.1,2,37,0.043205876,GCA_002439165.1,Chryseobacterium,Weeksellaceae,5058632,100,True,5,GCA_002439165.1,337,7.280190106,0.047619048,9.88E-07,0.000395364,0.066618801,0.00098841
2093,GCA_001315805.1,81,2.655737705,3050,GCA_001315805.1,2,25,0.06557377,GCA_001315805.1,Olleya,Flavobacteriaceae,3384724,99.34,False,1,GCA_001315805.1,232,7.606557377,0.048192771,2.95E-07,0.00059089,0.068543255,0.000295445
476,GCA_002784685.1,80,2.895403547,2763,GCA_002784685.1,2,42,0.072385089,GCA_002784685.1,Polaribacter,Flavobacteriaceae,3034870,98.83,True,2,GCA_002784685.1,187,6.768005791,0.048780488,6.59E-07,0.000659007,0.061617137,0.000659007
1964,GCA_000831385.1,75,2.801643631,2677,GCA_000831385.1,2,21,0.074710497,GCA_000831385.1,Nonlabens,Flavobacteriaceae,2915920,97.78,False,3,GCA_000831385.1,213,7.956667912,0.051948052,1.03E-06,0.00068589,0.073047272,0.001028835
1329,GCA_002742365.1,74,2.224894768,3326,GCA_002742365.1,2,31,0.060132291,GCA_002742365.1,Maribacter,Flavobacteriaceae,3673989,98.99,False,4,GCA_002742365.1,264,7.937462417,0.052631579,1.09E-06,0.000544367,0.071856503,0.001088735
1238,GCA_002379725.1,69,2.021089631,3414,GCA_002379725.1,2,30,0.058582308,GCA_002379725.1,Empedobacter,Weeksellaceae,3426729,95.64,True,2,GCA_002379725.1,216,6.326889279,0.056338028,5.84E-07,0.000583647,0.063033873,0.000583647
1855,GCA_002693005.1,68,1.980774833,3433,GCA_002693005.1,2,9,0.058258083,GCA_002693005.1,Marinirhabdus,Flavobacteriaceae,3752386,99.24,True,3,GCA_002693005.1,316,9.204777163,0.057142857,7.99E-07,0.000532994,0.084213085,0.000799491
171,GCA_000355905.1,65,2.18487395,2975,GCA_000355905.1,2,23,0.067226891,GCA_000355905.1,Psychroflexus,Flavobacteriaceae,3311768,99.62,False,3,GCA_000355905.1,218,7.327731092,0.059701493,9.06E-07,0.000603907,0.065825867,0.000905861
953,GCA_002217245.1,64,2.327272727,2750,GCA_002217245.1,2,12,0.072727273,GCA_002217245.1,Flavobacterium,Flavobacteriaceae,3159371,99.29,False,3,GCA_002217245.1,209,7.6,0.060606061,9.50E-07,0.000633037,0.066152408,0.000949556
