n_scaffolds	n_contigs	scaf_bp	contig_bp	gap_pct	scaf_N50	scaf_L50	ctg_N50	ctg_L50	scaf_N90	scaf_L90	ctg_N90	ctg_L90	scaf_max	ctg_max	scaf_n_gt50K	scaf_pct_gt50K	gc_avg	gc_std	filename
1	1	3868304	3868304	0.000	1	3868304	1	3868304	1	3868304	1	3868304	3868304	3868304	1	100.000	0.36977	0.00000	/gpfs1/data/msb/silva/NEW/1_Dataset_creation/Fasta_raw/GCA_000153165.2_ASM15316v2_genomic.fna
2	7	2763458	2745458	0.651	1	2753184	2	927669	1	2753184	4	173691	2753184	984798	1	99.628	0.34520	0.00475	/gpfs1/data/msb/silva/NEW/1_Dataset_creation/Fasta_raw/GCA_000153225.1_ASM15322v1_genomic.fna
7	17	3103424	3083153	0.653	1	2403690	2	523833	2	692184	8	133334	2403690	1099147	2	99.757	0.34953	0.04293	/gpfs1/data/msb/silva/NEW/1_Dataset_creation/Fasta_raw/GCA_000153385.1_ASM15338v1_genomic.fna
1	1	4321832	4321832	0.000	1	4321832	1	4321832	1	4321832	1	4321832	4321832	4321832	1	100.000	0.34525	0.00000	/gpfs1/data/msb/silva/NEW/1_Dataset_creation/Fasta_raw/GCA_000153485.2_ASM15348v2_genomic.fna
1	34	5033129	5019836	0.264	1	5033129	4	361838	1	5033129	17	72927	5033129	829922	1	100.000	0.34263	0.00000	/gpfs1/data/msb/silva/NEW/1_Dataset_creation/Fasta_raw/GCA_000154725.1_ASM15472v1_genomic.fna
66	66	146184	146184	0.000	12	3995	12	3995	39	961	39	961	14194	14194	0	0.000	0.24126	0.07714	/gpfs1/data/msb/silva/NEW/1_Dataset_creation/Fasta_raw/GCA_000168155.1_ASM16815v1_genomic.fna
14	14	2806989	2806989	0.000	2	530652	2	530652	6	144028	6	144028	1327029	1327029	8	98.720	0.31431	0.03746	/gpfs1/data/msb/silva/NEW/1_Dataset_creation/Fasta_raw/GCA_000169355.1_ASM16935v1_genomic.fna
8	8	3825707	3825707	0.000	2	1029779	2	1029779	5	161788	5	161788	1212026	1212026	8	100.000	0.32399	0.00326	/gpfs1/data/msb/silva/NEW/1_Dataset_creation/Fasta_raw/GCA_000171875.1_ASM17187v1_genomic.fna
17	17	1905484	1905483	0.000	2	371257	2	371257	7	52249	7	52249	684032	684032	7	90.444	0.35706	0.02474	/gpfs1/data/msb/silva/NEW/1_Dataset_creation/Fasta_raw/GCA_000173095.1_ASM17309v1_genomic.fna
21	21	1515248	1515248	0.000	3	102182	3	102182	12	27722	12	27722	549383	549383	7	76.764	0.38707	0.02096	/gpfs1/data/msb/silva/NEW/1_Dataset_creation/Fasta_raw/GCA_000173115.1_ASM17311v1_genomic.fna
65	65	2997845	2997836	0.000	8	154533	8	154533	28	27071	28	27071	286724	286724	19	80.751	0.38426	0.04218	/gpfs1/data/msb/silva/NEW/1_Dataset_creation/Fasta_raw/GCA_000173675.1_ASM17367v1_genomic.fna
37	37	2667138	2667138	0.000	6	152766	6	152766	18	42682	18	42682	337980	337980	16	87.429	0.40489	0.03074	/gpfs1/data/msb/silva/NEW/1_Dataset_creation/Fasta_raw/GCA_000174755.1_ASM17475v1_genomic.fna
1	1	2155121	2155121	0.000	1	2155121	1	2155121	1	2155121	1	2155121	2155121	2155121	1	100.000	0.35010	0.00000	/gpfs1/data/msb/silva/NEW/1_Dataset_creation/Fasta_raw/GCA_000183155.1_ASM18315v1_genomic.fna
9	61	2663545	2635317	1.060	1	2652826	10	84309	1	2652826	29	31602	2652826	289625	1	99.598	0.39459	0.06569	/gpfs1/data/msb/silva/NEW/1_Dataset_creation/Fasta_raw/GCA_000183985.1_ASM18398v1_genomic.fna
29	29	2130198	2130195	0.000	5	185462	5	185462	12	47800	12	47800	371415	371415	10	85.688	0.34968	0.04234	/gpfs1/data/msb/silva/NEW/1_Dataset_creation/Fasta_raw/GCA_000184135.2_ASM18413v2_genomic.fna
1	1	4888353	4888353	0.000	1	4888353	1	4888353	1	4888353	1	4888353	4888353	4888353	1	100.000	0.33766	0.00000	/gpfs1/data/msb/silva/NEW/1_Dataset_creation/Fasta_raw/GCA_000186265.1_ASM18626v1_genomic.fna
1	1	2272954	2272954	0.000	1	2272954	1	2272954	1	2272954	1	2272954	2272954	2272954	1	100.000	0.35922	0.00000	/gpfs1/data/msb/silva/NEW/1_Dataset_creation/Fasta_raw/GCA_000189415.1_ASM18941v1_genomic.fna
1	1	3765936	3765936	0.000	1	3765936	1	3765936	1	3765936	1	3765936	3765936	3765936	1	100.000	0.32111	0.00000	/gpfs1/data/msb/silva/NEW/1_Dataset_creation/Fasta_raw/GCA_000190595.1_ASM19059v1_genomic.fna
1	1	2166384	2166384	0.000	1	2166384	1	2166384	1	2166384	1	2166384	2166384	2166384	1	100.000	0.35007	0.00000	/gpfs1/data/msb/silva/NEW/1_Dataset_creation/Fasta_raw/GCA_000191565.1_ASM19156v1_genomic.fna
29	74	2548422	2478610	2.739	1	2360944	8	113645	1	2360944	23	34967	2360944	290453	2	97.855	0.36665	0.06176	/gpfs1/data/msb/silva/NEW/1_Dataset_creation/Fasta_raw/GCA_000192225.1_ASM19222v1_genomic.fna
1	1	4633577	4633577	0.000	1	4633577	1	4633577	1	4633577	1	4633577	4633577	4633577	1	100.000	0.36495	0.00000	/gpfs1/data/msb/silva/NEW/1_Dataset_creation/Fasta_raw/GCA_000194605.1_ASM19460v1_genomic.fna
1	1	2952962	2952962	0.000	1	2952962	1	2952962	1	2952962	1	2952962	2952962	2952962	1	100.000	0.33900	0.00000	/gpfs1/data/msb/silva/NEW/1_Dataset_creation/Fasta_raw/GCA_000196315.1_ASM19631v1_genomic.fna
1	1	3296168	3296168	0.000	1	3296168	1	3296168	1	3296168	1	3296168	3296168	3296168	1	100.000	0.30823	0.00000	/gpfs1/data/msb/silva/NEW/1_Dataset_creation/Fasta_raw/GCA_000211855.3_ASM21185v3_genomic.fna
1	1	3389993	3389993	0.000	1	3389993	1	3389993	1	3389993	1	3389993	3389993	3389993	1	100.000	0.37289	0.00000	/gpfs1/data/msb/silva/NEW/1_Dataset_creation/Fasta_raw/GCA_000212355.1_ASM21235v1_genomic.fna
141	287	2536778	2456193	3.177	20	40450	47	15650	68	10915	155	4264	113873	66274	13	38.562	0.40036	0.03802	/gpfs1/data/msb/silva/NEW/1_Dataset_creation/Fasta_raw/GCA_000213295.2_ASM21329v2_genomic.fna
183	183	4073879	4073878	0.000	20	57084	20	57084	67	18943	67	18943	211929	211929	27	59.821	0.33238	0.08175	/gpfs1/data/msb/silva/NEW/1_Dataset_creation/Fasta_raw/GCA_000218485.2_ASM21848v2_genomic.fna
77	77	3384629	3384610	0.001	12	105634	12	105634	36	31089	36	31089	246784	246782	25	77.265	0.33934	0.02636	/gpfs1/data/msb/silva/NEW/1_Dataset_creation/Fasta_raw/GCA_000220525.2_ASM22052v2_genomic.fna
61	61	3704661	3704659	0.000	10	131549	10	131549	26	51882	26	51881	387696	387695	26	90.845	0.37062	0.05152	/gpfs1/data/msb/silva/NEW/1_Dataset_creation/Fasta_raw/GCA_000220585.2_ASM22058v2_genomic.fna
1	1	2571406	2571406	0.000	1	2571406	1	2571406	1	2571406	1	2571406	2571406	2571406	1	100.000	0.36109	0.00000	/gpfs1/data/msb/silva/NEW/1_Dataset_creation/Fasta_raw/GCA_000220625.1_ASM22062v1_genomic.fna
1	1	3842422	3842422	0.000	1	3842422	1	3842422	1	3842422	1	3842422	3842422	3842422	1	100.000	0.41358	0.00000	/gpfs1/data/msb/silva/NEW/1_Dataset_creation/Fasta_raw/GCA_000224085.1_ASM22408v1_genomic.fna
70	70	3279329	3279329	0.000	9	112341	9	112341	30	31499	30	31499	377019	377019	24	83.606	0.33769	0.02960	/gpfs1/data/msb/silva/NEW/1_Dataset_creation/Fasta_raw/GCA_000224335.2_BizArg_1.0_genomic.fna
2	2	590336	590331	0.001	1	587248	1	587243	1	587248	1	587243	587248	587243	1	99.477	0.27502	0.02200	/gpfs1/data/msb/silva/NEW/1_Dataset_creation/Fasta_raw/GCA_000233435.1_ASM23343v1_genomic.fna
2	2	609561	609561	0.000	1	605745	1	605745	1	605745	1	605745	605745	605745	1	99.374	0.23888	0.03325	/gpfs1/data/msb/silva/NEW/1_Dataset_creation/Fasta_raw/GCA_000236405.1_ASM23640v1_genomic.fna
1	1	4000057	4000057	0.000	1	4000057	1	4000057	1	4000057	1	4000057	4000057	4000057	1	100.000	0.40234	0.00000	/gpfs1/data/msb/silva/NEW/1_Dataset_creation/Fasta_raw/GCA_000236705.1_ASM23670v1_genomic.fna
1	1	3162432	3162432	0.000	1	3162432	1	3162432	1	3162432	1	3162432	3162432	3162432	1	100.000	0.31465	0.00000	/gpfs1/data/msb/silva/NEW/1_Dataset_creation/Fasta_raw/GCA_000240075.2_ASM24007v2_genomic.fna
1	1	4093812	4093812	0.000	1	4093812	1	4093812	1	4093812	1	4093812	4093812	4093812	1	100.000	0.35479	0.00000	/gpfs1/data/msb/silva/NEW/1_Dataset_creation/Fasta_raw/GCA_000240095.3_ASM24009v3_genomic.fna
7	38	4026612	3992214	0.854	1	2133115	6	244653	3	536823	17	83139	2133115	464436	5	99.464	0.33984	0.01857	/gpfs1/data/msb/silva/NEW/1_Dataset_creation/Fasta_raw/GCA_000242075.2_Myro_odor_CCUG_10230_V2_genomic.fna
3	54	4070988	4037729	0.817	1	3471562	12	127555	2	594067	32	38325	3471562	266438	2	99.868	0.34059	0.00820	/gpfs1/data/msb/silva/NEW/1_Dataset_creation/Fasta_raw/GCA_000242095.1_Myro_odor_CCUG_12901_V1_genomic.fna
3	59	4138659	4092291	1.120	1	2491923	8	140098	3	538675	31	38086	2491923	461824	3	100.000	0.33967	0.00718	/gpfs1/data/msb/silva/NEW/1_Dataset_creation/Fasta_raw/GCA_000242135.1_Myro_odor_CIP_101113_V1_genomic.fna
2	35	3966857	3963623	0.082	1	3558876	6	236824	2	407981	16	95562	3558876	625392	2	100.000	0.37615	0.00500	/gpfs1/data/msb/silva/NEW/1_Dataset_creation/Fasta_raw/GCA_000243235.1_ASM24323v1_genomic.fna
1	54	4301842	4296542	0.123	1	4301842	7	198887	1	4301842	22	70324	4301842	410147	1	100.000	0.35810	0.00000	/gpfs1/data/msb/silva/NEW/1_Dataset_creation/Fasta_raw/GCA_000243275.1_ASM24327v1_genomic.fna
226	226	3458160	3458157	0.000	35	31771	35	31771	105	10476	105	10476	116642	116642	12	24.136	0.31350	0.03891	/gpfs1/data/msb/silva/NEW/1_Dataset_creation/Fasta_raw/GCA_000246945.2_ASM24694v2_genomic.fna
52	52	3934101	3934101	0.000	5	257011	5	257011	18	53348	18	53348	789461	789461	21	94.305	0.34373	0.03085	/gpfs1/data/msb/silva/NEW/1_Dataset_creation/Fasta_raw/GCA_000252125.2_ASM25212v2_genomic.fna
1	1	2164087	2164087	0.000	1	2164087	1	2164087	1	2164087	1	2164087	2164087	2164087	1	100.000	0.35005	0.00000	/gpfs1/data/msb/silva/NEW/1_Dataset_creation/Fasta_raw/GCA_000252855.1_ASM25285v1_genomic.fna
2	2	3563292	3563292	0.000	1	3559884	1	3559884	1	3559884	1	3559884	3559884	3559884	1	99.904	0.32858	0.00300	/gpfs1/data/msb/silva/NEW/1_Dataset_creation/Fasta_raw/GCA_000253275.1_ASM25327v1_genomic.fna
89	131	4257070	4253671	0.080	13	110378	22	58291	45	25719	70	18841	240328	153286	31	79.621	0.32807	0.02819	/gpfs1/data/msb/silva/NEW/1_Dataset_creation/Fasta_raw/GCA_000255455.1_ASM25545v1_genomic.fna
116	116	2981404	2981404	0.000	15	76588	15	76588	45	19122	45	19122	236964	236964	22	67.098	0.34853	0.03812	/gpfs1/data/msb/silva/NEW/1_Dataset_creation/Fasta_raw/GCA_000258765.1_CBA3202_1.0_genomic.fna
2	3	4508243	4508143	0.002	1	3950031	2	1829066	2	558212	3	558212	3950031	2120865	2	100.000	0.33595	0.00075	/gpfs1/data/msb/silva/NEW/1_Dataset_creation/Fasta_raw/GCA_000260115.1_ASM26011v1_genomic.fna
44	44	3086951	3086951	0.000	4	337071	4	337071	16	40975	16	40975	691666	691666	14	87.396	0.35503	0.04266	/gpfs1/data/msb/silva/NEW/1_Dataset_creation/Fasta_raw/GCA_000260835.1_ASM26083v1_genomic.fna
2	2	632588	632588	0.000	1	629165	1	629165	1	629165	1	629165	629165	629165	1	99.459	0.25701	0.02600	/gpfs1/data/msb/silva/NEW/1_Dataset_creation/Fasta_raw/GCA_000262715.1_ASM26271v1_genomic.fna
285	285	3955605	3955587	0.000	41	33333	41	33333	136	8237	136	8237	90294	90294	14	22.626	0.34833	0.03158	/gpfs1/data/msb/silva/NEW/1_Dataset_creation/Fasta_raw/GCA_000264055.1_Flav123_1.0_genomic.fna
1	1	3520671	3520671	0.000	1	3520671	1	3520671	1	3520671	1	3520671	3520671	3520671	1	100.000	0.36191	0.00000	/gpfs1/data/msb/silva/NEW/1_Dataset_creation/Fasta_raw/GCA_000265385.1_ASM26538v1_genomic.fna
1	1	2399175	2399175	0.000	1	2399175	1	2399175	1	2399175	1	2399175	2399175	2399175	1	100.000	0.37218	0.00000	/gpfs1/data/msb/silva/NEW/1_Dataset_creation/Fasta_raw/GCA_000265465.1_ASM26546v1_genomic.fna
62	62	2590781	2590781	0.000	12	77541	12	77541	33	24394	33	24394	185200	185200	21	72.940	0.39455	0.03834	/gpfs1/data/msb/silva/NEW/1_Dataset_creation/Fasta_raw/GCA_000271925.1_Coraltaxon412F0487v1.0_genomic.fna
42	42	2653757	2653757	0.000	8	114967	8	114967	26	33721	26	33721	231723	231723	17	76.471	0.39502	0.02248	/gpfs1/data/msb/silva/NEW/1_Dataset_creation/Fasta_raw/GCA_000277585.1_CochraceaHolt25v1.0_genomic.fna
38	38	2545989	2545989	0.000	7	105120	7	105120	24	28991	24	28991	349027	349027	16	79.112	0.39590	0.02030	/gpfs1/data/msb/silva/NEW/1_Dataset_creation/Fasta_raw/GCA_000277665.1_Coraltaxon335F0486v1.0_genomic.fna
54	54	5336938	5336938	0.000	7	293899	7	293899	20	99567	20	99567	494174	494174	24	97.654	0.34441	0.04658	/gpfs1/data/msb/silva/NEW/1_Dataset_creation/Fasta_raw/GCA_000278705.1_ASM27870v1_genomic.fna
113	113	5102016	5102002	0.000	18	89762	18	89762	60	24647	60	24647	298541	298540	34	72.477	0.33593	0.03080	/gpfs1/data/msb/silva/NEW/1_Dataset_creation/Fasta_raw/GCA_000282055.1_CF136.fsa_genomic.fna
119	119	4484672	4484672	0.000	18	80113	18	80113	60	21119	60	21119	336918	336918	29	67.587	0.36615	0.02338	/gpfs1/data/msb/silva/NEW/1_Dataset_creation/Fasta_raw/GCA_000282115.1_Chryseobacterium.strCF314_v1.0_genomic.fna
51	51	3384849	3384849	0.000	6	240041	6	240041	16	81896	16	81896	483653	483653	18	94.738	0.33335	0.04773	/gpfs1/data/msb/silva/NEW/1_Dataset_creation/Fasta_raw/GCA_000283015.1_P735.v1.0_genomic.fna
75	75	2785060	2785060	0.000	14	69526	14	69526	44	18409	44	18409	205791	205791	20	64.478	0.41333	0.03477	/gpfs1/data/msb/silva/NEW/1_Dataset_creation/Fasta_raw/GCA_000293175.1_CspCM59v1.0_genomic.fna
1	1	2309519	2309519	0.000	1	2309519	1	2309519	1	2309519	1	2309519	2309519	2309519	1	100.000	0.35072	0.00000	/gpfs1/data/msb/silva/NEW/1_Dataset_creation/Fasta_raw/GCA_000295655.1_ASM29565v1_genomic.fna
4	46	4136542	4041097	2.307	2	1483594	6	244292	3	570590	22	58333	1868881	532634	4	100.000	0.34052	0.00596	/gpfs1/data/msb/silva/NEW/1_Dataset_creation/Fasta_raw/GCA_000297855.1_Myro_odor_CCUG_3837_V1_genomic.fna
14	98	4227641	4188881	0.917	2	1467134	14	85805	4	248668	48	24258	1540806	375189	6	97.452	0.35783	0.02915	/gpfs1/data/msb/silva/NEW/1_Dataset_creation/Fasta_raw/GCA_000297875.1_Myro_odor_CIP103059_G12587_V1_genomic.fna
80	80	3572447	3572447	0.000	8	140824	8	140824	31	31446	31	31446	398436	398436	21	80.502	0.37038	0.02965	/gpfs1/data/msb/silva/NEW/1_Dataset_creation/Fasta_raw/GCA_000300875.1_ASM30087v1_genomic.fna
7	43	2332784	2309984	0.977	1	2280027	5	184774	1	2280027	20	32658	2280027	309862	1	97.738	0.36127	0.03196	/gpfs1/data/msb/silva/NEW/1_Dataset_creation/Fasta_raw/GCA_000301075.1_Berg_zooh_ATCC_43767_V1_genomic.fna
5	35	2499181	2444142	2.202	1	1627166	3	202320	2	864530	11	51369	1627166	840246	2	99.701	0.36262	0.03891	/gpfs1/data/msb/silva/NEW/1_Dataset_creation/Fasta_raw/GCA_000301095.1_Berg_zooh_CCUG_30536_V1_genomic.fna
76	202	2634285	2631765	0.096	15	65311	45	19701	42	18618	133	7192	203898	70817	21	64.731	0.39452	0.03555	/gpfs1/data/msb/silva/NEW/1_Dataset_creation/Fasta_raw/GCA_000318255.2_ASM31825v2_genomic.fna
103	258	2656035	2652935	0.117	12	82775	27	32825	37	24027	84	8351	176722	87129	17	64.046	0.38401	0.05527	/gpfs1/data/msb/silva/NEW/1_Dataset_creation/Fasta_raw/GCA_000318275.2_ASM31827v2_genomic.fna
127	242	3218123	3215823	0.071	13	81163	28	34098	46	14901	104	7646	253069	176397	20	66.340	0.38515	0.05269	/gpfs1/data/msb/silva/NEW/1_Dataset_creation/Fasta_raw/GCA_000318295.1_ASM31829v1_genomic.fna
63	166	2739607	2736902	0.099	11	87907	33	28340	33	22123	98	9368	244566	71093	22	77.316	0.39371	0.02687	/gpfs1/data/msb/silva/NEW/1_Dataset_creation/Fasta_raw/GCA_000318315.2_ASM31831v2_genomic.fna
31	75	2172634	2159770	0.592	2	436370	4	224073	5	107614	12	47435	904778	435075	5	93.291	0.34940	0.03904	/gpfs1/data/msb/silva/NEW/1_Dataset_creation/Fasta_raw/GCA_000321285.1_RA-SG_genomic.fna
1	1	2166321	2166321	0.000	1	2166321	1	2166321	1	2166321	1	2166321	2166321	2166321	1	100.000	0.35038	0.00000	/gpfs1/data/msb/silva/NEW/1_Dataset_creation/Fasta_raw/GCA_000331695.1_ASM33169v1_genomic.fna
66	66	4032720	4032720	0.000	7	207010	7	207010	21	62292	21	62292	401993	401993	23	93.316	0.35367	0.02898	/gpfs1/data/msb/silva/NEW/1_Dataset_creation/Fasta_raw/GCA_000331815.1_ASM33181v1_genomic.fna
1	1	263431	263431	0.000	1	263431	1	263431	1	263431	1	263431	263431	263431	1	100.000	0.30195	0.00000	/gpfs1/data/msb/silva/NEW/1_Dataset_creation/Fasta_raw/GCA_000331975.1_ASM33197v1_genomic.fna
1	1	3914632	3914632	0.000	1	3914632	1	3914632	1	3914632	1	3914632	3914632	3914632	1	100.000	0.35315	0.00000	/gpfs1/data/msb/silva/NEW/1_Dataset_creation/Fasta_raw/GCA_000332115.1_ASM33211v1_genomic.fna
697	701	4165754	4165493	0.006	83	15427	83	15427	295	2974	296	2974	104566	104565	3	5.543	0.37052	0.11043	/gpfs1/data/msb/silva/NEW/1_Dataset_creation/Fasta_raw/GCA_000333355.1_ASM33335v1_genomic.fna
2	2	638184	638184	0.000	1	634449	1	634449	1	634449	1	634449	634449	634449	1	99.415	0.28200	0.01225	/gpfs1/data/msb/silva/NEW/1_Dataset_creation/Fasta_raw/GCA_000334405.1_ASM33440v1_genomic.fna
84	84	5198514	5198508	0.000	13	112722	13	112722	39	41303	39	41303	346653	346653	33	84.710	0.35610	0.03906	/gpfs1/data/msb/silva/NEW/1_Dataset_creation/Fasta_raw/GCA_000335775.1_WG21.1.0_genomic.fna
22	58	711370	707770	0.506	5	58055	5	52553	13	16649	24	3778	108224	107492	6	63.418	0.39411	0.01247	/gpfs1/data/msb/silva/NEW/1_Dataset_creation/Fasta_raw/GCA_000341755.1_ASM34175v1_genomic.fna
47	47	3055484	3055484	0.000	5	164860	5	164860	17	67668	17	67668	901090	901090	19	95.212	0.35374	0.04501	/gpfs1/data/msb/silva/NEW/1_Dataset_creation/Fasta_raw/GCA_000348685.1_Formosa_sp._AK20_genomic.fna
1	1	632490	632490	0.000	1	632490	1	632490	1	632490	1	632490	632490	632490	1	100.000	0.26408	0.00000	/gpfs1/data/msb/silva/NEW/1_Dataset_creation/Fasta_raw/GCA_000348805.1_ASM34880v1_genomic.fna
1	12	3305193	3303993	0.036	1	3305193	4	364989	1	3305193	9	168701	3305193	633619	1	100.000	0.37396	0.00000	/gpfs1/data/msb/silva/NEW/1_Dataset_creation/Fasta_raw/GCA_000355805.1_ASM35580v1_genomic.fna
62	62	3311768	3311765	0.000	5	290486	5	290486	19	53915	19	53915	412604	412604	19	91.604	0.35750	0.02826	/gpfs1/data/msb/silva/NEW/1_Dataset_creation/Fasta_raw/GCA_000355905.1_Pgondw1.0_genomic.fna
34	34	3840286	3840286	0.000	5	248179	5	248179	18	64201	18	64201	557384	557384	19	93.210	0.36435	0.02208	/gpfs1/data/msb/silva/NEW/1_Dataset_creation/Fasta_raw/GCA_000367325.1_ASM36732v1_genomic.fna
67	69	2436793	2436251	0.022	8	116206	9	99022	31	19945	32	19945	276778	252159	15	70.670	0.35997	0.03212	/gpfs1/data/msb/silva/NEW/1_Dataset_creation/Fasta_raw/GCA_000374405.1_ASM37440v1_genomic.fna
23	26	4489248	4487368	0.042	4	439581	4	439581	12	72705	14	69077	712694	712694	15	95.597	0.39617	0.02687	/gpfs1/data/msb/silva/NEW/1_Dataset_creation/Fasta_raw/GCA_000378485.1_ASM37848v1_genomic.fna
17	28	3001811	2995746	0.202	2	990053	3	398616	5	145691	7	134995	1008924	1008924	7	98.342	0.36549	0.05428	/gpfs1/data/msb/silva/NEW/1_Dataset_creation/Fasta_raw/GCA_000378765.1_ASM37876v1_genomic.fna
37	40	2657104	2656656	0.017	7	129716	7	129693	21	38004	23	38004	256813	256812	17	83.991	0.34399	0.02737	/gpfs1/data/msb/silva/NEW/1_Dataset_creation/Fasta_raw/GCA_000379185.1_ASM37918v1_genomic.fna
19	22	3906474	3902741	0.096	3	562897	3	562897	8	170675	9	151642	750395	750395	11	98.873	0.38252	0.05083	/gpfs1/data/msb/silva/NEW/1_Dataset_creation/Fasta_raw/GCA_000382125.1_ASM38212v1_genomic.fna
28	32	3792478	3790512	0.052	5	290273	5	290273	14	93939	15	89792	614059	614059	18	98.537	0.32744	0.03447	/gpfs1/data/msb/silva/NEW/1_Dataset_creation/Fasta_raw/GCA_000382425.1_ASM38242v1_genomic.fna
80	84	2544614	2543041	0.062	7	115700	8	102543	27	20207	29	19420	339350	339348	15	74.816	0.31787	0.02819	/gpfs1/data/msb/silva/NEW/1_Dataset_creation/Fasta_raw/GCA_000383355.1_ASM38335v1_genomic.fna
55	55	263384	263373	0.004	8	12419	8	12419	27	1914	27	1914	29766	29766	0	0.000	0.38324	0.03558	/gpfs1/data/msb/silva/NEW/1_Dataset_creation/Fasta_raw/GCA_000384835.1_ASM38483v1_genomic.fna
115	115	3796928	3796928	0.000	17	64581	17	64581	57	20897	57	20897	308233	308233	22	58.114	0.36584	0.02683	/gpfs1/data/msb/silva/NEW/1_Dataset_creation/Fasta_raw/GCA_000401415.1_ASM40141v1_genomic.fna
