Bin Id	Marker lineage	# genomes	# markers	# marker sets	0	1	2	3	4	5+	Completeness	Contamination	Strain heterogeneity
GCA_000212355.1_ASM21235v1_genomic	s__algicola (UID2847)	33	496	263	1	495	0	0	0	0	99.62	0.00	0.00
GCA_000213295.2_ASM21329v2_genomic	p__Bacteroidetes (UID2605)	350	316	210	16	299	1	0	0	0	94.34	0.24	0.00
GCA_000218485.2_ASM21848v2_genomic	s__algicola (UID2847)	33	496	263	1	493	2	0	0	0	99.62	0.57	0.00
GCA_000220525.2_ASM22052v2_genomic	f__Flavobacteriaceae (UID2845)	53	548	298	11	534	3	0	0	0	96.81	0.84	0.00
GCA_000220585.2_ASM22058v2_genomic	s__algicola (UID2846)	47	571	303	4	564	3	0	0	0	98.68	0.66	0.00
GCA_000220625.1_ASM22062v1_genomic	p__Bacteroidetes (UID2605)	350	316	210	0	315	1	0	0	0	100.00	0.24	0.00
GCA_000224085.1_ASM22408v1_genomic	s__algicola (UID2846)	47	571	303	2	566	3	0	0	0	99.34	0.83	33.33
GCA_000224335.2_BizArg_1.0_genomic	s__algicola (UID2846)	47	571	303	2	568	1	0	0	0	99.34	0.07	0.00
GCA_000233435.1_ASM23343v1_genomic	k__Bacteria (UID2565)	2921	141	82	0	141	0	0	0	0	100.00	0.00	0.00
GCA_000236405.1_ASM23640v1_genomic	k__Bacteria (UID2565)	2921	141	82	3	138	0	0	0	0	98.06	0.00	0.00
GCA_000236705.1_ASM23670v1_genomic	k__Bacteria (UID2569)	434	278	186	0	278	0	0	0	0	100.00	0.00	0.00
GCA_000240075.2_ASM24007v2_genomic	f__Flavobacteriaceae (UID2817)	81	511	283	1	508	2	0	0	0	99.65	0.53	50.00
GCA_000240095.3_ASM24009v3_genomic	k__Bacteria (UID2565)	2921	152	93	0	152	0	0	0	0	100.00	0.00	0.00
GCA_000242075.2_Myro_odor_CCUG_10230_V2_genomic	f__Flavobacteriaceae (UID2817)	81	511	283	1	507	3	0	0	0	99.65	0.88	66.67
GCA_000242095.1_Myro_odor_CCUG_12901_V1_genomic	f__Flavobacteriaceae (UID2817)	81	511	283	1	509	1	0	0	0	99.65	0.18	0.00
GCA_000242135.1_Myro_odor_CIP_101113_V1_genomic	f__Flavobacteriaceae (UID2817)	81	511	283	1	509	1	0	0	0	99.65	0.18	0.00
GCA_000243235.1_ASM24323v1_genomic	s__algicola (UID2847)	33	496	263	2	494	0	0	0	0	99.49	0.00	0.00
GCA_000243275.1_ASM24327v1_genomic	f__Flavobacteriaceae (UID2817)	81	511	283	1	499	10	1	0	0	99.65	3.00	38.46
GCA_000246945.2_ASM24694v2_genomic	f__Flavobacteriaceae (UID2817)	81	511	283	1	508	2	0	0	0	99.65	0.47	100.00
GCA_000252125.2_ASM25212v2_genomic	f__Flavobacteriaceae (UID2817)	81	511	283	2	509	0	0	0	0	99.29	0.00	0.00
GCA_000252855.1_ASM25285v1_genomic	o__Flavobacteriales (UID2815)	123	323	204	0	323	0	0	0	0	100.00	0.00	0.00
GCA_000253275.1_ASM25327v1_genomic	f__Flavobacteriaceae (UID2817)	81	511	283	4	505	2	0	0	0	98.59	0.71	0.00
GCA_000255455.1_ASM25545v1_genomic	s__algicola (UID2847)	33	496	263	4	490	2	0	0	0	98.67	0.40	0.00
GCA_000258765.1_CBA3202_1.0_genomic	s__algicola (UID2847)	33	496	263	4	492	0	0	0	0	98.95	0.00	0.00
GCA_000260115.1_ASM26011v1_genomic	s__algicola (UID2846)	47	571	303	1	570	0	0	0	0	99.67	0.00	0.00
GCA_000260835.1_ASM26083v1_genomic	s__algicola (UID2846)	47	571	303	1	570	0	0	0	0	99.67	0.00	0.00
GCA_000262715.1_ASM26271v1_genomic	k__Bacteria (UID2565)	2921	143	85	3	140	0	0	0	0	96.47	0.00	0.00
GCA_000264055.1_Flav123_1.0_genomic	f__Flavobacteriaceae (UID2817)	81	511	283	3	507	1	0	0	0	99.12	0.12	0.00
GCA_000265385.1_ASM26538v1_genomic	s__algicola (UID2847)	33	496	263	2	493	1	0	0	0	99.49	0.19	0.00
GCA_000265465.1_ASM26546v1_genomic	k__Bacteria (UID2565)	2921	152	93	0	152	0	0	0	0	100.00	0.00	0.00
GCA_000271925.1_Coraltaxon412F0487v1.0_genomic	p__Bacteroidetes (UID2605)	350	316	210	0	316	0	0	0	0	100.00	0.00	0.00
GCA_000277585.1_CochraceaHolt25v1.0_genomic	p__Bacteroidetes (UID2605)	350	316	210	0	316	0	0	0	0	100.00	0.00	0.00
GCA_000277665.1_Coraltaxon335F0486v1.0_genomic	p__Bacteroidetes (UID2605)	350	316	210	0	316	0	0	0	0	100.00	0.00	0.00
GCA_000278705.1_ASM27870v1_genomic	f__Flavobacteriaceae (UID2817)	81	511	283	1	510	0	0	0	0	99.65	0.00	0.00
GCA_000282055.1_CF136.fsa_genomic	f__Flavobacteriaceae (UID2817)	81	511	283	1	505	5	0	0	0	99.65	1.06	0.00
GCA_000282115.1_Chryseobacterium.strCF314_v1.0_genomic	o__Flavobacteriales (UID2815)	123	324	204	0	324	0	0	0	0	100.00	0.00	0.00
GCA_000283015.1_P735.v1.0_genomic	s__algicola (UID2846)	47	571	303	2	566	3	0	0	0	99.34	0.71	0.00
GCA_000293175.1_CspCM59v1.0_genomic	p__Bacteroidetes (UID2605)	350	316	210	0	314	2	0	0	0	100.00	0.50	0.00
GCA_000295655.1_ASM29565v1_genomic	o__Flavobacteriales (UID2815)	123	323	204	0	321	2	0	0	0	100.00	0.98	0.00
GCA_000297855.1_Myro_odor_CCUG_3837_V1_genomic	f__Flavobacteriaceae (UID2817)	81	511	283	1	509	1	0	0	0	99.65	0.18	0.00
GCA_000297875.1_Myro_odor_CIP103059_G12587_V1_genomic	f__Flavobacteriaceae (UID2817)	81	511	283	1	504	5	1	0	0	99.65	1.23	0.00
GCA_000300875.1_ASM30087v1_genomic	s__algicola (UID2846)	47	571	303	2	568	1	0	0	0	99.65	0.11	0.00
GCA_000301075.1_Berg_zooh_ATCC_43767_V1_genomic	o__Flavobacteriales (UID2815)	123	324	204	0	323	1	0	0	0	100.00	0.25	0.00
GCA_000301095.1_Berg_zooh_CCUG_30536_V1_genomic	o__Flavobacteriales (UID2815)	123	324	204	1	322	1	0	0	0	99.51	0.25	0.00
GCA_000318255.2_ASM31825v2_genomic	p__Bacteroidetes (UID2605)	350	316	210	0	316	0	0	0	0	100.00	0.00	0.00
GCA_000318275.2_ASM31827v2_genomic	p__Bacteroidetes (UID2605)	350	316	210	1	313	2	0	0	0	99.52	0.71	0.00
GCA_000318295.1_ASM31829v1_genomic	p__Bacteroidetes (UID2605)	350	316	210	0	316	0	0	0	0	100.00	0.00	0.00
GCA_000318315.2_ASM31831v2_genomic	p__Bacteroidetes (UID2605)	350	316	210	0	316	0	0	0	0	100.00	0.00	0.00
GCA_000321285.1_RA-SG_genomic	o__Flavobacteriales (UID2815)	123	323	204	0	323	0	0	0	0	100.00	0.00	0.00
GCA_000331695.1_ASM33169v1_genomic	o__Flavobacteriales (UID2815)	123	323	204	0	323	0	0	0	0	100.00	0.00	0.00
GCA_000331815.1_ASM33181v1_genomic	k__Bacteria (UID2565)	2921	152	93	0	152	0	0	0	0	100.00	0.00	0.00
GCA_000331975.1_ASM33197v1_genomic	k__Bacteria (UID2565)	2921	152	93	46	106	0	0	0	0	55.75	0.00	0.00
GCA_000332115.1_ASM33211v1_genomic	s__algicola (UID2847)	33	496	263	6	489	1	0	0	0	98.54	0.19	0.00
GCA_000333355.1_ASM33335v1_genomic	o__Flavobacteriales (UID2815)	123	324	204	20	291	13	0	0	0	94.59	4.57	61.54
GCA_000334405.1_ASM33440v1_genomic	k__Bacteria (UID2565)	2921	143	84	2	141	0	0	0	0	97.62	0.00	0.00
GCA_000335775.1_WG21.1.0_genomic	f__Flavobacteriaceae (UID2817)	81	511	283	1	506	4	0	0	0	99.65	0.70	0.00
GCA_000341755.1_ASM34175v1_genomic	k__Bacteria (UID2569)	434	278	186	200	78	0	0	0	0	25.98	0.00	0.00
GCA_000348685.1_Formosa_sp._AK20_genomic	s__algicola (UID2846)	47	571	303	1	569	1	0	0	0	99.67	0.11	0.00
GCA_000348805.1_ASM34880v1_genomic	k__Bacteria (UID2565)	2921	143	85	3	140	0	0	0	0	97.58	0.00	0.00
GCA_000355805.1_ASM35580v1_genomic	s__algicola (UID2847)	33	496	263	3	491	2	0	0	0	98.86	0.29	0.00
GCA_000355905.1_Pgondw1.0_genomic	s__algicola (UID2847)	33	496	263	1	494	1	0	0	0	99.62	0.19	0.00
GCA_000367325.1_ASM36732v1_genomic	k__Bacteria (UID2565)	2921	152	93	0	152	0	0	0	0	100.00	0.00	0.00
GCA_000374405.1_ASM37440v1_genomic	o__Flavobacteriales (UID2815)	123	324	204	0	324	0	0	0	0	100.00	0.00	0.00
GCA_000378485.1_ASM37848v1_genomic	f__Flavobacteriaceae (UID2817)	81	511	283	3	508	0	0	0	0	99.46	0.00	0.00
GCA_000378765.1_ASM37876v1_genomic	s__algicola (UID2847)	33	496	263	1	495	0	0	0	0	99.62	0.00	0.00
GCA_000379185.1_ASM37918v1_genomic	p__Bacteroidetes (UID2605)	350	316	210	0	316	0	0	0	0	100.00	0.00	0.00
GCA_000382125.1_ASM38212v1_genomic	s__algicola (UID2846)	47	571	303	3	558	10	0	0	0	99.28	1.11	0.00
GCA_000382425.1_ASM38242v1_genomic	k__Bacteria (UID2565)	2921	152	93	0	152	0	0	0	0	100.00	0.00	0.00
GCA_000383355.1_ASM38335v1_genomic	f__Flavobacteriaceae (UID2845)	53	548	298	65	463	17	3	0	0	89.10	3.73	69.23
GCA_000384835.1_ASM38483v1_genomic	root (UID1)	5656	56	24	53	3	0	0	0	0	12.50	0.00	0.00
GCA_000401415.1_ASM40141v1_genomic	k__Bacteria (UID2565)	2921	152	93	0	152	0	0	0	0	100.00	0.00	0.00
GCA_000403785.1_ASM40378v1_genomic	s__algicola (UID2847)	33	496	263	14	481	1	0	0	0	96.58	0.10	0.00
GCA_000411115.1_Capn_gran_ATCC_51502_V1_genomic	p__Bacteroidetes (UID2605)	350	316	210	0	314	2	0	0	0	100.00	0.50	0.00
GCA_000411575.1_Capn_sp_oral_taxon_336_F0502_V1_genomic	p__Bacteroidetes (UID2605)	350	316	210	0	316	0	0	0	0	100.00	0.00	0.00
GCA_000413415.1_Myro_odor_CCUG_12700_V1_genomic	f__Flavobacteriaceae (UID2817)	81	511	283	1	509	1	0	0	0	99.65	0.18	0.00
GCA_000419685.1_ASM41968v1_genomic	f__Flavobacteriaceae (UID2817)	81	511	283	1	510	0	0	0	0	99.65	0.00	0.00
GCA_000422265.1_ASM42226v1_genomic	o__Flavobacteriales (UID2815)	123	323	204	0	322	1	0	0	0	100.00	0.49	0.00
GCA_000422365.1_ASM42236v1_genomic	s__algicola (UID2846)	47	571	303	1	570	0	0	0	0	99.67	0.00	0.00
GCA_000422685.1_ASM42268v1_genomic	f__Flavobacteriaceae (UID2817)	81	511	283	1	510	0	0	0	0	99.65	0.00	0.00
GCA_000422705.1_ASM42270v1_genomic	f__Flavobacteriaceae (UID2817)	81	511	283	1	509	1	0	0	0	99.65	0.35	0.00
GCA_000422725.1_ASM42272v1_genomic	f__Flavobacteriaceae (UID2817)	81	511	283	1	510	0	0	0	0	99.65	0.00	0.00
GCA_000423005.1_ASM42300v1_genomic	s__algicola (UID2846)	47	571	303	1	567	3	0	0	0	99.67	0.99	0.00
GCA_000423045.1_ASM42304v1_genomic	s__algicola (UID2847)	33	496	263	2	493	1	0	0	0	99.60	0.19	0.00
GCA_000423065.1_ASM42306v1_genomic	s__algicola (UID2847)	33	496	263	1	495	0	0	0	0	99.62	0.00	0.00
GCA_000423405.1_ASM42340v1_genomic	s__algicola (UID2847)	33	496	263	1	495	0	0	0	0	99.62	0.00	0.00
GCA_000423585.1_ASM42358v1_genomic	s__algicola (UID2847)	33	496	263	1	495	0	0	0	0	99.62	0.00	0.00
GCA_000424645.1_ASM42464v1_genomic	s__algicola (UID2847)	33	496	263	1	494	1	0	0	0	99.62	0.19	0.00
GCA_000424665.1_ASM42466v1_genomic	s__algicola (UID2847)	33	496	263	1	495	0	0	0	0	99.62	0.00	0.00
GCA_000424985.1_ASM42498v1_genomic	s__algicola (UID2846)	47	571	303	1	569	1	0	0	0	99.67	0.17	0.00
GCA_000425305.1_ASM42530v1_genomic	s__algicola (UID2846)	47	571	303	1	559	11	0	0	0	99.67	1.87	0.00
GCA_000425425.1_ASM42542v1_genomic	f__Flavobacteriaceae (UID2817)	81	511	283	1	507	3	0	0	0	99.65	0.31	0.00
GCA_000425445.1_ASM42544v1_genomic	f__Flavobacteriaceae (UID2817)	81	511	283	1	509	1	0	0	0	99.65	0.05	0.00
GCA_000425465.1_ASM42546v1_genomic	f__Flavobacteriaceae (UID2817)	81	511	283	2	509	0	0	0	0	99.29	0.00	0.00
GCA_000425485.1_ASM42548v1_genomic	f__Flavobacteriaceae (UID2817)	81	511	283	1	509	1	0	0	0	99.65	0.09	0.00
GCA_000425505.1_ASM42550v1_genomic	f__Flavobacteriaceae (UID2817)	81	511	283	2	509	0	0	0	0	99.29	0.00	0.00
GCA_000425645.1_ASM42564v1_genomic	s__algicola (UID2846)	47	571	303	2	569	0	0	0	0	99.50	0.00	0.00
GCA_000426145.1_ASM42614v1_genomic	f__Flavobacteriaceae (UID2817)	81	511	283	1	507	3	0	0	0	99.65	0.76	33.33
GCA_000426465.1_ASM42646v1_genomic	o__Flavobacteriales (UID2815)	123	324	204	1	323	0	0	0	0	99.51	0.00	0.00
GCA_000427335.1_WiPs1.0_genomic	s__algicola (UID2846)	47	571	303	6	557	8	0	0	0	98.99	1.48	0.00
GCA_000428485.1_ASM42848v1_genomic	o__Flavobacteriales (UID2815)	123	324	204	0	324	0	0	0	0	100.00	0.00	0.00
GCA_000429125.1_ASM42912v1_genomic	s__algicola (UID2847)	33	496	263	1	495	0	0	0	0	99.62	0.00	0.00
GCA_000429545.1_ASM42954v1_genomic	s__algicola (UID2846)	47	571	303	1	568	2	0	0	0	99.67	0.50	0.00
GCA_000430025.1_ASM43002v1_genomic	f__Flavobacteriaceae (UID2817)	81	511	283	1	510	0	0	0	0	99.65	0.00	0.00
GCA_000430545.1_ASM43054v1_genomic	f__Flavobacteriaceae (UID2845)	53	548	298	2	546	0	0	0	0	99.33	0.00	0.00
GCA_000430645.1_ASM43064v1_genomic	s__algicola (UID2847)	33	496	263	1	494	1	0	0	0	99.62	0.19	0.00
GCA_000430665.1_ASM43066v1_genomic	s__algicola (UID2847)	33	496	263	1	495	0	0	0	0	99.62	0.00	0.00
GCA_000430825.1_ASM43082v1_genomic	o__Flavobacteriales (UID2815)	123	324	204	0	324	0	0	0	0	100.00	0.00	0.00
GCA_000430845.1_ASM43084v1_genomic	o__Flavobacteriales (UID2815)	123	324	204	0	324	0	0	0	0	100.00	0.00	0.00
GCA_000442635.1_ASM44263v1_genomic	k__Bacteria (UID2565)	2921	152	93	68	84	0	0	0	0	39.27	0.00	0.00
GCA_000447375.1_C874_spades_genomic	k__Bacteria (UID2565)	2921	152	93	1	151	0	0	0	0	98.92	0.00	0.00
GCA_000455605.1_GPTSA100-9_genomic	f__Flavobacteriaceae (UID2817)	81	511	283	2	508	1	0	0	0	99.29	0.07	0.00
GCA_000464355.2_ASM46435v2_genomic	f__Flavobacteriaceae (UID2817)	81	511	283	371	139	1	0	0	0	27.36	0.35	100.00
GCA_000466425.1_ASM46642v1_genomic	p__Bacteroidetes (UID2605)	350	316	210	0	316	0	0	0	0	100.00	0.00	0.00
GCA_000468575.1_Cbal4_1.0_genomic	s__algicola (UID2846)	47	571	303	1	566	4	0	0	0	99.67	1.04	0.00
GCA_000468595.1_Cbal13_1.0_genomic	s__algicola (UID2846)	47	571	303	1	568	2	0	0	0	99.67	0.38	0.00
GCA_000468615.2_ASM46861v2_genomic	s__algicola (UID2846)	47	571	303	1	567	3	0	0	0	99.67	0.71	0.00
GCA_000471965.1_ASM47196v1_genomic	k__Bacteria (UID2565)	2921	143	85	2	141	0	0	0	0	97.65	0.00	0.00
GCA_000477035.2_ASM47703v2_genomic	s__algicola (UID2846)	47	571	303	1	568	2	0	0	0	99.67	0.38	0.00
GCA_000482305.1_ASM48230v1_genomic	o__Flavobacteriales (UID2815)	123	324	204	0	322	2	0	0	0	100.00	0.49	0.00
GCA_000495935.2_ASM49593v2_genomic	k__Bacteria (UID2565)	2921	152	93	0	150	2	0	0	0	100.00	1.08	0.00
GCA_000495955.1_NUHP2_genomic	k__Bacteria (UID2565)	2921	152	93	0	150	2	0	0	0	100.00	1.08	0.00
GCA_000495975.1_NUHP3_genomic	k__Bacteria (UID2565)	2921	152	93	0	150	2	0	0	0	100.00	1.08	0.00
GCA_000495995.1_NUH1_genomic	k__Bacteria (UID2565)	2921	152	93	0	150	2	0	0	0	100.00	1.08	0.00
GCA_000496015.1_NUH4_genomic	k__Bacteria (UID2565)	2921	152	93	0	150	2	0	0	0	100.00	1.08	0.00
GCA_000496035.1_NUH6_genomic	k__Bacteria (UID2565)	2921	152	93	0	152	0	0	0	0	100.00	0.00	0.00
GCA_000496055.1_NUH11_genomic	k__Bacteria (UID2565)	2921	152	93	0	152	0	0	0	0	100.00	0.00	0.00
GCA_000498475.1_Fcau1.0_genomic	f__Flavobacteriaceae (UID2817)	81	511	283	1	510	0	0	0	0	99.65	0.00	0.00
GCA_000498495.1_Fens1.0_genomic	f__Flavobacteriaceae (UID2817)	81	511	283	1	507	3	0	0	0	99.65	0.35	0.00
GCA_000498515.1_Fsal1.0_genomic	f__Flavobacteriaceae (UID2817)	81	511	283	1	506	4	0	0	0	99.65	0.77	50.00
GCA_000498535.1_Flim1.0_genomic	f__Flavobacteriaceae (UID2817)	81	511	283	1	507	3	0	0	0	99.65	0.35	0.00
GCA_000509405.1_ASM50940v1_genomic	f__Flavobacteriaceae (UID2845)	53	548	298	3	543	2	0	0	0	99.22	0.50	0.00
GCA_000511935.2_CLCbio_CLC_Genomics_Workbench_5.5_genomic	s__algicola (UID2846)	47	571	303	2	568	1	0	0	0	99.34	0.17	0.00
GCA_000518405.1_ASM51840v1_genomic	f__Flavobacteriaceae (UID2845)	53	548	298	5	542	1	0	0	0	98.71	0.17	0.00
GCA_000518485.1_ASM51848v1_genomic	s__algicola (UID2846)	47	571	303	1	569	1	0	0	0	99.67	0.17	0.00
GCA_000518505.1_ASM51850v1_genomic	s__algicola (UID2846)	47	571	303	2	569	0	0	0	0	99.59	0.00	0.00
GCA_000518525.1_ASM51852v1_genomic	s__algicola (UID2846)	47	571	303	1	570	0	0	0	0	99.67	0.00	0.00
GCA_000520835.1_ASM52083v1_genomic	o__Flavobacteriales (UID2815)	123	324	204	0	322	2	0	0	0	100.00	0.49	0.00
GCA_000520955.1_of_Aquimarina_pacifica_genomic	s__algicola (UID2847)	33	496	263	1	491	4	0	0	0	99.62	0.76	0.00
GCA_000520975.1_of_Aquimarina_megaterium_genomic	s__algicola (UID2847)	33	496	263	1	490	5	0	0	0	99.62	1.52	0.00
GCA_000520995.1_of_Aquimarina_macrocephali_genomic	s__algicola (UID2847)	33	496	263	1	489	6	0	0	0	99.62	1.65	0.00
GCA_000568425.1_KLA_genomic	s__algicola (UID2846)	47	571	303	1	569	1	0	0	0	99.67	0.08	0.00
GCA_000611675.1_ASM61167v1_genomic	f__Flavobacteriaceae (UID2817)	81	511	283	1	506	4	0	0	0	99.65	0.53	0.00
GCA_000612925.1_G311_genomic	o__Flavobacteriales (UID2815)	123	324	204	0	323	1	0	0	0	100.00	0.25	0.00
GCA_000621125.1_ASM62112v1_genomic	s__algicola (UID2846)	47	571	303	1	569	1	0	0	0	99.67	0.11	0.00
GCA_000621625.1_ASM62162v1_genomic	k__Bacteria (UID2569)	434	277	185	0	276	1	0	0	0	100.00	0.54	0.00
GCA_000626715.1_SOAPdenovo_v1.05_genomic	s__algicola (UID2847)	33	496	263	1	489	5	1	0	0	99.62	1.84	0.00
GCA_000633375.1_ASM63337v1_genomic	f__Flavobacteriaceae (UID2817)	81	511	283	1	509	1	0	0	0	99.65	0.12	0.00
GCA_000686885.1_ASM68688v1_genomic	f__Flavobacteriaceae (UID2817)	81	511	283	1	509	1	0	0	0	99.65	0.35	100.00
GCA_000687915.1_ASM68791v1_genomic	s__algicola (UID2847)	33	496	263	1	495	0	0	0	0	99.62	0.00	0.00
GCA_000687935.1_ASM68793v1_genomic	f__Flavobacteriaceae (UID2845)	53	548	298	1	546	1	0	0	0	99.66	0.11	0.00
GCA_000688315.1_ASM68831v1_genomic	s__algicola (UID2846)	47	571	303	1	567	3	0	0	0	99.67	0.83	33.33
GCA_000688335.1_ASM68833v1_genomic	s__algicola (UID2846)	47	571	303	1	570	0	0	0	0	99.67	0.00	0.00
GCA_000689455.1_E18064v1_PRJEB5242_genomic	k__Bacteria (UID2565)	2921	152	93	0	152	0	0	0	0	100.00	0.00	0.00
GCA_000689515.1_E27107v1_PRJEB5243_genomic	k__Bacteria (UID2565)	2921	152	93	0	152	0	0	0	0	100.00	0.00	0.00
GCA_000695795.1_ASM69579v1_genomic	f__Flavobacteriaceae (UID2817)	81	511	283	3	506	2	0	0	0	99.47	0.08	0.00
GCA_000708595.2_Next_Generation_Sequence_Analysis_genomic	f__Flavobacteriaceae (UID2817)	81	511	283	1	510	0	0	0	0	99.65	0.00	0.00
GCA_000708615.2_Chryseo_hispalense_genome_genomic	o__Flavobacteriales (UID2815)	123	324	204	0	324	0	0	0	0	100.00	0.00	0.00
GCA_000709555.1_ASM70955v1_genomic	k__Bacteria (UID2565)	2921	152	93	34	118	0	0	0	0	67.38	0.00	0.00
GCA_000723205.1_FAGA1_genomic	s__algicola (UID2846)	47	571	303	3	564	4	0	0	0	99.01	0.71	0.00
GCA_000729985.1_ASM72998v1_genomic	o__Flavobacteriales (UID2815)	123	323	204	0	320	3	0	0	0	100.00	1.14	0.00
GCA_000732625.1_ASM73262v1_genomic	s__algicola (UID2847)	33	496	263	6	490	0	0	0	0	98.54	0.00	0.00
GCA_000733475.1_ASM73347v1_genomic	s__algicola (UID2846)	47	571	303	11	559	1	0	0	0	99.01	0.17	0.00
GCA_000733925.1_ASM73392v1_genomic	s__algicola (UID2846)	47	571	303	1	562	8	0	0	0	99.67	1.42	12.50
