Genome_ID,Bin_Id,Marker lineage,Completeness,Contamination,Strain_heterogeneity,Quality_score,classification,Domain,Phyla,Class,Order,Family,Genus,Species,n_scaffolds,n_contigs,scaf_bp,contig_bp,gap_pct,scaf_N50,scaf_L50,ctg_N50,ctg_L50,scaf_N90,scaf_L90,ctg_N90,ctg_L90,scaf_max,ctg_max,scaf_n_gt50K,scaf_pct_gt50K,gc_avg,gc_std,Classification_quality
GCA_000152985.1,GCA_000152985.1_ASM15298v1_genomic,s__algicola (UID2847),99.05,0.0,0.0,99.05,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Leeuwenhoekiella;s__Leeuwenhoekiella blandensis,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Leeuwenhoekiella,Leeuwenhoekiella blandensis,1,15,4244565,4238065,0.153,1,4244565,4,392634,1,4244565,9,227748,4244565,881118,1,100.0,0.39758000000000004,0.0,Medium
GCA_000153165.2,GCA_000153165.2_ASM15316v2_genomic,s__algicola (UID2846),99.5,0.38,0.0,97.6,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Maribacter_A;s__Maribacter_A sp000153165,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Maribacter_A,Maribacter_A sp000153165,1,1,3868304,3868304,0.0,1,3868304,1,3868304,1,3868304,1,3868304,3868304,3868304,1,100.0,0.36977,0.0,Medium
GCA_000153225.1,GCA_000153225.1_ASM15322v1_genomic,f__Flavobacteriaceae (UID2845),99.33,0.34,0.0,97.63,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Polaribacter;s__Polaribacter irgensii,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Polaribacter,Polaribacter irgensii,2,7,2763458,2745458,0.6509999999999999,1,2753184,2,927669,1,2753184,4,173691,2753184,984798,1,99.62799999999999,0.3452,0.00475,Medium
GCA_000153385.1,GCA_000153385.1_ASM15338v1_genomic,s__algicola (UID2847),98.16,0.19,0.0,97.21,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Nonlabens;s__Nonlabens sp000153385,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Nonlabens,Nonlabens sp000153385,7,17,3103424,3083153,0.653,1,2403690,2,523833,2,692184,8,133334,2403690,1099147,2,99.757,0.34953,0.04293,Medium
GCA_000153485.2,GCA_000153485.2_ASM15348v2_genomic,s__algicola (UID2847),98.73,2.28,44.44,87.33000000000001,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Psychroflexus;s__Psychroflexus torquis,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Psychroflexus,Psychroflexus torquis,1,1,4321832,4321832,0.0,1,4321832,1,4321832,1,4321832,1,4321832,4321832,4321832,1,100.0,0.34525,0.0,Medium
GCA_000154725.1,GCA_000154725.1_ASM15472v1_genomic,s__algicola (UID2846),99.48,0.61,0.0,96.43,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Kordia;s__Kordia algicida,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Kordia,Kordia algicida,1,34,5033129,5019836,0.264,1,5033129,4,361838,1,5033129,17,72927,5033129,829922,1,100.0,0.34263000000000005,0.0,Medium
GCA_000169355.1,GCA_000169355.1_ASM16935v1_genomic,f__Flavobacteriaceae (UID2817),99.62,0.18,0.0,98.72,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__Flavobacterium sp000169355,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium sp000169355,14,14,2806989,2806989,0.0,2,530652,2,530652,6,144028,6,144028,1327029,1327029,8,98.72,0.31431,0.03746,Medium
GCA_000171875.1,GCA_000171875.1_ASM17187v1_genomic,s__algicola (UID2846),98.84,1.76,88.89,90.04,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Winogradskyella;s__Winogradskyella sp000171875,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Winogradskyella,Winogradskyella sp000171875,8,8,3825707,3825707,0.0,2,1029779,2,1029779,5,161788,5,161788,1212026,1212026,8,100.0,0.32399,0.0032600000000000003,Low
GCA_000173095.1,GCA_000173095.1_ASM17309v1_genomic,k__Bacteria (UID2566),91.18,0.0,0.0,91.18,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__MS024-2A;s__MS024-2A sp000173095,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,MS024-2A,MS024-2A sp000173095,17,17,1905484,1905483,0.0,2,371257,2,371257,7,52249,7,52249,684032,684032,7,90.444,0.35706,0.02474,Medium
GCA_000173115.1,GCA_000173115.1_ASM17311v1_genomic,s__algicola (UID2846),72.67,0.18,33.33,71.77,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__MAG-120531;s__MAG-120531 sp000173115,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,MAG-120531,MAG-120531 sp000173115,21,21,1515248,1515248,0.0,3,102182,3,102182,12,27722,12,27722,549383,549383,7,76.764,0.38706999999999997,0.02096,Low
GCA_000173675.1,GCA_000173675.1_ASM17367v1_genomic,p__Bacteroidetes (UID2605),99.52,0.0,0.0,99.52,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Capnocytophaga;s__Capnocytophaga sputigena,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga,Capnocytophaga sputigena,65,65,2997845,2997836,0.0,8,154533,8,154533,28,27071,28,27071,286724,286724,19,80.751,0.38426,0.04218,Medium
GCA_000174755.1,GCA_000174755.1_ASM17475v1_genomic,p__Bacteroidetes (UID2605),99.76,0.48,0.0,97.36,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Capnocytophaga;s__Capnocytophaga gingivalis,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga,Capnocytophaga gingivalis,37,37,2667138,2667138,0.0,6,152766,6,152766,18,42682,18,42682,337980,337980,16,87.429,0.40489,0.030739999999999996,Medium
GCA_000183155.1,GCA_000183155.1_ASM18315v1_genomic,o__Flavobacteriales (UID2815),100.0,0.0,0.0,100.0,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Riemerella;s__Riemerella anatipestifer,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Riemerella,Riemerella anatipestifer,1,1,2155121,2155121,0.0,1,2155121,1,2155121,1,2155121,1,2155121,2155121,2155121,1,100.0,0.3501,0.0,Medium
GCA_000183985.1,GCA_000183985.1_ASM18398v1_genomic,p__Bacteroidetes (UID2605),100.0,0.0,0.0,100.0,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Capnocytophaga;s__Capnocytophaga ochracea,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga,Capnocytophaga ochracea,9,61,2663545,2635317,1.06,1,2652826,10,84309,1,2652826,29,31602,2652826,289625,1,99.598,0.39459,0.06569,Medium
GCA_000184135.2,GCA_000184135.2_ASM18413v2_genomic,o__Flavobacteriales (UID2815),100.0,0.0,0.0,100.0,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Riemerella;s__Riemerella anatipestifer,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Riemerella,Riemerella anatipestifer,29,29,2130198,2130195,0.0,5,185462,5,185462,12,47800,12,47800,371415,371415,10,85.68799999999999,0.34968,0.042339999999999996,Medium
GCA_000186265.1,GCA_000186265.1_ASM18626v1_genomic,s__algicola (UID2846),99.67,0.71,0.0,96.12,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Cellulophaga;s__Cellulophaga algicola,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Cellulophaga,Cellulophaga algicola,1,1,4888353,4888353,0.0,1,4888353,1,4888353,1,4888353,1,4888353,4888353,4888353,1,100.0,0.33766,0.0,Medium
GCA_000189415.1,GCA_000189415.1_ASM18941v1_genomic,k__Bacteria (UID2565),100.0,0.0,0.0,100.0,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Weeksella;s__Weeksella virosa,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Weeksella,Weeksella virosa,1,1,2272954,2272954,0.0,1,2272954,1,2272954,1,2272954,1,2272954,2272954,2272954,1,100.0,0.35922,0.0,Medium
GCA_000190595.1,GCA_000190595.1_ASM19059v1_genomic,s__algicola (UID2846),99.67,0.0,0.0,99.67,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Cellulophaga;s__Cellulophaga lytica,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Cellulophaga,Cellulophaga lytica,1,1,3765936,3765936,0.0,1,3765936,1,3765936,1,3765936,1,3765936,3765936,3765936,1,100.0,0.32111,0.0,Medium
GCA_000191565.1,GCA_000191565.1_ASM19156v1_genomic,o__Flavobacteriales (UID2815),100.0,0.0,0.0,100.0,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Riemerella;s__Riemerella anatipestifer,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Riemerella,Riemerella anatipestifer,1,1,2166384,2166384,0.0,1,2166384,1,2166384,1,2166384,1,2166384,2166384,2166384,1,100.0,0.35007,0.0,Medium
GCA_000192225.1,GCA_000192225.1_ASM19222v1_genomic,p__Bacteroidetes (UID2605),100.0,0.0,0.0,100.0,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Capnocytophaga;s__Capnocytophaga sp000192225,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga,Capnocytophaga sp000192225,29,74,2548422,2478610,2.739,1,2360944,8,113645,1,2360944,23,34967,2360944,290453,2,97.855,0.36665,0.06176,Medium
GCA_000196315.1,GCA_000196315.1_ASM19631v1_genomic,s__algicola (UID2847),99.62,0.19,0.0,98.67,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Croceibacter;s__Croceibacter atlanticus,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Croceibacter,Croceibacter atlanticus,1,1,2952962,2952962,0.0,1,2952962,1,2952962,1,2952962,1,2952962,2952962,2952962,1,100.0,0.339,0.0,Medium
GCA_000211855.3,GCA_000211855.3_ASM21185v3_genomic,s__algicola (UID2846),99.67,0.0,0.0,99.67,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Lacinutrix;s__Lacinutrix sp000211855,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Lacinutrix,Lacinutrix sp000211855,1,1,3296168,3296168,0.0,1,3296168,1,3296168,1,3296168,1,3296168,3296168,3296168,1,100.0,0.30823,0.0,Medium
GCA_000212355.1,GCA_000212355.1_ASM21235v1_genomic,s__algicola (UID2847),99.62,0.0,0.0,99.62,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Dokdonia;s__Dokdonia sp000212355,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Dokdonia,Dokdonia sp000212355,1,1,3389993,3389993,0.0,1,3389993,1,3389993,1,3389993,1,3389993,3389993,3389993,1,100.0,0.37289,0.0,Medium
GCA_000213295.2,GCA_000213295.2_ASM21329v2_genomic,p__Bacteroidetes (UID2605),94.34,0.24,0.0,93.14,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Capnocytophaga;s__Capnocytophaga leadbetteri,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga,Capnocytophaga leadbetteri,141,287,2536778,2456193,3.177,20,40450,47,15650,68,10915,155,4264,113873,66274,13,38.562,0.40036,0.03802,High
GCA_000218485.2,GCA_000218485.2_ASM21848v2_genomic,s__algicola (UID2847),99.62,0.57,0.0,96.77000000000001,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Aquimarina;s__Aquimarina agarivorans,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Aquimarina,Aquimarina agarivorans,183,183,4073879,4073878,0.0,20,57084,20,57084,67,18943,67,18943,211929,211929,27,59.821000000000005,0.33238,0.08175,High
GCA_000220525.2,GCA_000220525.2_ASM22052v2_genomic,f__Flavobacteriaceae (UID2845),96.81,0.84,0.0,92.61,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Ochrovirga;s__Ochrovirga pacifica,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Ochrovirga,Ochrovirga pacifica,77,77,3384629,3384610,0.001,12,105634,12,105634,36,31089,36,31089,246784,246782,25,77.265,0.33934000000000003,0.02636,High
GCA_000220585.2,GCA_000220585.2_ASM22058v2_genomic,s__algicola (UID2846),98.68,0.66,0.0,95.38000000000001,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Croceivirga;s__Croceivirga radicis,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Croceivirga,Croceivirga radicis,61,61,3704661,3704659,0.0,10,131549,10,131549,26,51882,26,51881,387696,387695,26,90.845,0.37062,0.05152,Medium
GCA_000220625.1,GCA_000220625.1_ASM22062v1_genomic,p__Bacteroidetes (UID2605),100.0,0.24,0.0,98.8,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Capnocytophaga;s__Capnocytophaga canimorsus,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga,Capnocytophaga canimorsus,1,1,2571406,2571406,0.0,1,2571406,1,2571406,1,2571406,1,2571406,2571406,2571406,1,100.0,0.36109,0.0,Medium
GCA_000224085.1,GCA_000224085.1_ASM22408v1_genomic,s__algicola (UID2846),99.34,0.83,33.33,95.19,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Muricauda;s__Muricauda ruestringensis,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Muricauda,Muricauda ruestringensis,1,1,3842422,3842422,0.0,1,3842422,1,3842422,1,3842422,1,3842422,3842422,3842422,1,100.0,0.41358,0.0,Medium
GCA_000224335.2,GCA_000224335.2_BizArg_1.0_genomic,s__algicola (UID2846),99.34,0.07,0.0,98.99000000000001,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Algorimicrobium;s__Algorimicrobium argentinensis,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Algorimicrobium,Algorimicrobium argentinensis,70,70,3279329,3279329,0.0,9,112341,9,112341,30,31499,30,31499,377019,377019,24,83.60600000000001,0.33769,0.0296,Medium
GCA_000240075.2,GCA_000240075.2_ASM24007v2_genomic,f__Flavobacteriaceae (UID2817),99.65,0.53,50.0,97.0,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__Flavobacterium columnare,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium columnare,1,1,3162432,3162432,0.0,1,3162432,1,3162432,1,3162432,1,3162432,3162432,3162432,1,100.0,0.31465,0.0,Low
GCA_000240095.3,GCA_000240095.3_ASM24009v3_genomic,k__Bacteria (UID2565),100.0,0.0,0.0,100.0,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Elizabethkingia;s__Elizabethkingia anophelis,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Elizabethkingia,Elizabethkingia anophelis,1,1,4093812,4093812,0.0,1,4093812,1,4093812,1,4093812,1,4093812,4093812,4093812,1,100.0,0.35479,0.0,Medium
GCA_000242075.2,GCA_000242075.2_Myro_odor_CCUG_10230_V2_genomic,f__Flavobacteriaceae (UID2817),99.65,0.88,66.67,95.25,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Myroides;s__Myroides odoratimimus,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Myroides,Myroides odoratimimus,7,38,4026612,3992214,0.8540000000000001,1,2133115,6,244653,3,536823,17,83139,2133115,464436,5,99.464,0.33984000000000003,0.01857,Low
GCA_000242095.1,GCA_000242095.1_Myro_odor_CCUG_12901_V1_genomic,f__Flavobacteriaceae (UID2817),99.65,0.18,0.0,98.75,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Myroides;s__Myroides odoratimimus,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Myroides,Myroides odoratimimus,3,54,4070988,4037729,0.8170000000000001,1,3471562,12,127555,2,594067,32,38325,3471562,266438,2,99.868,0.34059,0.0082,Medium
GCA_000242135.1,GCA_000242135.1_Myro_odor_CIP_101113_V1_genomic,f__Flavobacteriaceae (UID2817),99.65,0.18,0.0,98.75,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Myroides;s__Myroides odoratimimus,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Myroides,Myroides odoratimimus,3,59,4138659,4092291,1.12,1,2491923,8,140098,3,538675,31,38086,2491923,461824,3,100.0,0.33966999999999997,0.00718,Medium
GCA_000243235.1,GCA_000243235.1_ASM24323v1_genomic,s__algicola (UID2847),99.49,0.0,0.0,99.49,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Gillisia;s__Gillisia limnaea,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Gillisia,Gillisia limnaea,2,35,3966857,3963623,0.08199999999999999,1,3558876,6,236824,2,407981,16,95562,3558876,625392,2,100.0,0.37615,0.005,Medium
GCA_000243275.1,GCA_000243275.1_ASM24327v1_genomic,f__Flavobacteriaceae (UID2817),99.65,3.0,38.46,84.65,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Myroides;s__Myroides odoratus,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Myroides,Myroides odoratus,1,54,4301842,4296542,0.12300000000000001,1,4301842,7,198887,1,4301842,22,70324,4301842,410147,1,100.0,0.3581,0.0,Medium
GCA_000246945.2,GCA_000246945.2_ASM24694v2_genomic,f__Flavobacteriaceae (UID2817),99.65,0.47,100.0,97.30000000000001,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Myroides;s__Myroides injenensis,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Myroides,Myroides injenensis,226,226,3458160,3458157,0.0,35,31771,35,31771,105,10476,105,10476,116642,116642,12,24.136,0.3135,0.03891,Low
GCA_000252125.2,GCA_000252125.2_ASM25212v2_genomic,f__Flavobacteriaceae (UID2817),99.29,0.0,0.0,99.29,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__Flavobacterium frigoris_A,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium frigoris_A,52,52,3934101,3934101,0.0,5,257011,5,257011,18,53348,18,53348,789461,789461,21,94.305,0.34373000000000004,0.03085,Medium
GCA_000252855.1,GCA_000252855.1_ASM25285v1_genomic,o__Flavobacteriales (UID2815),100.0,0.0,0.0,100.0,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Riemerella;s__Riemerella anatipestifer,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Riemerella,Riemerella anatipestifer,1,1,2164087,2164087,0.0,1,2164087,1,2164087,1,2164087,1,2164087,2164087,2164087,1,100.0,0.35005,0.0,Medium
