,sample_attribute
10,
11,
12,"finishing strategy (depth of coverage): Level 2: High-Quality Draft157 || collection date: not determined || estimated_size: 6749000 || isol_growth_condt: not determined || specific host: Homo sapiens || project_type: Reference Genome || lat_lon: not determined || biome: terrestrial biome [ENVO:00000446] || misc_param: HMP body site: not determined || nucleic acid extraction: not determined || investigation type: missing || feature: human-associated habitat [ENVO:00009003] || host taxid: 9606 || project_name: Capnocytophaga sp. oral taxon 329 F0087 || assembly: not determined || geo_loc_name: not determined || source_mat_id: BEI HM-267 || material: biological product [ENVO:02000043] || ref_biomaterial: not determined || misc_param: HMP supersite: oral || num_replicons: not determined || sequencing method: 454, Sanger || sop: http://hmpdacc.org/doc/CommonGeneAnnotation_SOP.pdf || strain: F0087 || environmental package: missing || isolation-source: oral cavity || BioSampleModel: MIGS.ba"
13,"env_package: missing || biotic_relationship: free living || Isolation Site: Seawater sediment suspension containing hexadecane; Germany, North Sea coast. || Temperature Optimum: 30C || feature: not provided; submitted under MIGS 2.1 || isol_growth_condt: 11760940 || GOLD Stamp ID: Gi05354 || lat_lon: Missing || collection_date: Missing || investigation_type: bacteria_archaea || environment: Missing || Gram Staining: Gram- || Isolation Comments: isolated by U. Maschmann || Temperature Range: Mesophile || Type Strain: Yes || rel_to_oxygen: facultative || project_name: Muricauda ruestringensis B1, DSM 13258 || geo_loc_name: Germany || biome: not provided; submitted under MIGS 2.1 || material: not provided; submitted under MIGS 2.1 || ref_biomaterial: DSM 13258 || alt_elev: Missing || num_replicons: 1 || isolation-source: Seawater sediment suspension containing hexadecane || trophic_level: heterotroph || strain: DSM 13258 || depth: Missing || type-material: type strain of Muricauda ruestringensis || BioSampleModel: MIGS.ba"
14,"biotic_relationship: free living || strain: DSM 2801 || Motility: Nonmotile || lat_lon: Missing || biome: not provided; submitted under MIGS 2.1 || collection_date: Missing || feature: not provided; submitted under MIGS 2.1 || investigation_type: bacteria_archaea || Gram Staining: Gram- || Type Strain: Yes || Temperature Range: Mesophile || Isolation Comments: isolated by M Stutzer in 1926 || rel_to_oxygen: anaerobe || project_name: Myroides odoratus DSM 2801 || geo_loc_name: Germany || material: not provided; submitted under MIGS 2.1 || ref_biomaterial: DSM 2801, ATCC 4651, IAM 14199, JCM 7458, NCTC 11036 || alt_elev: Missing || culture-collection: DSM:2801 || num_replicons: 1 || environment: Missing || trophic_level: Missing || isol_growth_condt: Missing || env_package: missing || GOLD Stamp ID: Gi04621 || depth: Missing || type-material: type strain of Myroides odoratus || BioSampleModel: MIGS.ba"
15,"env_package: missing || biotic_relationship: free living || Isolation Site: sea water from Vestfold Hills Antarctica || feature: not provided; submitted under MIGS 2.1 || isol_growth_condt: 12361255 || Motility: Nonmotile || GOLD Stamp ID: Gi04179 || lat_lon: 68.582 S 77.966 E || collection_date: Missing || Cell Shape: Rod-shaped || investigation_type: bacteria_archaea || environment: Marine || Gram Staining: Gram- || Temperature Range: Psychrotolerant || Type Strain: Yes || rel_to_oxygen: obligate aerobe || project_name: Aequorivita sublithincola DSM 14238 || geo_loc_name: Missing || biome: not provided; submitted under MIGS 2.1 || material: not provided; submitted under MIGS 2.1 || ref_biomaterial: DSM 14238, ACAM 643 || alt_elev: Missing || culture-collection: DSM:14238 || num_replicons: 1 || isolation-source: sea water || trophic_level: chemoheterotroph || strain: DSM 14238 || depth: Missing || type-material: type strain of Aequorivita sublithincola || BioSampleModel: MIGS.ba"
16,"biotic_relationship: free living || Isolation source: Turkey, respiratory tract; United Kingdom || strain: DSM 15997 || Body Sample Site: Airways || lat_lon: Missing || biome: not provided; submitted under MIGS 2.1 || collection_date: Missing || feature: not provided; submitted under MIGS 2.1 || investigation_type: bacteria_archaea || Host: Turkey || Type Strain: Yes || Temperature Range: Mesophile || rel_to_oxygen: microanaerobe || project_name: Ornithobacterium rhinotracheale DSM 15997 || geo-loc-name: United Kingdom || material: not provided; submitted under MIGS 2.1 || ref_biomaterial: DSM 15997, CCUG 23171, LMG 9086 || Body Sample SubSite: Respiratory tract || alt_elev: Missing || culture-collection: DSM:15997 || num_replicons: 1 || environment: Host || trophic_level: Missing || isol_growth_condt: 8123560 || env_package: missing || GOLD Stamp ID: Gi04609 || depth: Missing || type-material: type strain of Ornithobacterium rhinotracheale || BioSampleModel: MIGS.ba"
17,finishing strategy (depth of coverage): Level 2: High-Quality Draft32x;62 || collection date: not determined || estimated_size: 2590000 || isol_growth_condt: not determined || specific host: Homo sapiens || project_type: Reference Genome || lat_lon: not determined || biome: terrestrial biome [ENVO:00000446] || misc_param: HMP body site: not determined || nucleic acid extraction: not determined || investigation type: missing || feature: human-associated habitat [ENVO:00009003] || host taxid: 9606 || project_name: Capnocytophaga sp. oral taxon 412 F0487 || assembly: Celera Assembler v. 6.1 || geo_loc_name: not determined || source_mat_id: BEI HM-816 || material: biological product [ENVO:02000043] || ref_biomaterial: not determined || misc_param: HMP supersite: oral || num_replicons: not determined || sequencing method: Illumina HiSeq 2000 || sop: http://hmpdacc.org/doc/CommonGeneAnnotation_SOP.pdf || strain: F0487 || environmental package: missing
18,"finishing strategy (depth of coverage): Level 2: High-Quality Draft10x;42 || collection date: not determined || estimated_size: 2654000 || isol_growth_condt: not determined || specific host: Homo sapiens || project_type: Reference Genome || lat_lon: not determined || biome: terrestrial biome [ENVO:00000446] || misc_param: HMP body site: not determined || nucleic acid extraction: not determined || investigation type: missing || feature: human-associated habitat [ENVO:00009003] || host taxid: 9606 || project_name: Capnocytophaga ochracea Holt 25, ATCC 33596 || assembly: CA v6.1 || geo_loc_name: not determined || source_mat_id: ATCC 33596 || material: biological product [ENVO:02000043] || ref_biomaterial: not determined || misc_param: HMP supersite: oral || num_replicons: not determined || sequencing method: Illumina HiSeq 2000 || sop: http://hmpdacc.org/doc/CommonGeneAnnotation_SOP.pdf || strain: Holt 25 || environmental package: missing"
19,finishing strategy (depth of coverage): Level 2: High-Quality Draft11x;38 || collection date: not determined || estimated_size: 2546000 || isol_growth_condt: not determined || specific host: Homo sapiens || project_type: Reference Genome || lat_lon: not determined || biome: terrestrial biome [ENVO:00000446] || misc_param: HMP body site: not determined || nucleic acid extraction: not determined || investigation type: missing || feature: human-associated habitat [ENVO:00009003] || host taxid: 9606 || project_name: Capnocytophaga sp. oral taxon 335 F0486 || assembly: CA v6.1 || geo_loc_name: not determined || source_mat_id: BEI HM-815 || material: biological product [ENVO:02000043] || ref_biomaterial: not determined || misc_param: HMP supersite: oral || num_replicons: not determined || sequencing method: Illumina HiSeq 2000 || sop: http://hmpdacc.org/doc/CommonGeneAnnotation_SOP.pdf || strain: F0486 || environmental package: missing
20,strain: CF136
21,strain: CF314
22,finishing strategy (depth of coverage): Level 2: High-Quality Draft33x;75 || collection date: not determined || estimated_size: 2785000 || isol_growth_condt: not determined || specific host: Homo sapiens || project_type: Reference Genome || lat_lon: not determined || biome: terrestrial biome [ENVO:00000446] || misc_param: HMP body site: not determined || nucleic acid extraction: not determined || investigation type: missing || feature: human-associated habitat [ENVO:00009003] || host taxid: 9606 || project_name: Capnocytophaga sp. CM59 || assembly: CA v6.1 || geo_loc_name: not determined || source_mat_id: BEI HM-763 || material: biological product [ENVO:02000043] || ref_biomaterial: not determined || misc_param: HMP supersite: oral || num_replicons: not determined || sequencing method: Illumina HiSeq 2000 || sop: http://hmpdacc.org/doc/CommonGeneAnnotation_SOP.pdf || strain: CM59 || environmental package: missing
23,strain: AK20
24,strain: DSM 16469 || country: Germany || collection_date: Missing || host: pigeons || culture-collection: DSM:16469 || lat_lon: Missing || GOLD Stamp ID: Gi11855 || Isolation Site: pigeon palatine cleft || Gram Staining: Gram- || project_name: Riemerella columbina DSM 16469 || alt_elev: Missing || environment: Host || ref_biomaterial: DSM 16469 || biotic_relationship: Missing || trophic_level: Missing || rel_to_oxygen: Missing || isol_growth_condt: Missing || Type Strain: Yes || Host Health: Associated with respiratory disease in pigeons || type-material: type strain of Riemerella columbina
25,"env_package: missing || biotic_relationship: free living || feature: not provided; submitted under MIGS 2.1 || isol_growth_condt: 2915017 || GOLD Stamp ID: Gi04008 || lat_lon: Missing || Diseases: None || isolation source: Mouth of a dog; USA, Virginia || collection_date: Missing || investigation_type: bacteria_archaea || environment: Host || Gram Staining: Gram- || Type Strain: Yes || rel_to_oxygen: microaerophilic || project_name: Capnocytophaga cynodegmi E6447, DSM 19736 || geo_loc_name: USA || biome: not provided; submitted under MIGS 2.1 || material: not provided; submitted under MIGS 2.1 || ref_biomaterial: DSM 19736, ATCC 49044, CCUG 24742, CIP 103937, NCTC 12243 || alt_elev: Missing || num_replicons: Missing || trophic_level: Missing || strain: E6447, DSM 19736 || depth: Missing || BioSampleModel: MIGS.ba"
26,strain: SCGC AAA160-P02 || note: single cell isolate || country: Atlantic Ocean || collection_date: 9/16/2009 12:00:00 AM || lat_lon: 43.84 N 69.64 W || GOLD Stamp ID: Gi0020092 || Isolation Site: Gulf of Maine || Gram Staining: Gram- || project_name: Flavobacterium sp. SCGC AAA160-P02 || alt_elev: Missing || environment: Marine || ref_biomaterial: Missing || biotic_relationship: Missing || trophic_level: Missing || rel_to_oxygen: Missing || isol_growth_condt: Missing
27,strain: ATCC 13253 || note: ATCC 13253 = NBRC 12535 || culture-collection: ATCC:13253 || type-material: type strain of Elizabethkingia meningoseptica
28,"strain: DSM 19726 || country: Antarctica || culture-collection: DSM:19726 || lat_lon: 61.988 S 58.019 W || GOLD Stamp ID: Gi11491 || Isolation Site: soil sample of a penguin habitat near the King Sejong Station on King George Island, Antarctica || Cell Shape: Rod-shaped || Motility: Nonmotile || Temperature Range: Psychrotolerant || Temperature Optimum: 21.2 C || Gram Staining: Gram- || project_name: Flavobacterium antarcticum DSM 19726 || environment: Soil || ref_biomaterial: DSM 19726 || biotic_relationship: free living || rel_to_oxygen: aerobe || isol_growth_condt: 15774636 || Type Strain: Yes || type-material: type strain of Flavobacterium antarcticum"
29,strain: DSM 18436 || country: Japan || collection_date: 27-Jul-2005 || culture-collection: DSM:18436 || lat_lon: 35.30038 N 139.4999 E || GOLD Stamp ID: Gi11673 || Isolation Site: Shallow seawater sample || Cell Shape: Rod-shaped || Motility: Motile || Sporulation: Nonsporulating || Temperature Range: Mesophile || Temperature Optimum: 35-37 C || Gram Staining: Gram- || Phenotypes: Gliding; Catalase positive || project_name: Mesoflavibacter zeaxanthinifaciens DSM 18436 || environment: Sea water; Aquatic; Marine || ref_biomaterial: DSM 18436 || rel_to_oxygen: aerobe || isol_growth_condt: 17276025 || Type Strain: Yes || pH: 5.5-11.0 || type-material: type strain of Mesoflavibacter zeaxanthinifaciens
30,strain: JM1 || GOLD Stamp ID: Gi13912 || project_name: Gillisia sp. JM1
31,strain: DSM 12212 || country: Antarctica || culture-collection: DSM:12212 || lat_lon: 68.6332 S 78.1000 E || GOLD Stamp ID: Gi11848 || Isolation Site: Pycnocline or antarctic lake || Motility: Nonmotile || Temperature Range: Psychrophile || Temperature Optimum: 10-12 C || Gram Staining: Gram- || Phenotypes: Catalase positive || project_name: Psychroserpens burtonensis DSM 12212 || environment: Antarctic; Lake; Fresh water; Aquatic || ref_biomaterial: DSM 12212 || trophic_level: chemoheterotroph || rel_to_oxygen: aerobe || isol_growth_condt: 9226898 || Type Strain: Yes || type-material: type strain of Psychroserpens burtonensis
32,strain: DSM 17708 || country: South Korea || culture-collection: DSM:17708 || lat_lon: 36.35 N 127.38 E || GOLD Stamp ID: Gi11493 || Isolation Site: Greenhouse soils || Cell Shape: Rod-shaped || Temperature Range: Mesophile || Gram Staining: Gram- || Phenotypes: Catalase positive || project_name: Flavobacterium daejeonense DSM 17708 || environment: Soil || ref_biomaterial: DSM 17708 || isol_growth_condt: 16825643 || Type Strain: Yes || pH: 6-8 || type-material: type strain of Flavobacterium daejeonense
33,strain: DSM 15936 || country: Germany || host: Aporrectodea caliginosa || culture-collection: DSM:15936 || lat_lon: 49.951 N 11.570 E || GOLD Stamp ID: Gi11494 || Isolation Site: Gut of earthworm (Aporrectodea caliginosa) || Cell Shape: Rod-shaped || Motility: Motile || Temperature Range: Mesophile || Temperature Optimum: 25 C || Gram Staining: Gram- || project_name: Flavobacterium denitrificans DSM 15936 || environment: Host; Soil || ref_biomaterial: DSM 15936 || rel_to_oxygen: facultative || isol_growth_condt: 15879265 || Type Strain: Yes || pH: 7 || type-material: type strain of Flavobacterium denitrificans
34,strain: DSM 22377 || country: Antarctica || culture-collection: DSM:22377 || GOLD Stamp ID: Gi11507 || Isolation Site: Cyanobacterial mat from a marine salinity meromictic lake || Cell Shape: Rod-shaped || Motility: Motile || Temperature Range: Psychrotrophic || Temperature Optimum: 20 C || Gram Staining: Gram- || Phenotypes: Gliding; Catalase positive || project_name: Flavobacterium tegetincola DSM 22377 || environment: Marine; Mat; Antarctic; Fresh water; Aquatic || ref_biomaterial: DSM 22377 || trophic_level: chemoheterotroph || rel_to_oxygen: aerobe || isol_growth_condt: 10843045 || Type Strain: Yes || type-material: type strain of Flavobacterium tegetincola
35,strain: DSM 17032 || country: South Korea || culture-collection: DSM:17032 || GOLD Stamp ID: Gi11517 || Isolation Site: Tidal flat sediment || Cell Shape: Rod-shaped || Motility: Motile || Sporulation: Nonsporulating || Temperature Range: Mesophile || Temperature Optimum: 25-30 C || Gram Staining: Gram- || Phenotypes: Gliding; Catalase positive || project_name: Gaetbulibacter saemankumensis DSM 17032 || environment: Sediment || ref_biomaterial: DSM 17032 || rel_to_oxygen: aerobe || isol_growth_condt: 16166676 || Type Strain: Yes || pH: 7-8 || type-material: type strain of Gaetbulibacter saemankumensis
36,strain: DSM 19388 || country: South Korea || culture-collection: DSM:19388 || lat_lon: 35.879314 N 128.60281 E || GOLD Stamp ID: Gi11261 || Isolation Site: Wastewater of a textile dye works || Cell Shape: Rod-shaped || Motility: Nonmotile || Temperature Range: Mesophile || Temperature Optimum: 30-37 C || Gram Staining: Gram- || Phenotypes: Catalase positive || project_name: Chryseobacterium daeguense DSM 19388 || environment: Wastewater || ref_biomaterial: DSM 19388 || rel_to_oxygen: aerobe || isol_growth_condt: 17551058 || Type Strain: Yes || pH: 5.5-9.0 || type-material: type strain of Chryseobacterium daeguense
37,strain: UNC8MFCol || GOLD Stamp ID: Gi0045600 || project_name: Chryseobacterium sp. UNC8MFCol
38,env_package: missing || investigation_type: bacteria_archaea || strain: 47A_GOM-205m || geo-loc-name: missing || lat_lon: missing || biome: not provided; submitted under MIGS 2.1 || feature: not provided; submitted under MIGS 2.1 || material: not provided; submitted under MIGS 2.1 || project_name: Tenacibaculum sp. 47A_GOM-205m || sequencing_meth: WGS || ref_biomaterial: missing || GOLD Stamp ID: Gi0042597 || isol_growth_condt: missing || collection_date: missing || num_replicons: missing || BioSampleModel: MIGS.ba
39,env_package: missing || investigation_type: bacteria_archaea || strain: CAM030 || geo-loc-name: missing || lat_lon: missing || biome: not provided; submitted under MIGS 2.1 || feature: not provided; submitted under MIGS 2.1 || material: not provided; submitted under MIGS 2.1 || project_name: Olleya marilimosa CAM030 || sequencing_meth: WGS || ref_biomaterial: ACAM 1065 || GOLD Stamp ID: Gi22676 || Type Strain: Yes || Gram Staining: Gram- || isol_growth_condt: missing || collection_date: missing || num_replicons: missing || type-material: type strain of Olleya marilimosa || BioSampleModel: MIGS.ba
40,env_package: missing || investigation_type: bacteria_archaea || strain: VCSA23 || geo-loc-name: missing || lat_lon: missing || biome: not provided; submitted under MIGS 2.1 || feature: not provided; submitted under MIGS 2.1 || material: not provided; submitted under MIGS 2.1 || project_name: Olleya sp. VCSA23 || sequencing_meth: WGS || ref_biomaterial: missing || GOLD Stamp ID: Gi22680 || Gram Staining: Gram- || isol_growth_condt: missing || collection_date: missing || num_replicons: missing || BioSampleModel: MIGS.ba
41,env_package: missing || investigation_type: bacteria_archaea || strain: VCSM12 || geo-loc-name: missing || lat_lon: missing || biome: not provided; submitted under MIGS 2.1 || feature: not provided; submitted under MIGS 2.1 || material: not provided; submitted under MIGS 2.1 || project_name: Olleya sp. VCSM12 || sequencing_meth: WGS || ref_biomaterial: missing || GOLD Stamp ID: Gi22681 || Gram Staining: Gram- || isol_growth_condt: missing || collection_date: missing || num_replicons: missing || BioSampleModel: MIGS.ba
42,strain: DSM 21422 || culture-collection: DSM:21422 || assembly: vpAllpaths v. r46652 || country: Southern Ocean || environment: Marine || investigation_type: bacteria_archaea || isol_growth_condt: 19502334 || project_name: Maribacter antarcticus DSM 21422 || sequencing_meth: WGS || ref_biomaterial: DSM 21422 || rel_to_oxygen: aerobe || finishing_strategy: Level 1: Standard Draft || GOLD Stamp ID: Gi11637 || Type Strain: Yes || Funding Program: DOE-CSP 2012 || Gene Calling Method: Prodigal 2.5 || Isolation Site: Green alga (Pyramimonas gelidicola) || Host Name: Pyramimonas gelidicola || Cell Shape: Rod-shaped || Motility: Nonmotile || Temperature Range: Psychrophile || Temperature Optimum: 10 C || pH: 7-9 || Gram Staining: Gram- || Phenotypes: Catalase positive || type-material: type strain of Maribacter antarcticus
43,strain: DSM 21067 || culture-collection: DSM:21067 || country: South Korea || environment: Wastewater; Aquatic || investigation_type: bacteria_archaea || isol_growth_condt: 19406812 || lat_lon: 35.18 N 129.07 E || project_name: Flavobacterium sasangense DSM 21067 || sequencing_meth: WGS || ref_biomaterial: DSM 21067 || rel_to_oxygen: facultative || finishing_strategy: Level 1: Standard Draft || GOLD Stamp ID: Gi11502 || Type Strain: Yes || Funding Program: DOE-CSP 2012 || Gene Calling Method: Prodigal 2.5 || Isolation Site: Wastewater stream polluted with heavy metals || Cell Shape: Rod-shaped || Motility: Motile || Sporulation: Nonsporulating || Temperature Range: Mesophile || Temperature Optimum: 30 C || pH: 7.5-8.0 || Gram Staining: Gram- || Phenotypes: Gliding; Catalase positive || type-material: type strain of Flavobacterium sasangense
44,geo_loc_name: missing || lat_lon: not collected || num_replicons: missing || project_name: Leeuwenhoekiella sp. MAR_2009_132 || isol_growth_condt: missing || biome: missing || strain: MAR_2009_132 || ref_biomaterial: missing || feature: missing || collection_date: not collected || env_package: missing || material: missing || investigation_type: bacteria_archaea || BioSampleModel: MIGS.ba
45,strain: Hel_I_88 || alt_elev: 0m || assembly: HGAP v. 2.0.1 || depth: 0m || investigation_type: bacteria_archaea || lat_lon: 54.1841 N 7.9 E || project_name: Polaribacter sp. Hel_I_88 || sequencing_meth: WGS || GOLD Stamp ID: Gi0052415 || Gene Calling Method: Prodigal 2.5 || Isolation Site: seawater
46,strain: Hel_I_7 || alt_elev: 0m || assembly: HGAP v. 2.0.1 || depth: 0m || investigation_type: bacteria_archaea || lat_lon: 54.1841 N 7.9 E || project_name: Maribacter sp. Hel_I _7 || sequencing_meth: WGS || GOLD Stamp ID: Gi0052410 || Gene Calling Method: Prodigal 2.5 || Isolation Site: seawater
47,strain: Hel_I_10 || alt_elev: 0m || assembly: HGAP v. 2.0.1 || depth: 0m || investigation_type: bacteria_archaea || lat_lon: 54.1841 N 7.9 E || project_name: Sediminibacter sp. Hel_I_10 || sequencing_meth: WGS || GOLD Stamp ID: Gi0052418 || Gene Calling Method: Prodigal 2.5 || Isolation Site: seawater
48,geo_loc_name: missing || lat_lon: not collected || num_replicons: missing || project_name: Arenibacter sp. TG409 || isol_growth_condt: missing || biome: missing || strain: TG409 || ref_biomaterial: missing || feature: missing || collection_date: not collected || env_package: missing || material: missing || investigation_type: bacteria_archaea || type-material: type strain of Arenibacter algicola || BioSampleModel: MIGS.ba
49,strain: Hel_I_48 || alt_elev: 0m || assembly: HGAP v. 2.0.1 || depth: 0m || investigation_type: bacteria_archaea || lat_lon: 54.1841 N 7.9 E || project_name: Leeuwenhoekiella sp. Hel_I_48 || sequencing_meth: WGS || GOLD Stamp ID: Gi0052407 || Gene Calling Method: Prodigal 2.5 || Isolation Site: seawater
50,geo_loc_name: missing || lat_lon: not collected || num_replicons: missing || project_name: Maribacter forsetii DSM 18668 || isol_growth_condt: missing || biome: missing || strain: DSM 18668 || ref_biomaterial: missing || feature: missing || collection_date: not collected || env_package: missing || material: missing || investigation_type: bacteria_archaea || culture-collection: DSM:18668 || type-material: type strain of Maribacter forsetii || BioSampleModel: MIGS.ba
51,geo_loc_name: missing || lat_lon: not collected || num_replicons: missing || project_name: Gillisia sp. Hel_I_29 || isol_growth_condt: missing || biome: missing || strain: Hel_I_29 || ref_biomaterial: missing || feature: missing || collection_date: not collected || env_package: missing || material: missing || investigation_type: bacteria_archaea || BioSampleModel: MIGS.ba
52,geo_loc_name: missing || lat_lon: not collected || num_replicons: missing || project_name: Chryseobacterium sp. CF299 || isol_growth_condt: missing || biome: missing || strain: CF299 || ref_biomaterial: missing || feature: missing || collection_date: not collected || env_package: missing || material: missing || investigation_type: bacteria_archaea || BioSampleModel: MIGS.ba
53,geo_loc_name: missing || lat_lon: not collected || num_replicons: missing || project_name: Zobellia uliginosa MAR_2009_138 || isol_growth_condt: missing || biome: missing || strain: MAR_2009_138 || ref_biomaterial: missing || feature: missing || collection_date: not collected || env_package: missing || material: missing || investigation_type: bacteria_archaea || BioSampleModel: MIGS.ba
54,geo_loc_name: missing || lat_lon: not collected || num_replicons: missing || project_name: Flavobacterium sp. 83 || isol_growth_condt: missing || biome: missing || strain: 83 || ref_biomaterial: missing || feature: missing || collection_date: not collected || env_package: missing || material: missing || investigation_type: bacteria_archaea || BioSampleModel: MIGS.ba
