,Unnamed: 0,cazymes,Orfs_anno_cazymes%,orfs,index,Merops orfs total,GH total,Orfs_anno_merops%,Assembly accession,Genus,Family,scaf_bp,Completeness,MAG,Origin,Nr_BGCs,PEP:GH,BGCs/genomesize,merops_perMb,bgc_perMb,cazymes_perMb,PEP:GH_permb
10,GCA_000152985.1,156,4.259967231,3662,GCA_000152985.1,154,104,4.205352267,GCA_000152985.1,Leeuwenhoekiella,Flavobacteriaceae,4244565,99.05,False,Unclassified,4,0.987179487,9.42E-07,36.281692,0.94238161,36.7528828,0.987179487
11,GCA_000153165.2,127,3.736393057,3399,GCA_000153165.2,166,69,4.88378935,GCA_000153165.2,Maribacter_A,Flavobacteriaceae,3868304,99.5,False,Unclassified,1,1.307086614,2.59E-07,42.9128631,0.258511224,32.83092539,1.307086614
12,GCA_000153225.1,43,1.775392238,2422,GCA_000153225.1,109,17,4.500412882,GCA_000153225.1,Polaribacter,Flavobacteriaceae,2763458,99.33,False,Unclassified,3,2.534883721,1.09E-06,39.44333513,1.08559638,15.56021477,2.534883721
13,GCA_000153385.1,57,2.048885694,2782,GCA_000153385.1,106,22,3.810208483,GCA_000153385.1,Nonlabens,Flavobacteriaceae,3103424,98.16,False,Unclassified,3,1.859649123,9.67E-07,34.15582273,0.966674228,18.36681034,1.859649123
14,GCA_000153485.2,77,2.058273189,3741,GCA_000153485.2,164,32,4.383854584,GCA_000153485.2,Psychroflexus,Flavobacteriaceae,4321832,98.73,False,Unclassified,4,2.12987013,9.26E-07,37.94687068,0.925533431,17.81651855,2.12987013
15,GCA_000154725.1,85,1.92700068,4411,GCA_000154725.1,172,39,3.899342553,GCA_000154725.1,Kordia,Flavobacteriaceae,5033129,99.48,False,Unclassified,6,2.023529412,1.19E-06,34.17357274,1.192101375,16.88810281,2.023529412
16,GCA_000169355.1,64,2.516712544,2543,GCA_000169355.1,103,24,4.050334251,GCA_000169355.1,Flavobacterium,Flavobacteriaceae,2806989,99.62,False,Unclassified,2,1.609375,7.13E-07,36.69412313,0.712507245,22.80023185,1.609375
17,GCA_000171875.1,93,2.724875476,3413,GCA_000171875.1,187,36,5.479050689,GCA_000171875.1,Winogradskyella,Flavobacteriaceae,3825707,98.84,False,Unclassified,2,2.010752688,5.23E-07,48.8798541,0.522779188,24.30923225,2.010752688
18,GCA_000173095.1,37,2.116704805,1748,GCA_000173095.1,90,18,5.148741419,GCA_000173095.1,MS024-2A,Flavobacteriaceae,1905484,91.18,False,Unclassified,0,2.432432432,0,47.23209431,0,19.41763877,2.432432432
19,GCA_000173115.1,28,2.057310801,1361,GCA_000173115.1,71,11,5.216752388,GCA_000173115.1,MAG-120531,Flavobacteriaceae,1515248,72.67,False,Unclassified,0,2.535714286,0,46.85701615,0,18.47882327,2.535714286
20,GCA_000173675.1,81,2.9988893,2701,GCA_000173675.1,84,48,3.109959274,GCA_000173675.1,Capnocytophaga,Flavobacteriaceae,2997845,99.52,False,Non_marine,4,1.037037037,1.33E-06,28.02012779,1.3342918,27.01940894,1.037037037
21,GCA_000174755.1,44,1.783542764,2467,GCA_000174755.1,89,15,3.607620592,GCA_000174755.1,Capnocytophaga,Flavobacteriaceae,2667138,99.76,False,Non_marine,5,2.022727273,1.87E-06,33.36910201,1.874668652,16.49708414,2.022727273
22,GCA_000183155.1,38,1.892430279,2008,GCA_000183155.1,84,4,4.183266932,GCA_000183155.1,Riemerella,Weeksellaceae,2155121,100,False,Non_marine,0,2.210526316,0,38.97692983,0,17.63242064,2.210526316
23,GCA_000183985.1,86,3.905540418,2202,GCA_000183985.1,78,52,3.542234332,GCA_000183985.1,Capnocytophaga,Flavobacteriaceae,2663545,100,False,Non_marine,3,0.906976744,1.13E-06,29.28428091,1.126318497,32.2877969,0.906976744
24,GCA_000184135.2,38,1.914357683,1985,GCA_000184135.2,85,4,4.282115869,GCA_000184135.2,Riemerella,Weeksellaceae,2130198,100,False,Unclassified,0,2.236842105,0,39.90239405,0,17.83871734,2.236842105
25,GCA_000186265.1,132,3.08411215,4280,GCA_000186265.1,143,69,3.341121495,GCA_000186265.1,Cellulophaga,Flavobacteriaceae,4888353,99.67,False,Marine,4,1.083333333,8.18E-07,29.25320655,0.818271512,27.00295989,1.083333333
26,GCA_000189415.1,48,2.268431002,2116,GCA_000189415.1,98,4,4.631379962,GCA_000189415.1,Weeksella,Weeksellaceae,2272954,100,False,Non_marine,1,2.041666667,4.40E-07,43.11569878,0.43995611,21.11789328,2.041666667
27,GCA_000190595.1,98,2.970597151,3299,GCA_000190595.1,125,51,3.789026978,GCA_000190595.1,Cellulophaga,Flavobacteriaceae,3765936,99.67,False,Non_marine,1,1.275510204,2.66E-07,33.19227942,0.265538235,26.02274707,1.275510204
28,GCA_000191565.1,36,1.728276524,2083,GCA_000191565.1,85,4,4.080652904,GCA_000191565.1,Riemerella,Weeksellaceae,2166384,100,False,Non_marine,0,2.361111111,0,39.23588801,0,16.61755257,2.361111111
29,GCA_000192225.1,44,1.884368308,2335,GCA_000192225.1,87,16,3.725910064,GCA_000192225.1,Capnocytophaga,Flavobacteriaceae,2548422,100,False,Non_marine,5,1.977272727,1.96E-06,34.13877293,1.961998445,17.26558631,1.977272727
30,GCA_000196315.1,70,2.609019754,2683,GCA_000196315.1,118,12,4.398061871,GCA_000196315.1,Croceibacter,Flavobacteriaceae,2952962,99.62,False,Marine,4,1.685714286,1.35E-06,39.95987757,1.354572121,23.70501212,1.685714286
31,GCA_000211855.3,77,2.586496473,2977,GCA_000211855.3,130,16,4.366812227,GCA_000211855.3,Lacinutrix,Flavobacteriaceae,3296168,99.67,False,Marine,2,1.688311688,6.07E-07,39.43973729,0.606765189,23.36045978,1.688311688
32,GCA_000212355.1,81,2.7090301,2990,GCA_000212355.1,132,19,4.414715719,GCA_000212355.1,Dokdonia,Flavobacteriaceae,3389993,99.62,False,Unclassified,4,1.62962963,1.18E-06,38.9381335,1.179943439,23.89385465,1.62962963
33,GCA_000213295.2,62,2.881040892,2152,GCA_000213295.2,74,36,3.43866171,GCA_000213295.2,Capnocytophaga,Flavobacteriaceae,2536778,94.34,False,Non_marine,2,1.193548387,7.88E-07,29.17086162,0.788401665,24.44045163,1.193548387
34,GCA_000218485.2,117,3.2809871,3566,GCA_000218485.2,126,73,3.533370723,GCA_000218485.2,Aquimarina,Flavobacteriaceae,4073879,99.62,False,Unclassified,4,1.076923077,9.82E-07,30.92875365,0.981865195,28.71955696,1.076923077
35,GCA_000220525.2,155,5.4539057,2842,GCA_000220525.2,82,110,2.885292048,GCA_000220525.2,Ochrovirga,Flavobacteriaceae,3384629,96.81,False,Unclassified,1,0.529032258,2.95E-07,24.22717527,0.295453357,45.79527032,0.529032258
36,GCA_000220585.2,134,4.162783473,3219,GCA_000220585.2,122,80,3.789996893,GCA_000220585.2,Croceivirga,Flavobacteriaceae,3704661,98.68,False,Unclassified,2,0.910447761,5.40E-07,32.9314882,0.539860462,36.17065097,0.910447761
37,GCA_000220625.1,68,3.02760463,2246,GCA_000220625.1,82,40,3.650934996,GCA_000220625.1,Capnocytophaga,Flavobacteriaceae,2571406,100,False,Non_marine,0,1.205882353,0,31.8891688,0,26.44467657,1.205882353
38,GCA_000224085.1,83,2.38986467,3473,GCA_000224085.1,154,35,4.434206738,GCA_000224085.1,Muricauda,Flavobacteriaceae,3842422,99.34,False,Marine,3,1.855421687,7.81E-07,40.07888774,0.780757553,21.60095898,1.855421687
39,GCA_000224335.2,47,1.5625,3008,GCA_000224335.2,138,5,4.587765957,GCA_000224335.2,Algorimicrobium,Flavobacteriaceae,3279329,99.34,False,Marine,2,2.936170213,6.10E-07,42.08177953,0.609880863,14.33220028,2.936170213
40,GCA_000240075.2,63,2.31277533,2724,GCA_000240075.2,121,12,4.441997063,GCA_000240075.2,Flavobacterium,Flavobacteriaceae,3162432,99.65,False,Unclassified,4,1.920634921,1.26E-06,38.26169227,1.264849331,19.92137697,1.920634921
41,GCA_000240095.3,107,2.832186342,3778,GCA_000240095.3,164,62,4.340921122,GCA_000240095.3,Elizabethkingia,Weeksellaceae,4093812,100,False,Unclassified,4,1.53271028,9.77E-07,40.06046199,0.977084439,26.13700873,1.53271028
42,GCA_000242075.2,37,1.040494938,3556,GCA_000242075.2,135,8,3.79640045,GCA_000242075.2,Myroides,Flavobacteriaceae,4026612,99.65,False,Non_marine,1,3.648648649,2.48E-07,33.52694523,0.248347742,9.188866471,3.648648649
43,GCA_000242095.1,37,1.024363234,3612,GCA_000242095.1,135,8,3.737541528,GCA_000242095.1,Myroides,Flavobacteriaceae,4070988,99.65,False,Non_marine,1,3.648648649,2.46E-07,33.16148316,0.245640616,9.088702792,3.648648649
44,GCA_000242135.1,40,1.103448276,3625,GCA_000242135.1,135,8,3.724137931,GCA_000242135.1,Myroides,Flavobacteriaceae,4138659,99.65,False,Non_marine,1,3.375,2.42E-07,32.61926146,0.241624159,9.664966357,3.375
45,GCA_000243235.1,105,2.986348123,3516,GCA_000243235.1,152,44,4.323094425,GCA_000243235.1,Gillisia,Flavobacteriaceae,3966857,99.49,False,Non_marine,3,1.447619048,7.56E-07,38.31748914,0.756266233,26.46931815,1.447619048
46,GCA_000243275.1,35,0.924702774,3785,GCA_000243275.1,133,5,3.513870542,GCA_000243275.1,Myroides,Flavobacteriaceae,4301842,99.65,False,Unclassified,5,3.8,1.16E-06,30.91698858,1.162292804,8.136049627,3.8
47,GCA_000246945.2,33,1.106268857,2983,GCA_000246945.2,123,8,4.123365739,GCA_000246945.2,Myroides,Flavobacteriaceae,3458160,99.65,False,Non_marine,0,3.727272727,0,35.56804775,0,9.542646957,3.727272727
48,GCA_000252125.2,96,2.814423923,3411,GCA_000252125.2,138,46,4.045734389,GCA_000252125.2,Flavobacterium,Flavobacteriaceae,3934101,99.29,False,Unclassified,3,1.4375,7.63E-07,35.07789963,0.762563035,24.40201713,1.4375
49,GCA_000252855.1,38,1.87654321,2025,GCA_000252855.1,85,4,4.197530864,GCA_000252855.1,Riemerella,Weeksellaceae,2164087,100,False,Unclassified,0,2.236842105,0,39.27753367,0,17.55936799,2.236842105
50,GCA_000253275.1,84,2.699228792,3112,GCA_000253275.1,103,24,3.309768638,GCA_000253275.1,Flavobacterium,Flavobacteriaceae,3563292,98.59,False,Unclassified,2,1.226190476,5.61E-07,28.90585447,0.561278728,23.57370656,1.226190476
51,GCA_000255455.1,128,3.620933522,3535,GCA_000255455.1,126,86,3.564356436,GCA_000255455.1,Aquimarina,Flavobacteriaceae,4257070,98.67,False,Unclassified,3,0.984375,7.05E-07,29.59782198,0.704710047,30.06762867,0.984375
52,GCA_000258765.1,66,2.172481896,3038,GCA_000258765.1,130,19,4.279131007,GCA_000258765.1,Gillisia,Flavobacteriaceae,2981404,98.95,False,Marine,3,1.96969697,1.01E-06,43.60361762,1.00623733,22.13722126,1.96969697
53,GCA_000260115.1,122,3.103535996,3931,GCA_000260115.1,148,78,3.764945307,GCA_000260115.1,Joostella,Flavobacteriaceae,4508243,99.67,False,Unclassified,1,1.213114754,2.22E-07,32.82875391,0.221815905,27.06154038,1.213114754
54,GCA_000260835.1,70,2.583979328,2709,GCA_000260835.1,126,37,4.651162791,GCA_000260835.1,Imtechella,Flavobacteriaceae,3086951,99.67,False,Unclassified,1,1.8,3.24E-07,40.81697442,0.323944241,22.6760969,1.8
55,GCA_000264055.1,79,2.238594503,3529,GCA_000264055.1,158,30,4.477189005,GCA_000264055.1,Flavobacterium,Flavobacteriaceae,3955605,99.12,False,Non_marine,4,2,1.01E-06,39.94332093,1.011223315,19.97166047,2
56,GCA_000265385.1,72,2.254932665,3193,GCA_000265385.1,150,10,4.697776386,GCA_000265385.1,Aequorivita,Flavobacteriaceae,3520671,99.49,False,Marine,3,2.083333333,8.52E-07,42.60551469,0.852110294,20.45064705,2.083333333
57,GCA_000265465.1,74,3.175965665,2330,GCA_000265465.1,79,42,3.39055794,GCA_000265465.1,Ornithobacterium,Weeksellaceae,2399175,100,False,Non_marine,0,1.067567568,0,32.92798566,0,30.84393594,1.067567568
58,GCA_000271925.1,80,3.686635945,2170,GCA_000271925.1,87,50,4.00921659,GCA_000271925.1,Capnocytophaga,Flavobacteriaceae,2590781,100,False,Non_marine,4,1.0875,1.54E-06,33.58060755,1.543935979,30.87871958,1.0875
59,GCA_000277585.1,88,4.009111617,2195,GCA_000277585.1,78,52,3.553530752,GCA_000277585.1,Capnocytophaga,Flavobacteriaceae,2653757,100,False,Non_marine,3,0.886363636,1.13E-06,29.39229176,1.13047276,33.16053429,0.886363636
60,GCA_000277665.1,82,3.891789274,2107,GCA_000277665.1,81,50,3.844328429,GCA_000277665.1,Capnocytophaga,Flavobacteriaceae,2545989,100,False,Non_marine,3,0.987804878,1.18E-06,31.81474861,1.178324023,32.20752328,0.987804878
61,GCA_000278705.1,224,4.856895056,4612,GCA_000278705.1,174,148,3.772766696,GCA_000278705.1,Flavobacterium,Flavobacteriaceae,5336938,99.65,False,Non_marine,5,0.776785714,9.37E-07,32.60296447,0.936866795,41.97163242,0.776785714
62,GCA_000282055.1,282,6.601123596,4272,GCA_000282055.1,148,197,3.464419476,GCA_000282055.1,Flavobacterium,Flavobacteriaceae,5102016,99.65,False,Unclassified,6,0.524822695,1.18E-06,29.0081411,1.17600572,55.27226884,0.524822695
63,GCA_000282115.1,131,3.220255654,4068,GCA_000282115.1,178,68,4.375614553,GCA_000282115.1,Chryseobacterium,Weeksellaceae,4484672,100,False,Unclassified,8,1.358778626,1.78E-06,39.69075107,1.783853981,29.21060894,1.358778626
64,GCA_000283015.1,117,3.950033761,2962,GCA_000283015.1,113,53,3.814989872,GCA_000283015.1,Arenitalea,Flavobacteriaceae,3384849,99.34,False,Unclassified,2,0.965811966,5.91E-07,33.38405938,0.590868308,34.56579599,0.965811966
65,GCA_000293175.1,41,1.586073501,2585,GCA_000293175.1,90,15,3.481624758,GCA_000293175.1,Capnocytophaga,Flavobacteriaceae,2785060,100,False,Non_marine,6,2.195121951,2.15E-06,32.31528226,2.15435215,14.72140636,2.195121951
66,GCA_000295655.1,45,2.073732719,2170,GCA_000295655.1,87,10,4.00921659,GCA_000295655.1,Riemerella,Weeksellaceae,2309519,100,False,Non_marine,0,1.933333333,0,37.67018154,0,19.48457666,1.933333333
67,GCA_000297855.1,39,1.097663946,3553,GCA_000297855.1,132,8,3.715170279,GCA_000297855.1,Myroides,Flavobacteriaceae,4136542,99.65,False,Unclassified,1,3.384615385,2.42E-07,31.91071189,0.241747817,9.428164878,3.384615385
68,GCA_000297875.1,34,0.909334047,3739,GCA_000297875.1,132,5,3.53035571,GCA_000297875.1,Myroides,Flavobacteriaceae,4227641,99.65,False,Non_marine,5,3.882352941,1.18E-06,31.22308635,1.182692665,8.04231012,3.882352941
69,GCA_000300875.1,120,3.833865815,3130,GCA_000300875.1,127,78,4.057507987,GCA_000300875.1,Galbibacter,Flavobacteriaceae,3572447,99.65,False,Marine,2,1.058333333,5.60E-07,35.5498626,0.559840356,33.59042136,1.058333333
70,GCA_000301075.1,32,1.51371807,2114,GCA_000301075.1,87,3,4.115421003,GCA_000301075.1,Bergeyella,Weeksellaceae,2332784,100,False,Non_marine,0,2.71875,0,37.29449448,0,13.71751521,2.71875
71,GCA_000301095.1,36,1.551724138,2320,GCA_000301095.1,88,5,3.793103448,GCA_000301095.1,Bergeyella,Weeksellaceae,2499181,99.51,False,Non_marine,0,2.444444444,0,35.2115353,0,14.40471899,2.444444444
72,GCA_000318255.2,83,3.711985689,2236,GCA_000318255.2,84,51,3.756708408,GCA_000318255.2,Capnocytophaga,Flavobacteriaceae,2634285,100,False,Unclassified,3,1.012048193,1.14E-06,31.88721038,1.138828942,31.50760073,1.012048193
73,GCA_000318275.2,56,2.268124747,2469,GCA_000318275.2,77,29,3.118671527,GCA_000318275.2,Capnocytophaga,Flavobacteriaceae,2656035,99.52,False,Unclassified,5,1.375,1.88E-06,28.99058183,1.882505313,21.08405951,1.375
74,GCA_000318295.1,89,2.928594933,3039,GCA_000318295.1,85,53,2.796972688,GCA_000318295.1,Capnocytophaga,Flavobacteriaceae,3218123,100,False,Non_marine,4,0.95505618,1.24E-06,26.41291212,1.24296057,27.65587269,0.95505618
75,GCA_000318315.2,91,3.925798102,2318,GCA_000318315.2,83,60,3.580672994,GCA_000318315.2,Capnocytophaga,Flavobacteriaceae,2739607,100,False,Unclassified,4,0.912087912,1.46E-06,30.29631622,1.460063432,33.21644309,0.912087912
76,GCA_000321285.1,39,1.936444886,2014,GCA_000321285.1,84,5,4.170804369,GCA_000321285.1,Riemerella,Weeksellaceae,2172634,100,False,Non_marine,0,2.153846154,0,38.66274761,0,17.95056139,2.153846154
77,GCA_000331695.1,37,1.843547583,2007,GCA_000331695.1,87,4,4.334828102,GCA_000331695.1,Riemerella,Weeksellaceae,2166321,100,False,Unclassified,0,2.351351351,0,40.16025326,0,17.07964794,2.351351351
78,GCA_000331815.1,108,2.877697842,3753,GCA_000331815.1,160,63,4.263256062,GCA_000331815.1,Elizabethkingia,Weeksellaceae,4032720,100,False,Non_marine,2,1.481481481,4.96E-07,39.67545478,0.495943185,26.78093198,1.481481481
79,GCA_000332115.1,92,2.662037037,3456,GCA_000332115.1,125,32,3.616898148,GCA_000332115.1,Nonlabens,Flavobacteriaceae,3914632,98.54,False,Unclassified,3,1.358695652,7.66E-07,31.93148168,0.76635556,23.50157052,1.358695652
80,GCA_000333355.1,107,2.815789474,3800,GCA_000333355.1,131,69,3.447368421,GCA_000333355.1,Chryseobacterium,Weeksellaceae,4165754,94.59,False,Unclassified,6,1.224299065,1.44E-06,31.44688813,1.440315487,25.68562618,1.224299065
81,GCA_000335775.1,104,2.428771602,4282,GCA_000335775.1,191,48,4.460532461,GCA_000335775.1,Flavobacterium,Flavobacteriaceae,5198514,99.65,False,Unclassified,13,1.836538462,2.50E-06,36.74126875,2.500714627,20.00571702,1.836538462
82,GCA_000348685.1,53,1.891506067,2802,GCA_000348685.1,137,6,4.889364739,GCA_000348685.1,Xanthomarina,Flavobacteriaceae,3055484,99.67,False,Unclassified,2,2.58490566,6.55E-07,44.83741365,0.654560783,17.34586075,2.58490566
83,GCA_000355805.1,69,2.31310761,2983,GCA_000355805.1,127,18,4.257458934,GCA_000355805.1,Dokdonia,Flavobacteriaceae,3305193,98.86,False,Unclassified,4,1.84057971,1.21E-06,38.42438248,1.210216771,20.8762393,1.84057971
84,GCA_000355905.1,65,2.18487395,2975,GCA_000355905.1,118,23,3.966386555,GCA_000355905.1,Psychroflexus,Flavobacteriaceae,3311768,99.62,False,Marine,3,1.815384615,9.06E-07,35.63051518,0.905860555,19.6269787,1.815384615
85,GCA_000367325.1,103,2.980324074,3456,GCA_000367325.1,157,58,4.542824074,GCA_000367325.1,Elizabethkingia,Weeksellaceae,3840286,100,False,Unclassified,3,1.524271845,7.81E-07,40.88237178,0.781191817,26.82091907,1.524271845
86,GCA_000374405.1,35,1.473684211,2375,GCA_000374405.1,80,6,3.368421053,GCA_000374405.1,Riemerella,Weeksellaceae,2436793,100,False,Non_marine,2,2.285714286,8.21E-07,32.83003521,0.82075088,14.36314041,2.285714286
87,GCA_000378485.1,149,3.756933938,3966,GCA_000378485.1,148,102,3.731719617,GCA_000378485.1,Flavobacterium,Flavobacteriaceae,4489248,99.46,False,Non_marine,3,0.993288591,6.68E-07,32.96765962,0.668263371,33.19041407,0.993288591
88,GCA_000378765.1,52,1.874549387,2774,GCA_000378765.1,123,20,4.434030281,GCA_000378765.1,Psychroflexus,Flavobacteriaceae,3001811,99.62,False,Non_marine,3,2.365384615,9.99E-07,40.9752646,0.999396698,17.32287609,2.365384615
89,GCA_000379185.1,80,3.482803657,2297,GCA_000379185.1,87,48,3.787548977,GCA_000379185.1,Capnocytophaga,Flavobacteriaceae,2657104,100,False,Non_marine,1,1.0875,3.76E-07,32.7424143,0.37634959,30.10796717,1.0875
90,GCA_000382125.1,93,2.668579627,3485,GCA_000382125.1,182,49,5.222381636,GCA_000382125.1,Eudoraea,Flavobacteriaceae,3906474,99.28,False,Marine,6,1.956989247,1.54E-06,46.58932838,1.535911925,23.80663483,1.956989247
91,GCA_000382425.1,50,1.408054069,3551,GCA_000382425.1,152,16,4.280484371,GCA_000382425.1,Empedobacter,Weeksellaceae,3792478,100,False,Non_marine,2,3.04,5.27E-07,40.07933599,0.527359684,13.1839921,3.04
92,GCA_000383355.1,53,2.28645384,2318,GCA_000383355.1,116,22,5.004314064,GCA_000383355.1,SCGC-AAA160-P02,Flavobacteriaceae,2544614,89.1,False,Marine,3,2.188679245,1.18E-06,45.58648188,1.178960738,20.82830638,2.188679245
93,GCA_000401415.1,96,2.81030445,3416,GCA_000401415.1,155,58,4.537470726,GCA_000401415.1,Elizabethkingia,Weeksellaceae,3796928,100,False,Unclassified,2,1.614583333,5.27E-07,40.82247543,0.526741618,25.28359769,1.614583333
94,GCA_000403785.1,82,2.528522973,3243,GCA_000403785.1,143,31,4.409497379,GCA_000403785.1,Gillisia,Flavobacteriaceae,3646721,96.58,False,Marine,3,1.743902439,8.23E-07,39.21330971,0.822656847,22.48595382,1.743902439
95,GCA_000411115.1,44,1.76,2500,GCA_000411115.1,89,14,3.56,GCA_000411115.1,Capnocytophaga,Flavobacteriaceae,2746278,100,False,Unclassified,4,2.022727273,1.46E-06,32.40749844,1.456516784,16.02168462,2.022727273
96,GCA_000411575.1,85,3.644939966,2332,GCA_000411575.1,83,54,3.559176672,GCA_000411575.1,Capnocytophaga,Flavobacteriaceae,2788212,100,False,Unclassified,3,0.976470588,1.08E-06,29.76818119,1.075958356,30.48548676,0.976470588
97,GCA_000413415.1,40,1.139276559,3511,GCA_000413415.1,130,8,3.702648818,GCA_000413415.1,Myroides,Flavobacteriaceae,4040949,99.65,False,Unclassified,1,3.25,2.47E-07,32.1706609,0.247466622,9.898664893,3.25
98,GCA_000419685.1,49,1.770231214,2768,GCA_000419685.1,123,12,4.443641618,GCA_000419685.1,Flavobacterium,Flavobacteriaceae,3079036,99.65,False,Non_marine,3,2.510204082,9.74E-07,39.94756801,0.974330927,15.91407181,2.510204082
99,GCA_000422265.1,65,2.442690718,2661,GCA_000422265.1,125,23,4.69748215,GCA_000422265.1,Kaistella,Weeksellaceae,2982326,100,False,Non_marine,2,1.923076923,6.71E-07,41.91359362,0.670617498,21.79506868,1.923076923
100,GCA_000422365.1,70,2.604166667,2688,GCA_000422365.1,117,22,4.352678571,GCA_000422365.1,Mesoflavibacter,Flavobacteriaceae,2966206,99.67,False,Marine,1,1.671428571,3.37E-07,39.4443272,0.337131002,23.59917012,1.671428571
101,GCA_000422685.1,65,2.090704407,3109,GCA_000422685.1,123,25,3.956256031,GCA_000422685.1,Flavobacterium,Flavobacteriaceae,3441043,99.65,False,Non_marine,3,1.892307692,8.72E-07,35.74497616,0.871828687,18.88962155,1.892307692
102,GCA_000422705.1,107,3.082685105,3471,GCA_000422705.1,134,54,3.860558917,GCA_000422705.1,Flavobacterium,Flavobacteriaceae,4002854,99.65,False,Non_marine,3,1.252336449,7.49E-07,33.47611479,0.749465257,26.73092748,1.252336449
103,GCA_000422725.1,139,3.427021696,4056,GCA_000422725.1,151,93,3.722879684,GCA_000422725.1,Flavobacterium,Flavobacteriaceae,4638566,99.65,False,Non_marine,4,1.086330935,8.62E-07,32.55316406,0.862335472,29.96615764,1.086330935
104,GCA_000423005.1,143,3.723958333,3840,GCA_000423005.1,170,88,4.427083333,GCA_000423005.1,Gelidibacter,Flavobacteriaceae,4430943,99.67,False,Marine,3,1.188811189,6.77E-07,38.36655087,0.67705678,32.27303985,1.188811189
105,GCA_000423045.1,101,3.38812479,2981,GCA_000423045.1,134,45,4.49513586,GCA_000423045.1,Gramella,Flavobacteriaceae,3269398,99.6,False,Marine,3,1.326732673,9.18E-07,40.98613873,0.917600121,30.8925374,1.326732673
106,GCA_000423065.1,107,3.365838314,3179,GCA_000423065.1,149,40,4.687008493,GCA_000423065.1,Gramella,Flavobacteriaceae,3513826,99.62,False,Marine,3,1.392523364,8.54E-07,42.40392097,0.853770221,30.45113788,1.392523364
107,GCA_000423405.1,73,2.488919195,2933,GCA_000423405.1,109,25,3.716331401,GCA_000423405.1,Mesonia,Flavobacteriaceae,3205558,99.62,False,Marine,4,1.493150685,1.25E-06,34.00344027,1.247832671,22.77294624,1.493150685
108,GCA_000423585.1,129,3.863432165,3339,GCA_000423585.1,150,73,4.492362983,GCA_000423585.1,Salinimicrobium,Flavobacteriaceae,3764506,99.62,False,Non_marine,2,1.162790698,5.31E-07,39.84586557,0.531278208,34.26744439,1.162790698
109,GCA_000424645.1,77,2.048962214,3758,GCA_000424645.1,149,28,3.964874933,GCA_000424645.1,Gillisia,Flavobacteriaceae,4143611,99.62,False,Unclassified,3,1.935064935,7.24E-07,35.95897395,0.724006187,18.58282546,1.935064935
