,Unnamed: 0,cazymes,Orfs_anno_cazymes%,orfs,index_x,Merops orfs total,GH total,Orfs_anno_merops%,Assembly accession,Genus,Family,scaf_bp,Completeness,MAG,Origin,Assembly accession2,Nr_BGCs,index_y,Virulence orfs total,Orfs_anno_virs%,P,BGCs/genomesize,merops_perMb,virs_perMb,bgc_perMb
2052,GCA_001404975.1,245,7.890499194847021,3105,GCA_001404975.1,107,173,3.4460547504025767,GCA_001404975.1,Flavobacterium,Flavobacteriaceae,3755556.0,99.65,False,Unclassified,GCA_001404975.1_merops.txt,4.0,GCA_001404975.1,254,8.18035426731079,0.6079545454545454,1.065088631350458e-06,0.028491120888624745,0.06763312809075407,0.0010650886313504579
612,GCA_000695795.1,224,7.0551181102362195,3175,GCA_000695795.1,102,143,3.2125984251968505,GCA_000695795.1,Flavobacterium,Flavobacteriaceae,3792640.0,99.47,False,Non_marine,GCA_000695795.1_merops.txt,3.0,GCA_000695795.1,285,8.976377952755906,0.6257668711656442,7.910057374282822e-07,0.02689419507256159,0.07514554505568681,0.0007910057374282822
1130,GCA_004349355.1,259,6.711583311738793,3859,GCA_004349355.1,118,160,3.057786991448562,GCA_004349355.1,Flavobacterium,Flavobacteriaceae,4657187.0,98.94,False,Non_marine,GCA_004349355.1_merops.txt,6.0,GCA_004349355.1,301,7.799948173101839,0.6259946949602122,1.2883313467979705e-06,0.02533718315369342,0.06463128923103152,0.0012883313467979705
999,GCA_001761465.1,265,7.477426636568849,3544,GCA_001761465.1,124,173,3.4988713318284423,GCA_001761465.1,Flavobacterium,Flavobacteriaceae,4402594.0,98.94,False,Unclassified,GCA_001761465.1_merops.txt,3.0,GCA_001761465.1,275,7.759593679458239,0.6375321336760925,6.814164558439865e-07,0.02816521350821811,0.0624631751190321,0.0006814164558439865
1737,GCA_000735535.1,260,7.471264367816093,3480,GCA_000735535.1,123,168,3.53448275862069,GCA_000735535.1,Flavobacterium,Flavobacteriaceae,4321991.0,98.94,False,Non_marine,GCA_000735535.1_merops.txt,2.0,GCA_000735535.1,272,7.816091954022989,0.6422976501305483,4.627496910567375e-07,0.028459105999989357,0.0629339579837163,0.00046274969105673753
1503,GCA_003202405.1,316,6.856151008895639,4609,GCA_003202405.1,150,218,3.2545020611846387,GCA_003202405.1,Flavobacterium,Flavobacteriaceae,5571628.0,99.65,False,Unclassified,GCA_003202405.1_merops.txt,8.0,GCA_003202405.1,397,8.613582121935345,0.6437768240343348,1.4358460399725178e-06,0.02692211324948471,0.0712538597336362,0.0014358460399725179
819,GCA_009909155.2,231,6.414884754234934,3601,GCA_009909155.2,110,164,3.0547070258261595,GCA_009909155.2,Flavobacterium,Flavobacteriaceae,4268163.0,99.65,False,Unclassified,GCA_009909155.2_merops.txt,5.0,GCA_009909155.2,297,8.24770896973063,0.6451612903225806,1.1714641638569098e-06,0.02577221160485202,0.06958497133310045,0.00117146416385691
2177,GCA_000425425.1,244,6.8099358079821375,3583,GCA_000425425.1,120,166,3.3491487580240022,GCA_000425425.1,Flavobacterium,Flavobacteriaceae,4244138.0,99.65,False,Non_marine,GCA_000425425.1_merops.txt,5.0,GCA_000425425.1,284,7.926318727323473,0.6593406593406593,1.178095528467736e-06,0.028274292683225663,0.0669158260169674,0.0011780955284677358
1147,GCA_003425985.1,251,6.23912503107134,4023,GCA_003425985.1,124,158,3.0822769077802636,GCA_003425985.1,Mariniflexile,Flavobacteriaceae,4858325.0,99.67,False,Non_marine,GCA_003425985.1_merops.txt,1.0,GCA_003425985.1,298,7.4074074074074066,0.6613333333333333,2.058322570021561e-07,0.025523199868267357,0.06133801258664252,0.00020583225700215608
697,GCA_002280815.1,194,5.2760402502039705,3677,GCA_002280815.1,96,129,2.6108240413380472,GCA_002280815.1,Flavobacterium,Flavobacteriaceae,4041034.0,94.0,True,Non_marine,GCA_002280815.1_merops.txt,3.0,GCA_002280815.1,246,6.690236605928747,0.6620689655172414,7.423842511594804e-07,0.023756296037103376,0.0608755085950774,0.0007423842511594805
2108,GCA_002797935.1,315,7.1688666363222575,4394,GCA_002797935.1,156,224,3.5502958579881656,GCA_002797935.1,Flavobacterium,Flavobacteriaceae,5351669.0,99.29,False,Unclassified,GCA_002797935.1_merops.txt,4.0,GCA_002797935.1,362,8.238507055075102,0.6624203821656051,7.474303810642998e-07,0.02914978486150769,0.06764244948631912,0.0007474303810642998
2464,GCA_002920895.1,214,6.631546327858692,3227,GCA_002920895.1,106,134,3.284784629687016,GCA_002920895.1,Flavobacterium,Flavobacteriaceae,3823090.0,98.91,False,Non_marine,GCA_002920895.1_merops.txt,2.0,GCA_002920895.1,269,8.335915711186862,0.6625,5.231370435956256e-07,0.027726263310568152,0.07036193236361164,0.0005231370435956256
2145,GCA_014379405.1,240,7.281553398058253,3296,GCA_014379405.1,119,167,3.6104368932038833,GCA_014379405.1,Flavobacterium,Flavobacteriaceae,3857912.0,81.14,True,Unclassified,GCA_014379405.1_merops.txt,3.0,GCA_014379405.1,286,8.677184466019417,0.6629526462395543,7.776227140484283e-07,0.030845700990587654,0.07413336540595016,0.0007776227140484283
536,GCA_900130035.1,191,6.927820094305406,2757,GCA_900130035.1,97,120,3.518317011244106,GCA_900130035.1,Wenyingzhuangia,Flavobacteriaceae,3242070.0,96.85,False,Non_marine,GCA_900130035.1_merops.txt,2.0,GCA_900130035.1,218,7.907145447950671,0.6736111111111112,6.168898265614253e-07,0.029919156588229124,0.06724099109519535,0.0006168898265614253
940,GCA_011762155.1,166,5.405405405405406,3071,GCA_011762155.1,85,108,2.7678280690328885,GCA_011762155.1,Wenyingzhuangia,Flavobacteriaceae,3668833.0,96.98,False,Unclassified,GCA_011762155.1_merops.txt,3.0,GCA_011762155.1,245,7.977857375447737,0.6772908366533864,8.176987069185215e-07,0.02316813002935811,0.06677872773167925,0.0008176987069185215
1027,GCA_003260195.1,265,6.463414634146342,4100,GCA_003260195.1,136,212,3.3170731707317076,GCA_003260195.1,Lutibacter,Flavobacteriaceae,5115381.0,97.65,False,Unclassified,GCA_003260195.1_merops.txt,1.0,GCA_003260195.1,307,7.48780487804878,0.6783042394014963,1.9548885996957022e-07,0.026586484955861547,0.06001508001065805,0.00019548885996957023
1395,GCA_000282055.1,282,6.601123595505617,4272,GCA_000282055.1,148,197,3.464419475655431,GCA_000282055.1,Flavobacterium,Flavobacteriaceae,5102016.0,99.65,False,Unclassified,GCA_000282055.1_merops.txt,6.0,GCA_000282055.1,367,8.590823970037453,0.6883720930232559,1.1760057200918224e-06,0.02900814109559829,0.07193234987894982,0.0011760057200918225
1253,GCA_000220525.2,155,5.45390570021112,2842,GCA_000220525.2,82,110,2.8852920478536244,GCA_000220525.2,Ochrovirga,Flavobacteriaceae,3384629.0,96.81,False,Unclassified,GCA_000220525.2_merops.txt,1.0,GCA_000220525.2,214,7.52990851513019,0.6919831223628692,2.954533569262687e-07,0.024227175267954038,0.06322701838222151,0.0002954533569262687
223,GCA_014202225.1,201,5.647653835347008,3559,GCA_014202225.1,109,122,3.062658050014049,GCA_014202225.1,Algibacter_B,Flavobacteriaceae,4351189.0,99.34,False,Unclassified,GCA_014202225.1_merops.txt,1.0,GCA_014202225.1,315,8.850800786737848,0.7032258064516129,2.298222393924971e-07,0.025050624093782184,0.07239400540863658,0.0002298222393924971
2272,GCA_010645065.1,261,6.0683561962334345,4301,GCA_010645065.1,142,162,3.301557777261102,GCA_010645065.1,Flavobacterium,Flavobacteriaceae,5114933.0,99.65,False,Non_marine,GCA_010645065.1_merops.txt,5.0,GCA_010645065.1,333,7.742385491746105,0.7047146401985112,9.775299109489802e-07,0.027761849470951037,0.06510349206920207,0.00097752991094898
2207,GCA_007559325.1,201,5.620805369127517,3576,GCA_007559325.1,110,122,3.076062639821029,GCA_007559325.1,Algibacter_B,Flavobacteriaceae,4374034.0,99.34,False,Marine,GCA_007559325.1_merops.txt,1.0,GCA_007559325.1,316,8.83668903803132,0.707395498392283,2.2862190828877874e-07,0.02514840991176566,0.07224452301925408,0.00022862190828877875
2312,GCA_008630605.1,201,5.620805369127517,3576,GCA_008630605.1,110,122,3.076062639821029,GCA_008630605.1,Algibacter_B,Flavobacteriaceae,4374034.0,99.34,False,Marine,GCA_008630605.1_merops.txt,1.0,GCA_008630605.1,316,8.83668903803132,0.707395498392283,2.2862190828877874e-07,0.02514840991176566,0.07224452301925408,0.00022862190828877875
472,GCA_004341235.1,221,5.548581471252826,3983,GCA_004341235.1,122,135,3.0630178257594776,GCA_004341235.1,Mariniflexile,Flavobacteriaceae,4735576.0,99.01,False,Non_marine,GCA_004341235.1_merops.txt,2.0,GCA_004341235.1,306,7.682651267888526,0.7113702623906706,4.2233510770389914e-07,0.02576244156993785,0.06461727147869657,0.00042233510770389916
2534,GCA_011927765.1,136,4.533333333333333,3000,GCA_011927765.1,76,83,2.533333333333333,GCA_011927765.1,Wenyingzhuangia,Flavobacteriaceae,3526759.0,96.98,False,Unclassified,GCA_011927765.1_merops.txt,1.0,GCA_011927765.1,217,7.233333333333333,0.7169811320754716,2.8354645157210915e-07,0.02154953031948029,0.06152957999114768,0.00028354645157210916
2300,GCA_007097365.1,200,6.167129201356769,3243,GCA_007097365.1,112,127,3.4535923527597907,GCA_007097365.1,Flavobacterium,Flavobacteriaceae,3825011.0,98.94,False,Unclassified,GCA_007097365.1_merops.txt,3.0,GCA_007097365.1,284,8.75732346592661,0.717948717948718,7.843114699539426e-07,0.029280961544947193,0.07424815248897323,0.0007843114699539426
69,GCA_006265225.1,198,5.906921241050119,3352,GCA_006265225.1,111,135,3.31145584725537,GCA_006265225.1,Tamlana_A,Flavobacteriaceae,4022701.0,99.34,False,Marine,GCA_006265225.1_merops.txt,1.0,GCA_006265225.1,261,7.786396181384249,0.7184466019417476,2.4858919417575406e-07,0.027593400553508698,0.0648817796798718,0.00024858919417575405
1458,GCA_008056315.1,227,6.1869719269555725,3669,GCA_008056315.1,129,163,3.515944399018806,GCA_008056315.1,Seonamhaeicola,Flavobacteriaceae,4384604.0,99.34,False,Unclassified,GCA_008056315.1_merops.txt,1.0,GCA_008056315.1,281,7.658762605614609,0.7247191011235955,2.28070767622344e-07,0.029421129023282377,0.06408788570187866,0.000228070767622344
1366,GCA_000943555.1,215,6.359065365276545,3381,GCA_000943555.1,123,127,3.6379769299023956,GCA_000943555.1,Tamlana_B,Flavobacteriaceae,4020819.0,99.01,False,Unclassified,GCA_000943555.1_merops.txt,4.0,GCA_000943555.1,313,9.257616089914226,0.727810650887574,9.948221991589277e-07,0.030590782624137024,0.07784483708418609,0.0009948221991589277
2418,GCA_010645075.1,267,5.8914386584289495,4532,GCA_010645075.1,153,176,3.3759929390997354,GCA_010645075.1,Flavobacterium,Flavobacteriaceae,5421373.0,99.65,False,Non_marine,GCA_010645075.1_merops.txt,7.0,GCA_010645075.1,396,8.737864077669903,0.7285714285714285,1.291185830600477e-06,0.028221633154553286,0.07304422698825556,0.0012911858306004769
227,GCA_002893765.1,187,5.12609649122807,3648,GCA_002893765.1,108,88,2.9605263157894735,GCA_002893765.1,Tamlana_A,Flavobacteriaceae,4116543.0,98.68,False,Marine,GCA_002893765.1_merops.txt,3.0,GCA_002893765.1,240,6.578947368421052,0.7322033898305085,7.287668317809385e-07,0.026235605944113786,0.05830134654247508,0.0007287668317809386
1248,GCA_007109265.1,197,5.806071323312702,3393,GCA_007109265.1,117,130,3.4482758620689653,GCA_007109265.1,Flavobacterium,Flavobacteriaceae,3959525.0,98.94,False,Unclassified,GCA_007109265.1_merops.txt,3.0,GCA_007109265.1,280,8.25228411435308,0.7452229299363057,7.576666393064824e-07,0.02954899893295282,0.07071555300193837,0.0007576666393064825
1384,GCA_009746565.1,178,5.643627140139505,3154,GCA_009746565.1,107,96,3.3925174381737477,GCA_009746565.1,Mariniflexile,Flavobacteriaceae,3659224.0,99.34,False,Marine,GCA_009746565.1_merops.txt,2.0,GCA_009746565.1,236,7.482561826252378,0.7508771929824561,5.465639709402868e-07,0.029241172445305344,0.06449454857095384,0.0005465639709402867
1507,GCA_002848895.1,190,5.515239477503629,3445,GCA_002848895.1,116,114,3.3671988388969525,GCA_002848895.1,Mariniflexile,Flavobacteriaceae,4109411.0,98.68,True,Non_marine,GCA_002848895.1_merops.txt,1.0,GCA_002848895.1,276,8.011611030478955,0.7581699346405228,2.433438758011793e-07,0.028227889592936796,0.06716290972112549,0.00024334387580117928
297,GCA_002383055.1,197,5.644699140401147,3490,GCA_002383055.1,121,143,3.4670487106017194,GCA_002383055.1,Flavobacterium,Flavobacteriaceae,3955846.0,98.94,True,Non_marine,GCA_002383055.1_merops.txt,2.0,GCA_002383055.1,245,7.020057306590258,0.7610062893081762,5.055808542597462e-07,0.030587641682714644,0.06193365464681891,0.0005055808542597462
789,GCA_002413745.1,200,5.704506560182544,3506,GCA_002413745.1,123,145,3.508271534512265,GCA_002413745.1,Flavobacterium,Flavobacteriaceae,3975995.0,98.94,True,Non_marine,GCA_002413745.1_merops.txt,2.0,GCA_002413745.1,247,7.045065601825443,0.7616099071207431,5.030187412207511e-07,0.03093565258507619,0.062122814540762746,0.000503018741220751
2435,GCA_001310225.1,194,5.8066447171505535,3341,GCA_001310225.1,120,96,3.5917390002993113,GCA_001310225.1,Algibacter_A,Flavobacteriaceae,3994770.0,98.68,False,Marine,GCA_001310225.1_merops.txt,1.0,GCA_001310225.1,284,8.500448967375037,0.7643312101910829,2.503273029486053e-07,0.030039276353832634,0.0710929540374039,0.00025032730294860533
803,GCA_003076455.1,186,4.8806087641039095,3811,GCA_003076455.1,117,102,3.07006035161375,GCA_003076455.1,Flavobacterium,Flavobacteriaceae,4621116.0,99.29,False,Unclassified,GCA_003076455.1_merops.txt,3.0,GCA_003076455.1,328,8.60666491734453,0.7722772277227723,6.491938311005393e-07,0.02531855941292103,0.07097852553365898,0.0006491938311005394
1405,GCA_003202435.1,240,5.547850208044382,4326,GCA_003202435.1,151,147,3.4905224225612574,GCA_003202435.1,Flavobacterium,Flavobacteriaceae,5223205.0,99.65,False,Unclassified,GCA_003202435.1_merops.txt,7.0,GCA_003202435.1,365,8.437355524734166,0.7723785166240409,1.3401733227012917e-06,0.028909453103985006,0.06988046611228164,0.0013401733227012917
1731,GCA_903819435.1,263,5.227588948519181,5031,GCA_903819435.1,166,165,3.299542834426555,GCA_903819435.1,Flavobacterium,Flavobacteriaceae,5863820.0,99.65,False,Unclassified,GCA_903819435.1_merops.txt,8.0,GCA_903819435.1,431,8.566885311071358,0.7738927738927739,1.3642983584080003e-06,0.028309190936966006,0.07350157405923102,0.0013642983584080002
1917,GCA_009193215.1,136,5.145667801740447,2643,GCA_009193215.1,86,94,3.253878168747635,GCA_009193215.1,Flavicella,Flavobacteriaceae,3155507.0,96.68,False,Marine,GCA_009193215.1_merops.txt,1.0,GCA_009193215.1,217,8.2103670071888,0.7747747747747747,3.169062847903681e-07,0.02725394049197165,0.06876866379950987,0.0003169062847903681
796,GCA_002429285.1,216,5.694700764566307,3793,GCA_002429285.1,137,155,3.6119166886369634,GCA_002429285.1,Flavobacterium,Flavobacteriaceae,4315335.0,98.94,True,Non_marine,GCA_002429285.1_merops.txt,3.0,GCA_002429285.1,264,6.960189823358818,0.7762039660056658,6.951951586609151e-07,0.031747245578848456,0.061177173962160526,0.000695195158660915
1628,GCA_001427905.1,293,6.214209968186637,4715,GCA_001427905.1,187,215,3.9660657476139978,GCA_001427905.1,Flavobacterium,Flavobacteriaceae,5627472.0,99.65,False,Unclassified,GCA_001427905.1_merops.txt,5.0,GCA_001427905.1,411,8.716861081654296,0.7791666666666667,8.884984234483975e-07,0.03322984103697006,0.07303457040745827,0.0008884984234483975
1090,GCA_002017935.1,256,5.21810028536486,4906,GCA_002017935.1,164,159,3.3428454953118627,GCA_002017935.1,Flavobacterium,Flavobacteriaceae,5727638.0,99.65,False,Non_marine,GCA_002017935.1_merops.txt,8.0,GCA_002017935.1,403,8.214431308601712,0.780952380952381,1.3967363160870152e-06,0.028633094479783815,0.0703605919228834,0.0013967363160870153
1400,GCA_000973105.1,225,4.951584507042254,4544,GCA_000973105.1,145,143,3.1910211267605635,GCA_000973105.1,Zobellia,Flavobacteriaceae,5521712.0,99.67,False,Non_marine,GCA_000973105.1_merops.txt,6.0,GCA_000973105.1,389,8.560739436619718,0.7837837837837838,1.086619512209257e-06,0.02625997154505704,0.07044916504156681,0.0010866195122092568
662,GCA_004355225.1,198,5.599547511312218,3536,GCA_004355225.1,128,117,3.619909502262444,GCA_004355225.1,Flavobacterium,Flavobacteriaceae,4217227.0,98.59,False,Unclassified,GCA_004355225.1_merops.txt,3.0,GCA_004355225.1,275,7.777149321266968,0.7852760736196319,7.113679201996952e-07,0.03035169792852033,0.0652087260183054,0.0007113679201996952
2335,GCA_010614725.1,266,5.6118143459915615,4740,GCA_010614725.1,172,166,3.6286919831223625,GCA_010614725.1,Flavobacterium,Flavobacteriaceae,5754623.0,99.65,False,Marine,GCA_010614725.1_merops.txt,6.0,GCA_010614725.1,408,8.60759493670886,0.7853881278538812,1.0426399783269902e-06,0.029889012712040388,0.07089951852623534,0.0010426399783269903
1066,GCA_900106565.1,184,5.324074074074074,3456,GCA_900106565.1,119,135,3.443287037037037,GCA_900106565.1,Lutibacter,Flavobacteriaceae,4129954.0,97.32,False,Marine,GCA_900106565.1_merops.txt,1.0,GCA_900106565.1,291,8.42013888888889,0.7854785478547854,2.4213344749118273e-07,0.028813880251450742,0.07046083321993417,0.00024213344749118273
2417,GCA_900112575.1,307,6.1523046092184375,4990,GCA_900112575.1,200,211,4.008016032064128,GCA_900112575.1,Flavobacterium,Flavobacteriaceae,6041292.0,99.65,False,Non_marine,GCA_900112575.1_merops.txt,5.0,GCA_900112575.1,433,8.677354709418838,0.7889546351084813,8.276375318392159e-07,0.033105501273568635,0.0716734102572761,0.0008276375318392159
1496,GCA_000735715.2,255,5.348154362416108,4768,GCA_000735715.2,167,161,3.50251677852349,GCA_000735715.2,Flavobacterium,Flavobacteriaceae,5591549.0,99.65,False,Unclassified,GCA_000735715.2_merops.txt,6.0,GCA_000735715.2,389,8.158557046979865,0.7914691943127962,1.0730479157027864e-06,0.029866500320394222,0.06956927320139732,0.0010730479157027863
1980,GCA_002429185.1,173,5.107764983761441,3387,GCA_002429185.1,115,121,3.3953351048125184,GCA_002429185.1,Flavobacterium,Flavobacteriaceae,3818531.0,91.64,True,Non_marine,GCA_002429185.1_merops.txt,3.0,GCA_002429185.1,238,7.026867434307647,0.7986111111111112,7.856424368428592e-07,0.030116293412309602,0.06232763332286684,0.0007856424368428592
30,GCA_002843175.1,185,5.151768309663046,3591,GCA_002843175.1,124,118,3.4530771372876634,GCA_002843175.1,Confluentibacter,Flavobacteriaceae,4136527.0,98.68,False,Non_marine,GCA_002843175.1_merops.txt,3.0,GCA_002843175.1,286,7.964355332776385,0.8025889967637541,7.252460820393533e-07,0.029976838057626604,0.06914012648775168,0.0007252460820393533
982,GCA_902168145.1,273,5.266203703703703,5184,GCA_902168145.1,183,186,3.530092592592592,GCA_902168145.1,Flavobacterium,Flavobacteriaceae,6153345.0,99.65,True,Non_marine,GCA_902168145.1_merops.txt,9.0,GCA_902168145.1,450,8.680555555555555,0.8026315789473685,1.4626191120439371e-06,0.029739921944893388,0.07313095560219686,0.0014626191120439371
170,GCA_903819445.1,247,5.364900086880972,4604,GCA_903819445.1,166,159,3.6055603822762814,GCA_903819445.1,Flavobacterium,Flavobacteriaceae,5508144.0,99.65,False,Unclassified,GCA_903819445.1_merops.txt,6.0,GCA_903819445.1,378,8.210251954821894,0.8038740920096852,1.0892961404059154e-06,0.030137193217896992,0.06862565684557267,0.0010892961404059154
361,GCA_902167265.1,272,5.205741626794259,5225,GCA_902167265.1,183,186,3.5023923444976077,GCA_902167265.1,Flavobacterium,Flavobacteriaceae,6227635.0,99.65,False,Non_marine,GCA_902167265.1_merops.txt,9.0,GCA_902167265.1,456,8.727272727272728,0.8043956043956044,1.4451714013425643e-06,0.029385151827298804,0.07322201766802325,0.0014451714013425643
1841,GCA_902167285.2,273,5.219885277246654,5230,GCA_902167285.2,184,186,3.518164435946463,GCA_902167285.2,Flavobacterium,Flavobacteriaceae,6237120.0,99.65,False,Non_marine,GCA_902167285.2_merops.txt,8.0,GCA_902167285.2,466,8.910133843212236,0.8052516411378556,1.282643271253399e-06,0.029500795238828176,0.0747139705505105,0.001282643271253399
563,GCA_902167275.1,273,5.207935902327356,5242,GCA_902167275.1,184,186,3.510110644792064,GCA_902167275.1,Flavobacterium,Flavobacteriaceae,6251684.0,99.65,False,Non_marine,GCA_902167275.1_merops.txt,11.0,GCA_902167275.1,461,8.794353300267074,0.8052516411378556,1.7595259133379102e-06,0.029432069823106862,0.0737401314589797,0.0017595259133379101
425,GCA_900188235.1,191,5.645876441028673,3383,GCA_900188235.1,129,132,3.81318356488324,GCA_900188235.1,Lutibacter,Flavobacteriaceae,4101932.0,97.65,False,Unclassified,GCA_900188235.1_merops.txt,1.0,GCA_900188235.1,263,7.774164942358854,0.80625,2.4378756156854867e-07,0.031448595442342776,0.0641161286925283,0.00024378756156854866
558,GCA_009807485.1,192,4.9883086515978174,3849,GCA_009807485.1,131,128,3.4034814237464275,GCA_009807485.1,Algibacter,Flavobacteriaceae,4705407.0,99.67,False,Unclassified,GCA_009807485.1_merops.txt,2.0,GCA_009807485.1,320,8.31384775266303,0.8111455108359134,4.2504293464943626e-07,0.027840312219538078,0.0680068695439098,0.00042504293464943623
96,GCA_009830375.1,192,4.9883086515978174,3849,GCA_009830375.1,131,128,3.4034814237464275,GCA_009830375.1,Algibacter,Flavobacteriaceae,4705417.0,99.67,False,Unclassified,GCA_009830375.1_merops.txt,2.0,GCA_009830375.1,320,8.31384775266303,0.8111455108359134,4.2504203134387453e-07,0.027840253053023782,0.06800672501501993,0.00042504203134387453
1669,GCA_004368925.1,192,4.9857179953258886,3851,GCA_004368925.1,131,128,3.401713840560893,GCA_004368925.1,Algibacter,Flavobacteriaceae,4707503.0,99.67,False,Unclassified,GCA_004368925.1_merops.txt,2.0,GCA_004368925.1,320,8.309529992209816,0.8111455108359134,4.2485368570131556e-07,0.02782791641343617,0.06797658971221049,0.00042485368570131555
1798,GCA_007997385.1,161,5.1868556701030935,3104,GCA_007997385.1,110,91,3.5438144329896906,GCA_007997385.1,Seonamhaeicola,Flavobacteriaceae,3707663.0,99.34,False,Marine,GCA_007997385.1_merops.txt,2.0,GCA_007997385.1,270,8.698453608247423,0.8118081180811808,5.394233510435009e-07,0.029668284307392555,0.07282215239087263,0.0005394233510435009
541,GCA_003024155.1,200,5.1961548454143935,3849,GCA_003024155.1,138,109,3.5853468433359312,GCA_003024155.1,Gramella,Flavobacteriaceae,4380140.0,99.6,False,Marine,GCA_003024155.1_merops.txt,3.0,GCA_003024155.1,304,7.898155365029878,0.8165680473372781,6.84909614761172e-07,0.031505842279013915,0.06940417429579877,0.000684909614761172
1449,GCA_000425445.1,236,5.739299610894943,4112,GCA_000425445.1,164,168,3.988326848249027,GCA_000425445.1,Flavobacterium,Flavobacteriaceae,4823485.0,99.65,False,Non_marine,GCA_000425445.1_merops.txt,4.0,GCA_000425445.1,355,8.633268482490273,0.82,8.292759280893379e-07,0.03400031305166285,0.07359823861792875,0.0008292759280893379
388,GCA_002399805.1,210,4.779244424214838,4394,GCA_002399805.1,146,151,3.3227127901684113,GCA_002399805.1,Flavobacterium,Flavobacteriaceae,5323899.0,91.01,True,Unclassified,GCA_002399805.1_merops.txt,5.0,GCA_002399805.1,333,7.5785161583978145,0.8202247191011236,9.391613176733819e-07,0.02742351047606275,0.06254814375704723,0.0009391613176733818
