,Unnamed: 0,cazymes,Orfs_anno_cazymes%,orfs,index,Merops orfs total,GH total,Orfs_anno_merops%,Assembly accession,Genus,Family,scaf_bp,Completeness,MAG,Origin,Nr_BGCs,PEP:GH,BGCs/genomesize,merops_perMb,bgc_perMb,cazymes_perMb
37,GCA_000220625.1,68,3.0276046304541406,2246,GCA_000220625.1,82,40,3.6509349955476402,GCA_000220625.1,Capnocytophaga,Flavobacteriaceae,2571406,100.0,False,Non_marine,0.0,1.2058823529411764,0.0,31.88916880492618,0.0,26.444676569938782
38,GCA_000224085.1,83,2.38986467031385,3473,GCA_000224085.1,154,35,4.434206737690757,GCA_000224085.1,Muricauda,Flavobacteriaceae,3842422,99.34,False,Marine,3.0,1.855421686746988,7.807575534389508e-07,40.07888774319947,0.7807575534389508,21.60095897847764
39,GCA_000224335.2,47,1.5625,3008,GCA_000224335.2,138,5,4.587765957446808,GCA_000224335.2,Algorimicrobium,Flavobacteriaceae,3279329,99.34,False,Marine,2.0,2.9361702127659575,6.098808628228519e-07,42.081779534776786,0.6098808628228518,14.33220027633702
40,GCA_000240075.2,63,2.312775330396476,2724,GCA_000240075.2,121,12,4.441997063142438,GCA_000240075.2,Flavobacterium,Flavobacteriaceae,3162432,99.65,False,Unclassified,4.0,1.9206349206349207,1.2648493311476737e-06,38.26169226721713,1.2648493311476736,19.921376965575863
41,GCA_000240095.3,107,2.832186341979883,3778,GCA_000240095.3,164,62,4.340921122286924,GCA_000240095.3,Elizabethkingia,Weeksellaceae,4093812,100.0,False,Unclassified,4.0,1.5327102803738317,9.770844386601047e-07,40.060461985064286,0.9770844386601046,26.137008734157796
42,GCA_000242075.2,37,1.0404949381327335,3556,GCA_000242075.2,135,8,3.796400449943757,GCA_000242075.2,Myroides,Flavobacteriaceae,4026612,99.65,False,Non_marine,1.0,3.6486486486486487,2.483477424693514e-07,33.52694523336244,0.24834774246935143,9.188866471366001
43,GCA_000242095.1,37,1.0243632336655593,3612,GCA_000242095.1,135,8,3.737541528239203,GCA_000242095.1,Myroides,Flavobacteriaceae,4070988,99.65,False,Non_marine,1.0,3.6486486486486487,2.456406159880599e-07,33.16148315838809,0.2456406159880599,9.088702791558218
44,GCA_000242135.1,40,1.1034482758620692,3625,GCA_000242135.1,135,8,3.724137931034482,GCA_000242135.1,Myroides,Flavobacteriaceae,4138659,99.65,False,Non_marine,1.0,3.375,2.4162415893650574e-07,32.619261456428276,0.24162415893650574,9.66496635746023
45,GCA_000243235.1,105,2.9863481228668936,3516,GCA_000243235.1,152,44,4.323094425483505,GCA_000243235.1,Gillisia,Flavobacteriaceae,3966857,99.49,False,Non_marine,3.0,1.4476190476190476,7.562662329395791e-07,38.31748913560534,0.7562662329395791,26.46931815288527
46,GCA_000243275.1,35,0.9247027741083224,3785,GCA_000243275.1,133,5,3.513870541611625,GCA_000243275.1,Myroides,Flavobacteriaceae,4301842,99.65,False,Unclassified,5.0,3.8,1.1622928038733176e-06,30.916988583030243,1.1622928038733176,8.136049627113223
47,GCA_000246945.2,33,1.1062688568555146,2983,GCA_000246945.2,123,8,4.123365739188737,GCA_000246945.2,Myroides,Flavobacteriaceae,3458160,99.65,False,Non_marine,0.0,3.727272727272727,0.0,35.568047747935324,0.0,9.542646956763134
48,GCA_000252125.2,96,2.8144239226033423,3411,GCA_000252125.2,138,46,4.0457343887423045,GCA_000252125.2,Flavobacterium,Flavobacteriaceae,3934101,99.29,False,Unclassified,3.0,1.4375,7.62563035366911e-07,35.07789962687791,0.7625630353669111,24.402017131741154
49,GCA_000252855.1,38,1.8765432098765433,2025,GCA_000252855.1,85,4,4.197530864197531,GCA_000252855.1,Riemerella,Weeksellaceae,2164087,100.0,False,Unclassified,0.0,2.236842105263158,0.0,39.27753366662246,0.0,17.5593679921371
50,GCA_000253275.1,84,2.6992287917737787,3112,GCA_000253275.1,103,24,3.309768637532134,GCA_000253275.1,Flavobacterium,Flavobacteriaceae,3563292,98.59,False,Unclassified,2.0,1.2261904761904763,5.612787276484779e-07,28.90585447389661,0.5612787276484779,23.57370656123607
51,GCA_000255455.1,128,3.6209335219236207,3535,GCA_000255455.1,126,86,3.564356435643564,GCA_000255455.1,Aquimarina,Flavobacteriaceae,4257070,98.67,False,Unclassified,3.0,0.984375,7.047100470511408e-07,29.597821976147916,0.7047100470511408,30.067628674182007
52,GCA_000258765.1,66,2.1724818959842,3038,GCA_000258765.1,130,19,4.279131007241607,GCA_000258765.1,Gillisia,Flavobacteriaceae,2981404,98.95,False,Marine,3.0,1.9696969696969697,1.0062373297949557e-06,43.603617624448084,1.0062373297949556,22.137221255489028
53,GCA_000260115.1,122,3.1035359959297883,3931,GCA_000260115.1,148,78,3.7649453065377765,GCA_000260115.1,Joostella,Flavobacteriaceae,4508243,99.67,False,Unclassified,1.0,1.2131147540983607,2.2181590477709386e-07,32.82875390700989,0.22181590477709387,27.061540382805454
54,GCA_000260835.1,70,2.5839793281653747,2709,GCA_000260835.1,126,37,4.651162790697675,GCA_000260835.1,Imtechella,Flavobacteriaceae,3086951,99.67,False,Unclassified,1.0,1.8,3.239442414213896e-07,40.81697441909508,0.32394424142138956,22.67609689949727
55,GCA_000264055.1,79,2.238594502691981,3529,GCA_000264055.1,158,30,4.477189005383962,GCA_000264055.1,Flavobacterium,Flavobacteriaceae,3955605,99.12,False,Non_marine,4.0,2.0,1.0112233147647452e-06,39.94332093320744,1.0112233147647451,19.97166046660372
56,GCA_000265385.1,72,2.2549326652051356,3193,GCA_000265385.1,150,10,4.697776385844034,GCA_000265385.1,Aequorivita,Flavobacteriaceae,3520671,99.49,False,Marine,3.0,2.0833333333333335,8.521102937479816e-07,42.60551468739908,0.8521102937479815,20.45064704995156
57,GCA_000265465.1,74,3.175965665236052,2330,GCA_000265465.1,79,42,3.3905579399141628,GCA_000265465.1,Ornithobacterium,Weeksellaceae,2399175,100.0,False,Non_marine,0.0,1.0675675675675675,0.0,32.92798566173789,0.0,30.84393593631144
58,GCA_000271925.1,80,3.6866359447004617,2170,GCA_000271925.1,87,50,4.009216589861751,GCA_000271925.1,Capnocytophaga,Flavobacteriaceae,2590781,100.0,False,Non_marine,4.0,1.0875,1.5439359791506886e-06,33.580607546527474,1.5439359791506886,30.878719583013773
59,GCA_000277585.1,88,4.009111617312073,2195,GCA_000277585.1,78,52,3.5535307517084282,GCA_000277585.1,Capnocytophaga,Flavobacteriaceae,2653757,100.0,False,Non_marine,3.0,0.8863636363636364,1.1304727599399643e-06,29.39229175843907,1.1304727599399642,33.16053429157229
60,GCA_000277665.1,82,3.891789273849074,2107,GCA_000277665.1,81,50,3.8443284290460373,GCA_000277665.1,Capnocytophaga,Flavobacteriaceae,2545989,100.0,False,Non_marine,3.0,0.9878048780487805,1.1783240226096813e-06,31.8147486104614,1.1783240226096814,32.207523284664624
61,GCA_000278705.1,224,4.856895056374675,4612,GCA_000278705.1,174,148,3.772766695576756,GCA_000278705.1,Flavobacterium,Flavobacteriaceae,5336938,99.65,False,Non_marine,5.0,0.7767857142857143,9.368667951548247e-07,32.60296447138791,0.9368667951548247,41.971632422936146
62,GCA_000282055.1,282,6.601123595505617,4272,GCA_000282055.1,148,197,3.464419475655431,GCA_000282055.1,Flavobacterium,Flavobacteriaceae,5102016,99.65,False,Unclassified,6.0,0.524822695035461,1.1760057200918224e-06,29.00814109559829,1.1760057200918224,55.27226884431566
63,GCA_000282115.1,131,3.2202556538839717,4068,GCA_000282115.1,178,68,4.375614552605703,GCA_000282115.1,Chryseobacterium,Weeksellaceae,4484672,100.0,False,Unclassified,8.0,1.3587786259541985,1.7838539808485438e-06,39.6907510738801,1.7838539808485439,29.2106089363949
64,GCA_000283015.1,117,3.950033760972316,2962,GCA_000283015.1,113,53,3.8149898717083053,GCA_000283015.1,Arenitalea,Flavobacteriaceae,3384849,99.34,False,Unclassified,2.0,0.9658119658119658,5.908683075670436e-07,33.384059377537966,0.5908683075670436,34.56579599267205
65,GCA_000293175.1,41,1.586073500967118,2585,GCA_000293175.1,90,15,3.481624758220503,GCA_000293175.1,Capnocytophaga,Flavobacteriaceae,2785060,100.0,False,Non_marine,6.0,2.1951219512195124,2.154352150402505e-06,32.31528225603757,2.154352150402505,14.721406361083783
66,GCA_000295655.1,45,2.0737327188940093,2170,GCA_000295655.1,87,10,4.009216589861751,GCA_000295655.1,Riemerella,Weeksellaceae,2309519,100.0,False,Non_marine,0.0,1.9333333333333333,0.0,37.67018153996568,0.0,19.484576658602936
67,GCA_000297855.1,39,1.0976639459611597,3553,GCA_000297855.1,132,8,3.7151702786377707,GCA_000297855.1,Myroides,Flavobacteriaceae,4136542,99.65,False,Unclassified,1.0,3.3846153846153846,2.417478173798308e-07,31.910711894137666,0.24174781737983078,9.4281648778134
68,GCA_000297875.1,34,0.9093340465365072,3739,GCA_000297875.1,132,5,3.53035571008291,GCA_000297875.1,Myroides,Flavobacteriaceae,4227641,99.65,False,Non_marine,5.0,3.8823529411764706,1.1826926647745161e-06,31.223086350047225,1.1826926647745162,8.04231012046671
69,GCA_000300875.1,120,3.8338658146964857,3130,GCA_000300875.1,127,78,4.057507987220448,GCA_000300875.1,Galbibacter,Flavobacteriaceae,3572447,99.65,False,Marine,2.0,1.0583333333333333,5.598403559241047e-07,35.54986260118064,0.5598403559241046,33.59042135544628
70,GCA_000301075.1,32,1.5137180700094608,2114,GCA_000301075.1,87,3,4.115421002838222,GCA_000301075.1,Bergeyella,Weeksellaceae,2332784,100.0,False,Non_marine,0.0,2.71875,0.0,37.294494475270746,0.0,13.717515209294989
71,GCA_000301095.1,36,1.5517241379310345,2320,GCA_000301095.1,88,5,3.793103448275862,GCA_000301095.1,Bergeyella,Weeksellaceae,2499181,99.51,False,Non_marine,0.0,2.4444444444444446,0.0,35.21153529896394,0.0,14.404718985939793
72,GCA_000318255.2,83,3.7119856887298743,2236,GCA_000318255.2,84,51,3.7567084078711988,GCA_000318255.2,Capnocytophaga,Flavobacteriaceae,2634285,100.0,False,Unclassified,3.0,1.0120481927710843,1.138828942198737e-06,31.887210381564635,1.138828942198737,31.50760073416506
73,GCA_000318275.2,56,2.268124746861077,2469,GCA_000318275.2,77,29,3.1186715269339813,GCA_000318275.2,Capnocytophaga,Flavobacteriaceae,2656035,99.52,False,Unclassified,5.0,1.375,1.882505313371247e-06,28.990581825917204,1.882505313371247,21.084059509757964
74,GCA_000318295.1,89,2.9285949325436,3039,GCA_000318295.1,85,53,2.796972688384337,GCA_000318295.1,Capnocytophaga,Flavobacteriaceae,3218123,100.0,False,Non_marine,4.0,0.9550561797752809,1.2429605704940427e-06,26.412912122998407,1.2429605704940427,27.655872693492448
75,GCA_000318315.2,91,3.925798101811907,2318,GCA_000318315.2,83,60,3.580672993960311,GCA_000318315.2,Capnocytophaga,Flavobacteriaceae,2739607,100.0,False,Unclassified,4.0,0.9120879120879121,1.460063432455823e-06,30.296316223458327,1.460063432455823,33.21644308836997
76,GCA_000321285.1,39,1.9364448857994043,2014,GCA_000321285.1,84,5,4.1708043694141015,GCA_000321285.1,Riemerella,Weeksellaceae,2172634,100.0,False,Non_marine,0.0,2.1538461538461537,0.0,38.66274761418628,0.0,17.950561392300777
77,GCA_000331695.1,37,1.8435475834578976,2007,GCA_000331695.1,87,4,4.334828101644246,GCA_000331695.1,Riemerella,Weeksellaceae,2166321,100.0,False,Unclassified,0.0,2.3513513513513513,0.0,40.16025325886607,0.0,17.079647937678672
78,GCA_000331815.1,108,2.8776978417266186,3753,GCA_000331815.1,160,63,4.263256061817213,GCA_000331815.1,Elizabethkingia,Weeksellaceae,4032720,100.0,False,Non_marine,2.0,1.4814814814814814,4.959431847487551e-07,39.67545477990041,0.49594318474875515,26.78093197643278
79,GCA_000332115.1,92,2.662037037037037,3456,GCA_000332115.1,125,32,3.6168981481481484,GCA_000332115.1,Nonlabens,Flavobacteriaceae,3914632,98.54,False,Unclassified,3.0,1.358695652173913,7.663555603694038e-07,31.931481682058493,0.7663555603694038,23.50157051799505
80,GCA_000333355.1,107,2.8157894736842106,3800,GCA_000333355.1,131,69,3.4473684210526314,GCA_000333355.1,Chryseobacterium,Weeksellaceae,4165754,94.59,False,Unclassified,6.0,1.2242990654205608,1.4403154867042078e-06,31.4468881263752,1.4403154867042078,25.685626179558373
81,GCA_000335775.1,104,2.4287716020551144,4282,GCA_000335775.1,191,48,4.460532461466604,GCA_000335775.1,Flavobacterium,Flavobacteriaceae,5198514,99.65,False,Unclassified,13.0,1.8365384615384615,2.5007146272954157e-06,36.741268754878796,2.500714627295416,20.005717018363327
82,GCA_000348685.1,53,1.891506067094932,2802,GCA_000348685.1,137,6,4.889364739471805,GCA_000348685.1,Xanthomarina,Flavobacteriaceae,3055484,99.67,False,Unclassified,2.0,2.5849056603773586,6.545607831688859e-07,44.837413647068686,0.6545607831688859,17.345860753975476
83,GCA_000355805.1,69,2.313107609788803,2983,GCA_000355805.1,127,18,4.257458933959102,GCA_000355805.1,Dokdonia,Flavobacteriaceae,3305193,98.86,False,Unclassified,4.0,1.8405797101449275,1.21021677100248e-06,38.42438247932874,1.21021677100248,20.876239299792783
84,GCA_000355905.1,65,2.184873949579832,2975,GCA_000355905.1,118,23,3.966386554621849,GCA_000355905.1,Psychroflexus,Flavobacteriaceae,3311768,99.62,False,Marine,3.0,1.8153846153846154,9.058605554495363e-07,35.63051518101509,0.9058605554495363,19.62697870140662
85,GCA_000367325.1,103,2.9803240740740735,3456,GCA_000367325.1,157,58,4.542824074074074,GCA_000367325.1,Elizabethkingia,Weeksellaceae,3840286,100.0,False,Unclassified,3.0,1.5242718446601942,7.811918174844269e-07,40.88237178168501,0.7811918174844269,26.820919066965324
86,GCA_000374405.1,35,1.4736842105263157,2375,GCA_000374405.1,80,6,3.3684210526315788,GCA_000374405.1,Riemerella,Weeksellaceae,2436793,100.0,False,Non_marine,2.0,2.2857142857142856,8.207508803579131e-07,32.83003521431652,0.8207508803579131,14.36314040626348
87,GCA_000378485.1,149,3.7569339384770553,3966,GCA_000378485.1,148,102,3.7317196167423092,GCA_000378485.1,Flavobacterium,Flavobacteriaceae,4489248,99.46,False,Non_marine,3.0,0.9932885906040269,6.682633706135192e-07,32.96765961693362,0.6682633706135193,33.19041407380479
88,GCA_000378765.1,52,1.8745493871665464,2774,GCA_000378765.1,123,20,4.434030281182408,GCA_000378765.1,Psychroflexus,Flavobacteriaceae,3001811,99.62,False,Non_marine,3.0,2.3653846153846154,9.993966975269262e-07,40.97526459860397,0.9993966975269262,17.32287609046672
89,GCA_000379185.1,80,3.48280365694384,2297,GCA_000379185.1,87,48,3.7875489769264257,GCA_000379185.1,Capnocytophaga,Flavobacteriaceae,2657104,100.0,False,Non_marine,1.0,1.0875,3.763495896284075e-07,32.74241429767145,0.3763495896284075,30.107967170272595
90,GCA_000382125.1,93,2.6685796269727406,3485,GCA_000382125.1,182,49,5.222381635581062,GCA_000382125.1,Eudoraea,Flavobacteriaceae,3906474,99.28,False,Marine,6.0,1.956989247311828,1.5359119246665919e-06,46.589328381553294,1.535911924666592,23.806634832332175
91,GCA_000382425.1,50,1.4080540692762602,3551,GCA_000382425.1,152,16,4.280484370599831,GCA_000382425.1,Empedobacter,Weeksellaceae,3792478,100.0,False,Non_marine,2.0,3.04,5.273596840904549e-07,40.07933599087457,0.5273596840904549,13.18399210226137
92,GCA_000383355.1,53,2.2864538395168252,2318,GCA_000383355.1,116,22,5.0043140638481445,GCA_000383355.1,SCGC-AAA160-P02,Flavobacteriaceae,2544614,89.1,False,Marine,3.0,2.188679245283019,1.1789607382494948e-06,45.586481878980464,1.1789607382494947,20.828306375741075
93,GCA_000401415.1,96,2.8103044496487115,3416,GCA_000401415.1,155,58,4.537470725995316,GCA_000401415.1,Elizabethkingia,Weeksellaceae,3796928,100.0,False,Unclassified,2.0,1.6145833333333333,5.267416184873666e-07,40.822475432770915,0.5267416184873667,25.2835976873936
94,GCA_000403785.1,82,2.5285229725562752,3243,GCA_000403785.1,143,31,4.40949737897009,GCA_000403785.1,Gillisia,Flavobacteriaceae,3646721,96.58,False,Marine,3.0,1.7439024390243902,8.226568470689147e-07,39.21330971028494,0.8226568470689147,22.48595381988367
95,GCA_000411115.1,44,1.76,2500,GCA_000411115.1,89,14,3.56,GCA_000411115.1,Capnocytophaga,Flavobacteriaceae,2746278,100.0,False,Unclassified,4.0,2.022727272727273,1.456516783807029e-06,32.407498439706394,1.456516783807029,16.021684621877316
96,GCA_000411575.1,85,3.6449399656946815,2332,GCA_000411575.1,83,54,3.5591766723842198,GCA_000411575.1,Capnocytophaga,Flavobacteriaceae,2788212,100.0,False,Unclassified,3.0,0.9764705882352941,1.0759583561077852e-06,29.76818118564872,1.0759583561077852,30.48548675638725
97,GCA_000413415.1,40,1.1392765593847909,3511,GCA_000413415.1,130,8,3.7026488180005694,GCA_000413415.1,Myroides,Flavobacteriaceae,4040949,99.65,False,Unclassified,1.0,3.25,2.4746662232064793e-07,32.170660901684236,0.24746662232064792,9.898664892825916
98,GCA_000419685.1,49,1.7702312138728324,2768,GCA_000419685.1,123,12,4.44364161849711,GCA_000419685.1,Flavobacterium,Flavobacteriaceae,3079036,99.65,False,Non_marine,3.0,2.510204081632653,9.743309269524617e-07,39.94756800505093,0.9743309269524617,15.914071806890208
