Genome,BGC_full,Similarity2
GCA_002700155.1,GCA_002700155.1_contig1.region002,0.06
GCA_900142175.1,GCA_900142175.1_contig02.region002,0.06
GCA_902506355.1,GCA_902506355.1_contig1.region002,0.06
GCA_000688315.1,GCA_000688315.1_contig2.region001,0.06
GCA_000744105.1,GCA_000744105.1_contig1.region002,0.06
GCA_001447995.1,GCA_001447995.1_contig01.region003,0.06
GCA_900105105.1,GCA_900105105.1_contig1.region003,0.06
GCA_900112245.1,GCA_900112245.1_contig9.region002,0.06
GCA_000744105.1,GCA_000744105.1_contig1.region002,0.06
GCA_000943555.1,GCA_000943555.1_contig19.region001,0.06
GCA_000688315.1,GCA_000688315.1_contig2.region001,0.06
GCA_001447995.1,GCA_001447995.1_contig01.region003,0.06
GCA_001865655.1,GCA_001865655.1_contig1.region002,0.06
GCA_900105105.1,GCA_900105105.1_contig1.region003,0.06
GCA_900112245.1,GCA_900112245.1_contig9.region002,0.06
GCA_002295505.1,GCA_002295505.1_contig078.region001,0.06
GCA_002362375.1,GCA_002362375.1_contig18.region001,0.06
GCA_002388445.1,GCA_002388445.1_contig27.region001,0.06
GCA_002435115.1,GCA_002435115.1_contig02.region001,0.06
GCA_002700155.1,GCA_002700155.1_contig1.region002,0.06
GCA_900142175.1,GCA_900142175.1_contig02.region002,0.06
GCA_902506355.1,GCA_902506355.1_contig1.region002,0.06
GCA_002711455.1,GCA_002711455.1_contig08.region001,0.06
GCA_003258355.1,GCA_003258355.1_contig076.region001,0.06
GCA_003633785.1,GCA_003633785.1_contig1.region006,0.06
GCA_004341235.1,GCA_004341235.1_contig03.region001,0.06
GCA_010993815.1,GCA_010993815.1_contig2.region002,0.06
GCA_004151245.1,GCA_004151245.1_contig04.region002,0.06
GCA_008000935.1,GCA_008000935.1_contig1.region002,0.06
GCA_001447995.1,GCA_001447995.1_contig01.region003,0.06
GCA_900105105.1,GCA_900105105.1_contig1.region003,0.06
GCA_900112245.1,GCA_900112245.1_contig9.region002,0.06
GCA_000688315.1,GCA_000688315.1_contig2.region001,0.06
GCA_001865655.1,GCA_001865655.1_contig1.region002,0.06
GCA_002295505.1,GCA_002295505.1_contig078.region001,0.06
GCA_002362375.1,GCA_002362375.1_contig18.region001,0.06
GCA_002388445.1,GCA_002388445.1_contig27.region001,0.06
GCA_002435115.1,GCA_002435115.1_contig02.region001,0.06
GCA_002700155.1,GCA_002700155.1_contig1.region002,0.06
GCA_900142175.1,GCA_900142175.1_contig02.region002,0.06
GCA_902506355.1,GCA_902506355.1_contig1.region002,0.06
GCA_000744105.1,GCA_000744105.1_contig1.region002,0.06
GCA_000943555.1,GCA_000943555.1_contig19.region001,0.06
GCA_013407935.1,GCA_013407935.1_contig02.region001,0.06
GCA_002711455.1,GCA_002711455.1_contig08.region001,0.06
GCA_000424645.1,GCA_000424645.1_contig1.region003,0.06
GCA_002364325.1,GCA_002364325.1_contig1.region002,0.06
GCA_003992675.1,GCA_003992675.1_contig08.region001,0.06
GCA_007827275.1,GCA_007827275.1_contig1.region003,0.06
GCA_007997295.1,GCA_007997295.1_contig50.region001,0.06
GCA_003258355.1,GCA_003258355.1_contig076.region001,0.06
GCA_003633785.1,GCA_003633785.1_contig1.region006,0.06
GCA_004341235.1,GCA_004341235.1_contig03.region001,0.06
GCA_010993815.1,GCA_010993815.1_contig2.region002,0.06
GCA_000424645.1,GCA_000424645.1_contig1.region003,0.06
GCA_007997295.1,GCA_007997295.1_contig50.region001,0.06
GCA_000827575.1,GCA_000827575.1_contig184.region001,0.06
GCA_003992675.1,GCA_003992675.1_contig08.region001,0.06
GCA_004088395.1,GCA_004088395.1_contig1.region001,0.06
GCA_009659645.1,GCA_009659645.1_contig23.region001,0.06
GCA_008367235.1,GCA_008367235.1_contig15.region001,0.06
GCA_008367275.1,GCA_008367275.1_contig11.region001,0.06
GCA_006714895.1,GCA_006714895.1_contig1.region004,0.06
GCA_000335775.1,GCA_000335775.1_contig14.region001,0.07
GCA_002216065.1,GCA_002216065.1_contig1.region001,0.07
GCA_002895435.1,GCA_002895435.1_contig03.region001,0.07
GCA_003352465.1,GCA_003352465.1_contig1.region005,0.07
GCA_004337695.1,GCA_004337695.1_contig037.region001,0.07
GCA_008806755.1,GCA_008806755.1_contig30.region001,0.07
GCA_900312815.1,GCA_900312815.1_contig03.region001,0.07
GCA_002216065.1,GCA_002216065.1_contig1.region001,0.07
GCA_002895435.1,GCA_002895435.1_contig03.region001,0.07
GCA_008806755.1,GCA_008806755.1_contig30.region001,0.07
GCA_002790195.1,GCA_002790195.1_contig16.region001,0.07
GCA_002216065.1,GCA_002216065.1_contig1.region001,0.07
GCA_002895435.1,GCA_002895435.1_contig03.region001,0.07
GCA_008806755.1,GCA_008806755.1_contig30.region001,0.07
GCA_003384725.1,GCA_003384725.1_contig01.region001,0.08
GCA_006491595.2,GCA_006491595.2_contig05.region002,0.08
GCA_006491595.2,GCA_006491595.2_contig05.region002,0.08
GCA_000826645.1,GCA_000826645.1_contig06.region001,0.08
GCA_000934685.1,GCA_000934685.1_contig1.region002,0.08
GCA_002266855.1,GCA_002266855.1_contig01.region001,0.08
GCA_003362725.1,GCA_003362725.1_contig10.region001,0.08
GCA_005869935.1,GCA_005869935.1_contig10.region001,0.08
GCA_009498295.1,GCA_009498295.1_contig1.region002,0.08
GCA_009709615.1,GCA_009709615.1_contig299.region001,0.08
GCA_014243395.1,GCA_014243395.1_contig01.region001,0.08
GCA_000799465.1,GCA_000799465.1_contig1.region003,0.08
GCA_001971725.1,GCA_001971725.1_contig1.region002,0.08
GCA_006974145.1,GCA_006974145.1_contig1.region002,0.08
GCA_007997375.1,GCA_007997375.1_contig91.region001,0.08
GCA_009901575.1,GCA_009901575.1_contig04.region001,0.08
GCA_013403975.1,GCA_013403975.1_contig14.region001,0.08
GCA_900104785.1,GCA_900104785.1_contig1.region001,0.08
GCA_003443635.1,GCA_003443635.1_contig1.region001,0.08
GCA_003626815.1,GCA_003626815.1_contig08.region001,0.08
GCA_006491595.2,GCA_006491595.2_contig05.region002,0.08
GCA_006494535.1,GCA_006494535.1_contig12.region001,0.08
GCA_013213835.1,GCA_013213835.1_contig19.region001,0.08
GCA_013394595.1,GCA_013394595.1_contig1.region004,0.08
GCA_013394615.1,GCA_013394615.1_contig1.region002,0.08
GCA_013394635.1,GCA_013394635.1_contig1.region004,0.08
GCA_013394655.1,GCA_013394655.1_contig1.region005,0.08
GCA_013404005.1,GCA_013404005.1_contig33.region001,0.08
GCA_000427335.1,GCA_000427335.1_contig124.region001,0.08
GCA_003386275.1,GCA_003386275.1_contig01.region001,0.08
GCA_013403915.1,GCA_013403915.1_contig55.region001,0.08
GCA_013403985.1,GCA_013403985.1_contig11.region001,0.08
GCA_900141855.1,GCA_900141855.1_contig35.region001,0.08
GCA_000240075.2,GCA_000240075.2_contig1.region004,0.08
GCA_000333355.1,GCA_000333355.1_contig602.region001,0.08
GCA_003248465.1,GCA_003248465.1_contig0536.region001,0.08
GCA_003476275.1,GCA_003476275.1_contig361.region001,0.08
GCA_000192225.1,GCA_000192225.1_contig01.region002,0.08
GCA_002302615.1,GCA_002302615.1_contig1.region002,0.08
GCA_000318275.2,GCA_000318275.2_contig049.region001,0.08
GCA_000318275.2,GCA_000318275.2_contig089.region001,0.08
GCA_000934685.1,GCA_000934685.1_contig1.region002,0.08
GCA_000799465.1,GCA_000799465.1_contig1.region003,0.08
GCA_003447455.1,GCA_003447455.1_contig222.region001,0.08
GCA_003517615.1,GCA_003517615.1_contig124.region001,0.08
GCA_003541615.1,GCA_003541615.1_contig434.region001,0.08
GCA_900141855.1,GCA_900141855.1_contig35.region001,0.08
GCA_900447295.1,GCA_900447295.1_contig2.region002,0.08
GCA_001278825.1,GCA_001278825.1_contig1.region002,0.08
GCA_000173675.1,GCA_000173675.1_contig64.region001,0.08
GCA_000318295.1,GCA_000318295.1_contig039.region001,0.08
GCA_002209445.1,GCA_002209445.1_contig1.region002,0.08
GCA_002302395.1,GCA_002302395.1_contig1.region002,0.08
GCA_002302495.1,GCA_002302495.1_contig1.region002,0.08
GCA_002302595.1,GCA_002302595.1_contig1.region002,0.08
GCA_002312885.1,GCA_002312885.1_contig1.region003,0.08
GCA_900446695.1,GCA_900446695.1_contig09.region003,0.08
GCA_900638125.1,GCA_900638125.1_contig1.region002,0.08
GCA_001898245.1,GCA_001898245.1_contig31.region002,0.08
GCA_002379575.1,GCA_002379575.1_contig17.region001,0.08
GCA_003992595.1,GCA_003992595.1_contig49.region001,0.08
GCA_004916905.1,GCA_004916905.1_contig02.region001,0.08
GCA_014353055.1,GCA_014353055.1_contig1.region001,0.08
GCA_001529295.1,GCA_001529295.1_contig34.region001,0.09
GCA_003076455.1,GCA_003076455.1_contig1.region002,0.09
GCA_003385115.1,GCA_003385115.1_contig01.region002,0.09
GCA_003709475.1,GCA_003709475.1_contig11.region001,0.09
GCA_004362055.1,GCA_004362055.1_contig10.region001,0.09
GCA_003755145.1,GCA_003755145.1_contig01.region005,0.09
GCA_000832125.1,GCA_000832125.1_contig16.region001,0.09
GCA_002217285.1,GCA_002217285.1_contig024.region002,0.09
GCA_002304005.1,GCA_002304005.1_contig12.region001,0.09
GCA_002482975.1,GCA_002482975.1_contig14.region001,0.09
GCA_003254625.1,GCA_003254625.1_contig41.region001,0.09
GCA_003312915.1,GCA_003312915.1_contig1.region005,0.09
GCA_004366435.1,GCA_004366435.1_contig02.region001,0.09
GCA_014207905.1,GCA_014207905.1_contig03.region001,0.09
GCA_900129555.1,GCA_900129555.1_contig08.region001,0.09
GCA_900142735.1,GCA_900142735.1_contig09.region002,0.09
GCA_900450525.1,GCA_900450525.1_contig4.region001,0.09
GCA_001275605.1,GCA_001275605.1_contig02.region001,0.09
GCA_001428525.1,GCA_001428525.1_contig10.region002,0.09
GCA_001429295.1,GCA_001429295.1_contig08.region002,0.09
GCA_002210235.1,GCA_002210235.1_contig24.region001,0.09
GCA_900110335.1,GCA_900110335.1_contig07.region001,0.09
GCA_900129795.1,GCA_900129795.1_contig15.region001,0.09
GCA_903819335.1,GCA_903819335.1_contig47.region001,0.09
GCA_003122385.1,GCA_003122385.1_contig1.region007,0.09
GCA_013393195.1,GCA_013393195.1_contig23.region001,0.09
GCA_014204385.1,GCA_014204385.1_contig03.region001,0.09
GCA_900112575.1,GCA_900112575.1_contig09.region001,0.09
GCA_902167265.1,GCA_902167265.1_contig1.region007,0.09
GCA_902167275.1,GCA_902167275.1_contig4.region007,0.09
GCA_902167285.2,GCA_902167285.2_contig2.region006,0.09
GCA_902168145.1,GCA_902168145.1_contig06.region001,0.09
GCA_001529295.1,GCA_001529295.1_contig34.region001,0.09
GCA_000832125.1,GCA_000832125.1_contig16.region001,0.09
GCA_002217285.1,GCA_002217285.1_contig024.region002,0.09
GCA_002304005.1,GCA_002304005.1_contig12.region001,0.09
GCA_002482975.1,GCA_002482975.1_contig14.region001,0.09
GCA_003254625.1,GCA_003254625.1_contig41.region001,0.09
GCA_003312915.1,GCA_003312915.1_contig1.region005,0.09
GCA_004366435.1,GCA_004366435.1_contig02.region001,0.09
GCA_014207905.1,GCA_014207905.1_contig03.region001,0.09
GCA_900129555.1,GCA_900129555.1_contig08.region001,0.09
GCA_900142735.1,GCA_900142735.1_contig09.region002,0.09
GCA_900450525.1,GCA_900450525.1_contig4.region001,0.09
GCA_001275605.1,GCA_001275605.1_contig02.region001,0.09
GCA_002210235.1,GCA_002210235.1_contig24.region001,0.09
GCA_903819335.1,GCA_903819335.1_contig47.region001,0.09
GCA_003076455.1,GCA_003076455.1_contig1.region002,0.09
GCA_003385115.1,GCA_003385115.1_contig01.region002,0.09
GCA_003755145.1,GCA_003755145.1_contig01.region005,0.09
GCA_004362055.1,GCA_004362055.1_contig10.region001,0.09
GCA_001428525.1,GCA_001428525.1_contig10.region002,0.09
GCA_001429295.1,GCA_001429295.1_contig08.region002,0.09
GCA_900110335.1,GCA_900110335.1_contig07.region001,0.09
GCA_900129795.1,GCA_900129795.1_contig15.region001,0.09
GCA_003122385.1,GCA_003122385.1_contig1.region007,0.09
GCA_013393195.1,GCA_013393195.1_contig23.region001,0.09
GCA_014204385.1,GCA_014204385.1_contig03.region001,0.09
GCA_900112575.1,GCA_900112575.1_contig09.region001,0.09
GCA_902167265.1,GCA_902167265.1_contig1.region007,0.09
GCA_902167275.1,GCA_902167275.1_contig4.region007,0.09
GCA_902167285.2,GCA_902167285.2_contig2.region006,0.09
GCA_902168145.1,GCA_902168145.1_contig06.region001,0.09
GCA_000153485.2,GCA_000153485.2_contig1.region004,0.09
GCA_000832125.1,GCA_000832125.1_contig16.region001,0.09
GCA_001428525.1,GCA_001428525.1_contig10.region002,0.09
GCA_002217285.1,GCA_002217285.1_contig024.region002,0.09
GCA_002304005.1,GCA_002304005.1_contig12.region001,0.09
GCA_002482975.1,GCA_002482975.1_contig14.region001,0.09
GCA_003122385.1,GCA_003122385.1_contig1.region007,0.09
GCA_003254625.1,GCA_003254625.1_contig41.region001,0.09
GCA_003312915.1,GCA_003312915.1_contig1.region005,0.09
GCA_004366435.1,GCA_004366435.1_contig02.region001,0.09
GCA_014204385.1,GCA_014204385.1_contig03.region001,0.09
GCA_014207905.1,GCA_014207905.1_contig03.region001,0.09
GCA_900129555.1,GCA_900129555.1_contig08.region001,0.09
GCA_900142735.1,GCA_900142735.1_contig09.region002,0.09
GCA_900450525.1,GCA_900450525.1_contig4.region001,0.09
GCA_902167265.1,GCA_902167265.1_contig1.region007,0.09
GCA_902167275.1,GCA_902167275.1_contig4.region007,0.09
GCA_902167285.2,GCA_902167285.2_contig2.region006,0.09
GCA_001275605.1,GCA_001275605.1_contig02.region001,0.09
GCA_002210235.1,GCA_002210235.1_contig24.region001,0.09
GCA_903819335.1,GCA_903819335.1_contig47.region001,0.09
GCA_001429295.1,GCA_001429295.1_contig08.region002,0.09
GCA_003385115.1,GCA_003385115.1_contig01.region002,0.09
GCA_013393195.1,GCA_013393195.1_contig23.region001,0.09
GCA_900110335.1,GCA_900110335.1_contig07.region001,0.09
GCA_900112575.1,GCA_900112575.1_contig09.region001,0.09
GCA_900129795.1,GCA_900129795.1_contig15.region001,0.09
GCA_902168145.1,GCA_902168145.1_contig06.region001,0.09
GCA_000153485.2,GCA_000153485.2_contig1.region004,0.09
GCA_000212355.1,GCA_000212355.1_contig1.region003,0.09
GCA_000355805.1,GCA_000355805.1_contig1.region003,0.09
GCA_000621125.1,GCA_000621125.1_contig01.region001,0.09
GCA_000797465.1,GCA_000797465.1_contig55.region001,0.09
GCA_001529295.1,GCA_001529295.1_contig34.region001,0.09
GCA_002338705.1,GCA_002338705.1_contig17.region001,0.09
GCA_003076455.1,GCA_003076455.1_contig1.region002,0.09
GCA_003095655.1,GCA_003095655.1_contig1.region004,0.09
GCA_003755145.1,GCA_003755145.1_contig01.region005,0.09
GCA_004362055.1,GCA_004362055.1_contig10.region001,0.09
GCA_001427905.1,GCA_001427905.1_contig29.region001,0.09
GCA_007827285.1,GCA_007827285.1_contig1.region003,0.09
GCA_008974325.1,GCA_008974325.1_contig01.region002,0.09
GCA_000153485.2,GCA_000153485.2_contig1.region004,0.09
GCA_000212355.1,GCA_000212355.1_contig1.region003,0.09
GCA_000355805.1,GCA_000355805.1_contig1.region003,0.09
GCA_000621125.1,GCA_000621125.1_contig01.region001,0.09
GCA_000797465.1,GCA_000797465.1_contig55.region001,0.09
GCA_003095655.1,GCA_003095655.1_contig1.region004,0.09
GCA_007827285.1,GCA_007827285.1_contig1.region003,0.09
GCA_008974325.1,GCA_008974325.1_contig01.region002,0.09
GCA_900182655.1,GCA_900182655.1_contig08.region001,0.1
GCA_900182655.1,GCA_900182655.1_contig08.region001,0.1
GCA_002924285.1,GCA_002924285.1_contig042.region001,0.1
GCA_900182655.1,GCA_900182655.1_contig08.region001,0.1
GCA_000766795.1,GCA_000766795.1_contig1.region002,0.1
GCA_000430665.1,GCA_000430665.1_contig011.region001,0.11
GCA_001005315.1,GCA_001005315.1_contig001.region001,0.11
GCA_003208535.1,GCA_003208535.1_contig18.region001,0.11
GCA_003217415.1,GCA_003217415.1_contig20.region001,0.11
GCA_004341805.1,GCA_004341805.1_contig20.region001,0.11
GCA_003352465.1,GCA_003352465.1_contig1.region010,0.11
GCA_007097385.1,GCA_007097385.1_contig12.region001,0.11
GCA_003996965.1,GCA_003996965.1_contig066.region001,0.11
GCA_900110335.1,GCA_900110335.1_contig16.region001,0.11
GCA_900129795.1,GCA_900129795.1_contig17.region001,0.11
GCA_903819335.1,GCA_903819335.1_contig49.region001,0.11
GCA_003208535.1,GCA_003208535.1_contig18.region001,0.11
GCA_003217415.1,GCA_003217415.1_contig20.region001,0.11
GCA_004341805.1,GCA_004341805.1_contig20.region001,0.11
GCA_003352465.1,GCA_003352465.1_contig1.region010,0.11
GCA_003996965.1,GCA_003996965.1_contig066.region001,0.11
GCA_900110335.1,GCA_900110335.1_contig16.region001,0.11
GCA_900129795.1,GCA_900129795.1_contig17.region001,0.11
GCA_903819335.1,GCA_903819335.1_contig49.region001,0.11
GCA_003208535.1,GCA_003208535.1_contig18.region001,0.11
GCA_003217415.1,GCA_003217415.1_contig20.region001,0.11
GCA_004341805.1,GCA_004341805.1_contig20.region001,0.11
GCA_003352465.1,GCA_003352465.1_contig1.region010,0.11
GCA_003996965.1,GCA_003996965.1_contig066.region001,0.11
GCA_900110335.1,GCA_900110335.1_contig16.region001,0.11
GCA_900129795.1,GCA_900129795.1_contig17.region001,0.11
GCA_903819335.1,GCA_903819335.1_contig49.region001,0.11
GCA_003248465.1,GCA_003248465.1_contig1016.region001,0.11
GCA_003061395.1,GCA_003061395.1_contig0378.region001,0.11
GCA_000213295.2,GCA_000213295.2_contig006.region001,0.11
GCA_009730375.1,GCA_009730375.1_contig1.region001,0.11
GCA_000430665.1,GCA_000430665.1_contig011.region001,0.11
GCA_002710605.1,GCA_002710605.1_contig014.region001,0.11
GCA_002690095.1,GCA_002690095.1_contig247.region001,0.11
GCA_013214625.1,GCA_013214625.1_contig122.region001,0.11
GCA_003626845.1,GCA_003626845.1_contig317.region001,0.11
GCA_003504555.1,GCA_003504555.1_contig249.region001,0.11
GCA_003507715.1,GCA_003507715.1_contig483.region001,0.11
GCA_003524725.1,GCA_003524725.1_contig212.region001,0.11
GCA_003054025.1,GCA_003054025.1_contig01.region002,0.11
GCA_000023285.1,GCA_000023285.1_contig1.region002,0.11
GCA_000183985.1,GCA_000183985.1_contig1.region002,0.11
GCA_000271925.1,GCA_000271925.1_contig55.region001,0.11
GCA_000277585.1,GCA_000277585.1_contig16.region001,0.11
GCA_000277665.1,GCA_000277665.1_contig06.region001,0.11
GCA_000318255.2,GCA_000318255.2_contig23.region001,0.11
GCA_000318315.2,GCA_000318315.2_contig02.region001,0.11
GCA_000411575.1,GCA_000411575.1_contig1.region001,0.11
GCA_001057035.1,GCA_001057035.1_contig69.region002,0.11
GCA_002998835.1,GCA_002998835.1_contig1.region003,0.11
GCA_013394735.1,GCA_013394735.1_contig1.region002,0.11
GCA_013394785.1,GCA_013394785.1_contig2.region002,0.11
GCA_900446705.1,GCA_900446705.1_contig23.region002,0.11
GCA_900460915.1,GCA_900460915.1_contig01.region002,0.11
GCA_900618145.1,GCA_900618145.1_contig2.region001,0.11
GCA_000769445.1,GCA_000769445.1_contig35.region001,0.11
GCA_002023765.1,GCA_002023765.1_contig12.region001,0.11
GCA_002023775.1,GCA_002023775.1_contig04.region001,0.11
GCA_003298875.1,GCA_003298875.1_contig03.region001,0.11
GCA_007923145.1,GCA_007923145.1_contig1.region002,0.11
GCA_008124555.1,GCA_008124555.1_contig06.region001,0.11
GCA_011601205.1,GCA_011601205.1_contig397.region001,0.11
GCA_001521735.1,GCA_001521735.1_contig03.region001,0.11
GCA_001521745.1,GCA_001521745.1_contig04.region001,0.11
GCA_001521765.1,GCA_001521765.1_contig01.region001,0.11
GCA_001675285.1,GCA_001675285.1_contig27.region001,0.11
GCA_002022125.1,GCA_002022125.1_contig1.region002,0.11
GCA_002023065.1,GCA_002023065.1_contig04.region001,0.11
GCA_002023205.1,GCA_002023205.1_contig18.region001,0.11
GCA_002023365.1,GCA_002023365.1_contig14.region002,0.11
GCA_002023405.1,GCA_002023405.1_contig07.region002,0.11
GCA_002023475.1,GCA_002023475.1_contig02.region001,0.11
GCA_002023515.1,GCA_002023515.1_contig09.region001,0.11
GCA_002023545.1,GCA_002023545.1_contig11.region001,0.11
GCA_002023575.1,GCA_002023575.1_contig18.region001,0.11
GCA_002023685.1,GCA_002023685.1_contig13.region001,0.11
GCA_002024805.1,GCA_002024805.1_contig1.region001,0.11
GCA_002557775.1,GCA_002557775.1_contig1.region002,0.11
GCA_002738605.1,GCA_002738605.1_contig11.region001,0.11
GCA_003014895.1,GCA_003014895.1_contig37.region001,0.11
GCA_004119445.1,GCA_004119445.1_contig097.region001,0.11
GCA_005234115.1,GCA_005234115.1_contig1.region003,0.11
GCA_005844065.1,GCA_005844065.1_contig1.region002,0.11
GCA_009938095.1,GCA_009938095.1_contig1.region002,0.11
GCA_011601185.1,GCA_011601185.1_contig168.region001,0.11
GCA_900092045.1,GCA_900092045.1_contig34.region001,0.11
GCA_900157015.1,GCA_900157015.1_contig09.region001,0.11
GCA_900157035.1,GCA_900157035.1_contig036.region001,0.11
GCA_900447195.1,GCA_900447195.1_contig12.region001,0.11
GCA_000430665.1,GCA_000430665.1_contig011.region001,0.11
GCA_002846555.1,GCA_002846555.1_contig1.region006,0.11
GCA_001563495.1,GCA_001563495.1_contig01.region002,0.11
GCA_002023335.1,GCA_002023335.1_contig4.region001,0.11
GCA_900169075.1,GCA_900169075.1_contig4.region005,0.11
GCA_000829375.1,GCA_000829375.1_contig1.region001,0.12
GCA_900129245.1,GCA_900129245.1_contig22.region001,0.12
GCA_003385515.1,GCA_003385515.1_contig14.region001,0.13
GCA_003755145.1,GCA_003755145.1_contig02.region003,0.13
GCA_012927325.1,GCA_012927325.1_contig34.region001,0.13
GCA_003385515.1,GCA_003385515.1_contig14.region001,0.13
GCA_003755145.1,GCA_003755145.1_contig02.region003,0.13
GCA_012927325.1,GCA_012927325.1_contig34.region001,0.13
GCA_001027725.1,GCA_001027725.1_contig15.region001,0.13
GCA_003385515.1,GCA_003385515.1_contig14.region001,0.13
GCA_003755145.1,GCA_003755145.1_contig02.region003,0.13
GCA_012927325.1,GCA_012927325.1_contig34.region001,0.13
GCA_014075215.1,GCA_014075215.1_contig1.region004,0.13
GCA_900142445.1,GCA_900142445.1_contig66.region001,0.13
GCA_900446855.1,GCA_900446855.1_contig08.region001,0.13
GCA_003515005.1,GCA_003515005.1_contig47.region001,0.13
GCA_007474535.1,GCA_007474535.1_contig12.region001,0.13
GCA_003455775.1,GCA_003455775.1_contig079.region001,0.13
GCA_000277585.1,GCA_000277585.1_contig25.region001,0.13
GCA_000318315.2,GCA_000318315.2_contig18.region001,0.13
GCA_000318255.2,GCA_000318255.2_contig31.region001,0.13
GCA_001057035.1,GCA_001057035.1_contig29.region001,0.13
GCA_002695265.1,GCA_002695265.1_contig001.region001,0.13
GCA_002695265.1,GCA_002695265.1_contig037.region001,0.13
GCA_002999135.1,GCA_002999135.1_contig1.region001,0.13
GCA_007474545.1,GCA_007474545.1_contig01.region001,0.13
GCA_009832605.1,GCA_009832605.1_contig15.region001,0.13
