,orfs,pfam,ko,cog,cazymes,Orfs_anno_ko%,Orfs_anno_cog%,Orfs_anno_cazymes%
GCA_002023665.2,3748,5960,1382,2323,107,36.87299893276414,61.979722518676624,2.8548559231590183
GCA_002296255.1,2887,4506,1061,1785,66,36.750952545895395,61.82888811915483,2.28611014894354
GCA_000799375.1,4515,7164,1622,2734,115,35.92469545957918,60.55370985603544,2.547065337763012
GCA_003413745.1,3004,5331,1184,1949,46,39.41411451398136,64.88015978695073,1.5312916111850865
GCA_000769935.1,4048,6597,1478,2457,139,36.51185770750988,60.69664031620553,3.4337944664031625
GCA_001761365.1,3296,5758,1332,2168,149,40.4126213592233,65.77669902912622,4.520631067961165
GCA_000764795.1,4138,5868,1539,2471,143,37.191880135331076,59.7148380860319,3.455775737071049
GCA_003201365.1,4042,6289,1436,2403,90,35.52696684809501,59.45076694705591,2.2266204849084614
GCA_002780665.1,2251,3980,1013,1553,47,45.002221235006665,68.99155930697468,2.087960906263883
GCA_002364135.1,3042,4709,1126,1819,48,37.01512163050625,59.796186719263645,1.5779092702169626
GCA_006777745.1,2423,4189,999,1571,57,41.22988031366075,64.83697895171275,2.3524556335121747
GCA_000764815.1,3624,4762,1247,2048,67,34.409492273730685,56.5121412803532,1.84878587196468
GCA_000335775.1,4282,7161,1619,2655,104,37.80943484353106,62.00373657169547,2.4287716020551144
GCA_009789235.1,4312,6982,1584,2607,219,36.734693877551024,60.45918367346938,5.078849721706864
GCA_011524915.1,1812,3240,851,1249,44,46.96467991169978,68.92935982339957,2.4282560706401766
GCA_002430455.1,1192,2210,624,890,22,52.348993288590606,74.66442953020133,1.8456375838926176
GCA_009830375.1,3849,6840,1548,2443,192,40.2182385035074,63.471031436736816,4.9883086515978174
GCA_000297875.1,3739,5738,1324,2207,34,35.41053757689222,59.02647766782562,0.9093340465365072
GCA_001483385.1,2482,4232,1043,1589,28,42.02256244963739,64.02095084609186,1.1281224818694602
GCA_001670765.2,2445,3817,849,1342,35,34.7239263803681,54.88752556237218,1.4314928425357873
GCA_002338705.1,3096,5292,1172,1874,56,37.85529715762274,60.52971576227391,1.8087855297157622
GCA_001507325.1,3713,5590,1275,2111,94,34.338809587934286,56.85429571774845,2.5316455696202533
GCA_014204385.1,4728,7986,1784,2974,231,37.7326565143824,62.901861252115054,4.885786802030457
GCA_000971645.2,2500,4364,1012,1609,56,40.48,64.36,2.2399999999999998
GCA_006159205.1,3934,6543,1487,2492,107,37.79867819013727,63.345195729537366,2.7198779867819014
GCA_902526805.1,1498,2796,754,1102,51,50.33377837116155,73.56475300400534,3.404539385847797
GCA_002695265.1,1582,2922,672,1050,33,42.47787610619469,66.3716814159292,2.0859671302149176
GCA_011601185.1,3956,6239,1459,2460,100,36.880687563195146,62.1840242669363,2.5278058645096055
GCA_003634825.1,2526,4808,1194,1828,88,47.26840855106889,72.3673792557403,3.483768804433888
GCA_003241955.1,3622,5590,1238,2061,61,34.18001104362231,56.902263942573164,1.684152401987852
GCA_003867015.1,3175,5382,1226,1980,36,38.61417322834645,62.36220472440945,1.1338582677165354
GCA_900099915.1,3278,5572,1311,2104,81,39.99389871873093,64.18547895057962,2.471018913971934
GCA_003008435.1,2834,4875,1136,1791,69,40.08468595624559,63.19689484827099,2.4347212420606916
GCA_003384725.1,4260,6634,1512,2588,87,35.49295774647888,60.75117370892019,2.0422535211267605
GCA_009495755.1,2496,4383,1069,1619,65,42.828525641025635,64.86378205128204,2.604166666666667
GCA_002378465.1,2846,4799,1196,1879,53,42.02389318341532,66.02248770203795,1.8622628250175683
GCA_009670965.1,1929,3376,844,1269,37,43.753240020736136,65.78538102643857,1.9180922757905652
GCA_014219235.1,3745,5942,1387,2282,107,37.03604806408545,60.93457943925233,2.857142857142857
GCA_000498515.1,2691,4727,1116,1743,51,41.47157190635451,64.77146042363434,1.89520624303233
GCA_002363835.1,2844,4565,1053,1724,47,37.0253164556962,60.618846694796055,1.6526019690576654
GCA_004364175.1,3759,6479,1509,2528,108,40.14365522745411,67.25192870444268,2.8731045490822025
GCA_003447455.1,3529,3918,1104,1886,44,31.283649759138566,53.44290167186172,1.2468121280816096
GCA_002211465.1,4523,7881,1760,2854,203,38.91222639840814,63.09971258014592,4.488171567543666
GCA_001648155.1,4368,6539,1448,2513,114,33.150183150183146,57.53205128205128,2.60989010989011
GCA_000278705.1,4612,7799,1738,2899,224,37.684301821335644,62.857762359063315,4.856895056374675
GCA_002477625.1,1393,2469,680,1020,18,48.81550610193826,73.22325915290739,1.2921751615218953
GCA_000626715.1,4965,8167,1732,3024,87,34.884189325276935,60.90634441087614,1.7522658610271902
GCA_013002065.1,2584,4395,1063,1679,59,41.137770897832816,64.97678018575851,2.28328173374613
GCA_000827655.1,2294,4018,904,1422,80,39.40714908456844,61.987794245858765,3.4873583260680032
GCA_900109375.1,4680,7691,1647,2796,130,35.19230769230769,59.743589743589745,2.7777777777777777
GCA_900129755.1,4298,6640,1535,2569,110,35.714285714285715,59.77198697068404,2.559329920893439
GCA_014303495.1,3137,5008,1165,1847,88,37.13739241313357,58.87790883009244,2.8052279247688876
GCA_001678675.1,3997,6636,1508,2519,103,37.72829622216663,63.02226670002502,2.5769326995246438
GCA_900446705.1,2612,4183,1008,1532,96,38.59111791730474,58.652373660030634,3.6753445635528332
GCA_001596175.2,3561,5858,1384,2279,104,38.865487222690255,63.998876720022466,2.9205279415894414
GCA_013391805.1,3245,5733,1310,2140,89,40.36979969183359,65.94761171032357,2.7426810477657937
GCA_001544435.1,4495,6842,1546,2650,92,34.393770856507224,58.954393770856505,2.046718576195773
GCA_003129485.1,2980,5270,1253,1905,121,42.04697986577181,63.92617449664429,4.060402684563758
GCA_002302395.1,2766,4254,959,1475,82,34.67100506146059,53.326102675343456,2.9645697758496024
GCA_009697265.1,3890,6088,1396,2349,103,35.886889460154244,60.38560411311054,2.647814910025707
GCA_003385395.1,3575,5517,1344,2175,92,37.59440559440559,60.83916083916085,2.5734265734265733
GCA_900108955.1,2846,4810,1116,1771,52,39.212930428671825,62.22768798313423,1.8271257905832747
GCA_008629655.1,3203,4846,1127,1865,32,35.185763346862316,58.226662503902595,0.9990633780830472
GCA_902705425.1,3007,4721,1139,1778,42,37.878284003990686,59.12869970069837,1.3967409378117726
GCA_003634455.1,3345,5814,1300,2090,71,38.86397608370702,62.4813153961136,2.1225710014947685
GCA_009932355.1,2020,3397,844,1287,35,41.78217821782178,63.71287128712871,1.7326732673267329
GCA_002023385.1,3871,6254,1447,2414,115,37.38052182898476,62.36114699044175,2.970808576595195
GCA_900299465.1,1334,2541,718,997,29,53.823088455772115,74.73763118440779,2.1739130434782608
GCA_014220895.1,5031,7312,1615,2804,92,32.10097396143908,55.734446432120855,1.828662293778573
GCA_900610045.1,2416,4232,1014,1584,56,41.97019867549669,65.56291390728477,2.3178807947019866
GCA_010671595.1,2998,5050,1218,1980,70,40.62708472314876,66.04402935290193,2.334889926617745
GCA_902705395.1,3045,4734,1128,1792,37,37.04433497536946,58.85057471264368,1.2151067323481117
GCA_003054025.1,2344,3877,917,1367,66,39.12116040955632,58.31911262798635,2.8156996587030716
GCA_003687725.1,2694,4385,1099,1705,42,40.794357832219745,63.28878990348924,1.55902004454343
GCA_900156975.1,3450,5721,1341,2203,90,38.869565217391305,63.85507246376812,2.608695652173913
GCA_002022085.1,3898,6261,1402,2400,113,35.96716264751155,61.570035915854284,2.8989225243714727
GCA_013214065.1,3287,5481,1258,2131,70,38.27198052935808,64.83115302707635,2.129601460298144
GCA_013001145.1,2435,4187,1051,1672,65,43.162217659137575,68.66529774127311,2.6694045174537986
GCA_014219985.1,4346,6693,1526,2605,94,35.112747353888636,59.94017487344685,2.1629084215370455
GCA_002784145.1,2677,4660,1155,1786,73,43.14531191632424,66.71647366454987,2.7269331341053418
GCA_002697885.1,2628,4628,1101,1756,94,41.89497716894977,66.81887366818874,3.576864535768645
GCA_000218485.2,3566,5539,1282,2031,117,35.950644980370164,56.95457094784072,3.280987100392597
GCA_014218945.1,4167,6225,1366,2345,86,32.78137748980082,56.27549796016319,2.0638348932085435
GCA_002383165.1,2664,4604,1151,1814,66,43.205705705705704,68.09309309309309,2.4774774774774775
GCA_008124555.1,4002,6261,1436,2453,112,35.88205897051474,61.294352823588206,2.798600699650175
GCA_900453765.1,3727,5887,1379,2298,36,37.00026831231554,61.65817011000805,0.965924335927019
GCA_000735105.1,3959,6157,1425,2367,96,35.99393786309674,59.78782520838596,2.4248547613033593
GCA_013042345.1,2191,3521,902,1415,44,41.16841624828845,64.58238247375627,2.008215426745778
GCA_001280505.1,3576,6179,1415,2286,155,39.569351230425056,63.92617449664429,4.334451901565996
GCA_003386855.1,4659,7735,1724,2931,225,37.003648851684915,62.91049581455248,4.829362524146812
GCA_003055625.1,2996,5066,1136,1814,87,37.917222963951936,60.547396528704944,2.903871829105474
GCA_004362015.1,4292,7227,1631,2724,196,38.00093196644921,63.46691519105312,4.566635601118359
GCA_012522185.1,2457,4234,986,1550,43,40.13024013024013,63.085063085063084,1.7501017501017502
GCA_903819445.1,4604,7581,1650,2778,247,35.83840139009557,60.3388357949609,5.364900086880973
GCA_000355905.1,2975,5072,1228,1914,65,41.27731092436975,64.33613445378151,2.1848739495798317
GCA_900092065.1,3775,5932,1386,2315,108,36.71523178807947,61.32450331125828,2.8609271523178808
GCA_004213965.1,953,1869,472,697,18,49.527806925498425,73.13746065057713,1.888772298006296
GCA_900108395.1,2829,4590,1058,1713,30,37.39837398373984,60.55143160127253,1.0604453870625663
GCA_006539785.1,3162,5330,1219,1977,83,38.55154965211891,62.52371916508539,2.624920936116382
GCA_000423005.1,3840,6457,1513,2490,143,39.401041666666664,64.84375,3.7239583333333335
GCA_000186265.1,4280,6718,1547,2577,132,36.14485981308411,60.21028037383177,3.08411214953271
GCA_007997205.1,4255,6410,1469,2450,91,34.524089306698,57.57931844888367,2.138660399529965
GCA_000769435.1,2866,5066,1194,1912,84,41.66085136078158,66.71318911374739,2.930914166085136
GCA_000744495.1,4078,6456,1468,2484,133,35.9980382540461,60.91221186856303,3.2614026483570377
GCA_003312915.1,4117,7056,1614,2674,194,39.20330337624483,64.9502064610153,4.7121690551372355
GCA_004363695.1,2514,4341,1042,1602,55,41.44789180588703,63.72315035799523,2.1877486077963404
GCA_000429545.1,4103,7090,1600,2654,142,38.99585669022667,64.68437728491348,3.4608822812576165
GCA_003433355.1,2394,4228,1012,1575,55,42.272347535505425,65.78947368421053,2.297410192147034
GCA_000832125.1,4502,7725,1726,2890,205,38.33851621501555,64.19369169258108,4.553531763660596
GCA_003095375.1,3121,5406,1205,1986,43,38.60942005767382,63.63345081704582,1.3777635373277797
GCA_013403955.1,3648,6284,1464,2323,118,40.131578947368425,63.67872807017544,3.234649122807018
GCA_002700465.1,1094,2054,560,816,23,51.18829981718464,74.58866544789763,2.1023765996343693
GCA_004364165.1,3843,6695,1521,2555,121,39.578454332552695,66.48451730418944,3.1485818371064274
GCA_009690765.1,2084,3480,860,1313,43,41.26679462571977,63.00383877159309,2.0633397312859887
GCA_004293045.1,1533,2738,693,1036,40,45.20547945205479,67.57990867579909,2.609262883235486
GCA_013003655.1,1771,3043,739,1134,34,41.727837380011294,64.03162055335969,1.9198193111236588
GCA_013457195.1,2497,4405,1025,1615,55,41.049259110933114,64.67761313576291,2.2026431718061676
GCA_000152985.1,3662,6542,1435,2420,156,39.18623702894593,66.08410704533043,4.2599672310212995
GCA_002375625.1,2597,4204,1016,1610,41,39.12206391990758,61.99460916442049,1.5787447054293418
GCA_900129445.1,3469,6036,1403,2327,109,40.443931968867105,67.07985010089364,3.1421158835399248
GCA_001686925.1,4998,8260,1815,3110,232,36.31452581032413,62.22488995598239,4.641856742697079
GCA_002979755.1,4505,7032,1577,2713,98,35.00554938956715,60.22197558268591,2.175360710321865
GCA_001670695.1,1915,3392,856,1297,38,44.699738903394255,67.72845953002611,1.9843342036553524
GCA_001278825.1,2232,3862,906,1375,85,40.59139784946236,61.60394265232975,3.8082437275985663
GCA_002428305.1,2698,4668,1064,1712,66,39.436619718309856,63.45441067457376,2.446256486286138
GCA_900610335.1,2328,4179,996,1547,49,42.78350515463917,66.45189003436425,2.104810996563574
GCA_003443675.1,5073,8261,1736,2946,156,34.22038241671595,58.07214665878179,3.075103489059728
GCA_900141955.1,3074,5296,1190,1916,44,38.711776187378014,62.32921275211451,1.431359791802212
GCA_002480405.1,3750,6226,1445,2392,83,38.53333333333334,63.78666666666667,2.2133333333333334
GCA_900187185.1,2626,4489,1021,1656,66,38.88042650418888,63.06169078446307,2.513328255902513
GCA_900112115.1,2980,4904,1174,1880,65,39.395973154362416,63.08724832214765,2.1812080536912752
GCA_003253545.1,2851,4905,1158,1815,42,40.61732725359523,63.66187302700806,1.473167309715889
GCA_900142685.1,5172,8083,1749,2971,198,33.816705336426914,57.443928847641146,3.82830626450116
GCA_002433505.1,3091,5483,1309,2096,150,42.34875444839858,67.80977030087351,4.852798447104497
GCA_003515005.1,4427,6613,1512,2551,103,34.154054664558394,57.623672916196064,2.326632030720578
GCA_006714895.1,3195,5502,1293,2075,81,40.46948356807511,64.94522691705791,2.535211267605634
GCA_900186405.1,2409,4246,1018,1583,56,42.258198422581984,65.71191365711914,2.3246160232461603
GCA_008000935.1,3670,5882,1300,2136,95,35.42234332425068,58.2016348773842,2.588555858310627
GCA_014145665.1,3047,5066,1174,1917,31,38.52970134558582,62.91434197571382,1.0173941581883819
GCA_012959395.1,1358,2525,694,1024,36,51.104565537555224,75.40500736377025,2.6509572901325478
GCA_009834475.1,3592,5473,1296,2148,50,36.080178173719375,59.79955456570156,1.3919821826280625
GCA_002023715.1,3761,6106,1420,2365,115,37.75591597979261,62.88221217761234,3.057697420898697
GCA_002899825.2,4629,7178,1636,2798,106,35.34240656729315,60.445020522791104,2.2899114279542014
GCA_013001285.1,2551,4582,1073,1703,63,42.06193649549196,66.75813406507251,2.4696197569580556
GCA_013042315.1,2679,4382,1102,1751,64,41.13475177304964,65.36020903322135,2.388951101157148
GCA_002023515.1,3858,6289,1445,2451,106,37.45463970969414,63.530326594090205,2.747537584240539
GCA_013376415.1,3365,5850,1339,2221,93,39.791976225854384,66.00297176820207,2.763744427934621
GCA_012273575.1,3368,5227,1227,2051,62,36.4311163895487,60.89667458432304,1.840855106888361
GCA_009994075.1,2525,3950,1012,1577,69,40.07920792079208,62.45544554455446,2.732673267326733
GCA_000827715.1,2294,3848,893,1391,72,38.927637314734085,60.63644289450741,3.1386224934612033
GCA_007994155.1,2747,4919,1183,1838,79,43.065161994903534,66.90935566072078,2.875864579541318
GCA_014202225.1,3559,6443,1464,2315,201,41.13515032312448,65.04636133745434,5.647653835347008
GCA_000967805.1,3595,5575,1276,2094,53,35.49374130737135,58.24756606397775,1.4742698191933241
GCA_002836595.1,4083,6161,1430,2351,42,35.023267205486164,57.58021062943913,1.0286554004408524
GCA_002483315.1,2583,4286,1023,1589,56,39.60511033681765,61.517615176151764,2.168021680216802
GCA_002893765.1,3648,6172,1341,2306,187,36.75986842105263,63.21271929824561,5.12609649122807
GCA_002217195.1,4931,8035,1799,3043,209,36.483471912390996,61.71162036098154,4.238491178259988
GCA_000799335.1,4635,7243,1640,2832,111,35.382955771305284,61.10032362459547,2.394822006472492
GCA_002843925.1,3750,6109,1404,2362,108,37.44,62.98666666666667,2.88
GCA_000064305.2,2505,4382,1015,1611,56,40.5189620758483,64.31137724550898,2.2355289421157685
GCA_006175945.1,4607,6393,1409,2484,78,30.58389407423486,53.91795094421532,1.6930757542869546
GCA_002478375.1,2914,4259,1144,1838,43,39.25875085792725,63.07481125600549,1.4756348661633494
GCA_002217395.1,4233,7215,1620,2680,175,38.27072997873848,63.31207181667848,4.134183793999528
GCA_900129585.1,3196,5346,1258,2041,74,39.361702127659576,63.86107634543179,2.3153942428035044
GCA_002023335.1,4046,6530,1465,2517,113,36.20860108749382,62.20958971824023,2.7928818586258033
GCA_000735205.1,3581,5919,1373,2297,110,38.3412454621614,64.14409382853951,3.0717676626640604
GCA_002453055.1,2495,4357,1023,1630,51,41.00200400801603,65.33066132264528,2.0440881763527057
GCA_002023365.1,3994,6475,1463,2505,109,36.629944917376065,62.7190786179269,2.729093640460691
GCA_013366395.1,3575,6064,1299,2154,100,36.33566433566433,60.251748251748246,2.797202797202797
GCA_003565575.1,2197,3755,920,1457,55,41.87528447883477,66.31770596267637,2.5034137460172965
GCA_003497625.1,2388,4050,995,1527,48,41.66666666666667,63.94472361809045,2.0100502512562812
GCA_002707025.1,2826,4897,1140,1813,57,40.339702760084926,64.15428167020524,2.0169851380042463
GCA_009495795.1,2660,4407,1085,1653,60,40.78947368421053,62.142857142857146,2.2556390977443606
GCA_900610305.1,2132,3678,876,1349,46,41.088180112570356,63.27392120075047,2.1575984990619137
GCA_900186785.1,2375,4192,1014,1572,55,42.694736842105264,66.18947368421053,2.3157894736842106
GCA_002699605.1,1752,3056,673,1127,37,38.41324200913242,64.32648401826484,2.1118721461187215
GCA_003795085.1,2363,3904,883,1390,63,37.3677528565383,58.82352941176471,2.6661024121878967
GCA_003433335.1,2383,4235,1012,1573,55,42.4674779689467,66.00923206042803,2.308015107007973
GCA_014305215.1,2957,5166,1252,1921,73,42.34020967196483,64.9644910382144,2.4687182955698344
GCA_003510655.1,3217,4268,1068,1802,113,33.19863226608641,56.014920733602736,3.5125893689773076
GCA_004799345.1,3067,5489,1281,2048,85,41.76719921747637,66.77535050537985,2.7714378871861753
GCA_900186415.1,2358,4205,1006,1570,56,42.66327396098389,66.58184902459712,2.374893977947413
GCA_013403865.1,3518,5984,1399,2184,96,39.76691301876066,62.080727686185334,2.7288231949971573
GCA_002452975.1,3215,5382,1221,2078,77,37.97822706065318,64.63452566096423,2.3950233281493
GCA_013394655.1,3994,6719,1502,2496,122,37.60640961442163,62.49374061091637,3.0545818728092136
GCA_000379185.1,2297,4044,908,1429,80,39.52982150631258,62.21158032215934,3.48280365694384
GCA_900157035.1,3791,6207,1433,2412,103,37.800052756528615,63.62437351622263,2.716961223951464
GCA_013043005.1,2025,3516,835,1313,49,41.23456790123457,64.8395061728395,2.419753086419753
GCA_900142565.1,3111,5112,1265,1985,54,40.66216650594664,63.805850208936036,1.7357762777242043
GCA_001027725.1,4299,7001,1556,2616,113,36.194463828797396,60.851360781577114,2.628518260060479
GCA_009690645.1,2106,3474,866,1321,46,41.12060778727445,62.72554605887939,2.184235517568851
GCA_003550275.1,2982,5398,1258,1972,95,42.18645204560698,66.13011401743796,3.1857813547954397
GCA_009753805.1,3672,5746,1297,2124,88,35.32135076252723,57.84313725490197,2.3965141612200433
GCA_000496015.1,3942,6165,1413,2370,106,35.84474885844749,60.12176560121766,2.6889903602232366
GCA_004801375.1,3524,5568,1261,2053,46,35.78320090805903,58.257661748013625,1.3053348467650396
GCA_003001695.1,4098,6778,1492,2610,85,36.40800390434358,63.689604685212295,2.0741825280624697
GCA_900610025.1,2416,4241,1015,1579,56,42.01158940397351,65.35596026490066,2.3178807947019866
GCA_009827835.1,1990,3553,911,1374,30,45.778894472361806,69.04522613065328,1.507537688442211
GCA_003634755.1,2946,5158,1271,1974,69,43.14324507807196,67.0061099796334,2.3421588594704685
GCA_014305155.1,3622,6042,1420,2259,88,39.20485919381557,62.368856985091114,2.4295969077857538
GCA_003815955.1,4688,6955,1618,2762,106,34.51365187713311,58.91638225255973,2.2610921501706485
GCA_003812705.1,4853,7176,1596,2766,99,32.88687409849578,56.99567277972388,2.0399752730269936
