ACCESION,HISTORY,MEROPS ID,NAME,Related EC entry
,,A01.A04,CG17283-RA g.p. (Drosophila melanogaster),
,,A01.A05,At1g01300 (Arabidopsis thaliana)-type peptidase,
,,A01.A06,At1g25510 (Arabidopsis thaliana)-type peptidase,
,,A01.A07,At1g79720 (Arabidopsis thaliana)-type peptidase,
,,A01.A08,At2g42980 (Arabidopsis thaliana),
,,A01.A09,ASPG1 peptidase,
,,A01.A10,At3g20015 (Arabidopsis thaliana)-type peptidase,
,,A01.A11,At3g25700 (Arabidopsis thaliana)-type peptidase,
,,A01.A12,At3g59080 (Arabidopsis thaliana),
,,A01.A13,At3g61820 (Arabidopsis thaliana),
,,A01.A14,At5g10760 (Arabidopsis thaliana),
,,A01.A15,At5g10770 (Arabidopsis thaliana),
,,A01.A16,At1g31450 (Arabidopsis thaliana),
,,A01.A17,At1g64830 (Arabidopsis thaliana),
,,A01.A18,At2g28010 (Arabidopsis thaliana),
,,A01.A19,At2g28030 (Arabidopsis thaliana),
,,A01.A20,At2g28040 (Arabidopsis thaliana),
,,A01.A21,At2g28220 (Arabidopsis thaliana),
,,A01.A22,At2g35615 (Arabidopsis thaliana),
,,A01.A23,At3g02740 (Arabidopsis thaliana)-type peptidase,
,,A01.A24,At1g44130 (Arabidopsis thaliana)-type peptidase,
,,A01.A25,At1g49050 (Arabidopsis thaliana)-type peptidase,
,,A01.A26,At1g77480 (Arabidopsis thaliana),
,,A01.A27,At4g33490 (Arabidopsis thaliana)-type peptidase,
,,A01.A28,At1g66180 (Arabidopsis thaliana),
,,A01.A29,At2g39710 (Arabidopsis thaliana)-type peptidase,
,,A01.A30,At3g12700 (Arabidopsis thaliana)-type peptidase,
,,A01.A31,At5g37540 (Arabidopsis thaliana),
,,A01.A32,At1g69100 (Arabidopsis thaliana),
,,A01.A33,At4g22050 (Arabidopsis thaliana),
,,A01.A34,At1g05840 (Arabidopsis thaliana)-type peptidase,
,,A01.A35,At1g08210 (Arabidopsis thaliana),
,,A01.A36,At1g09750 (Arabidopsis thaliana)-type peptidase,
,,A01.A37,A39 g.p. (Arabidopsis thaliana),
,,A01.A38,At2g17760 (Arabidopsis thaliana)-type peptidase,
,,A01.A39,At2g23945 (Arabidopsis thaliana)-type peptidase,
,,A01.A40,At2g36670 (Arabidopsis thaliana)-type peptidase,
,,A01.A41,At3g42550 (Arabidopsis thaliana),
,,A01.A42,At3g50050 (Arabidopsis thaliana),
,,A01.A43,At3g51330 (Arabidopsis thaliana),
,,A01.A44,At3g51340 (Arabidopsis thaliana),
,,A01.A45,At3g51350 (Arabidopsis thaliana),
,,A01.A46,At3g51360 (Arabidopsis thaliana),
,,A01.A47,At3g52500 (Arabidopsis thaliana)-type peptidase,
,,A01.A48,At3g54400 (Arabidopsis thaliana)-type peptidase,
,,A01.A49,At4g12920 (Arabidopsis thaliana),
,,A01.A50,At4g16560 (Arabidopsis thaliana)-type peptidase,
,,A01.A51,At4g30030 (Arabidopsis thaliana),
,,A01.A52,At4g30040 (Arabidopsis thaliana),
,,A01.A53,At4g35880 (Arabidopsis thaliana)-type peptidase,
,,A01.A54,At5g07030 (Arabidopsis thaliana)-type peptidase,
,,A01.A55,At5g10080 (Arabidopsis thaliana)-type peptidase,
,,A01.A56,At5g22850 (Arabidopsis thaliana)-type peptidase,
,,A01.A57,At5g24820-type peptidase,
,,A01.A58,A36 g.p. (Arabidopsis thaliana),
,,A01.A59,At5g43100 (Arabidopsis thaliana)-type peptidase,
,,A01.A60,At5g45120 (Arabidopsis thaliana)-type peptidase,
,,A01.A62,yapsin-6 (Saccharomyces cerevisiae),
,,A01.A63,CG13374 g.p. (Drosophila melanogaster),
,,A01.A64,CG10104 g.p.(Drosophila melanogaster),
,,A01.A65,CG5863 g.p. (Drosophila melanogaster),
,,A01.A66,CG5860 g.p. (Drosophila melanogaster),
,,A01.A67,CG31928 g.p. (Drosophila melanogaster),
,,A01.A68,CG10872 g.p. (Drosophila melanogaster),
,,A01.A69,asp-3 g.p. (Caenorhabditis elegans),
,,A01.A70,K10C2.3 protein (Caenorhabditis elegans),
,,A01.A71,asp-6 g.p. (Caenorhabditis elegans),
,,A01.A72,F59D6.3 protein (Caenorhabditis elegans),
,,A01.A73,Y39B6B.h protein (Caenorhabditis elegans),
,,A01.A74,F21F8.4 protein (Caenorhabditis elegans),
,,A01.A75,C11D2.2 g.p. (Caenorhabditis elegans),
,,A01.A76,C15C8.3 g.p. (Caenorhabditis elegans),
,,A01.A77,F59D6.2 g.p. (Caenorhabditis elegans),
,,A01.A78,CG17134 g.p. (Drosophila melanogaster),
,,A01.A79,CG6508 g.p. (Drosophila melanogaster),
,,A01.A81,CG10872 g.p. (Drosophila melanogaster),
,,A01.A82,Ceasp1 protein (Caenorhabditis elegans),
,,A01.A83,F28A12.4 g.p. (Caenorhabditis elegans),
,,A01.A84,asp-2 g.p. (Caenorhabditis elegans),
,,A01.A85,Y39B6A.23 g.p. (Caenorhabditis elegans),
,,A01.A86,Y39B6A.24 g.p. (Caenorhabditis elegans),
,,A01.A87,ZK384.3 g.p. domain 1 (Caenorhabditis elegans),
,,A01.A88,DDB_0205773 (Dictyostelium discoideum),
,,A01.A89,DDB_G0279411 (Dictyostelium discoideum),
,,A01.A90,DDB_G0277581 (Dictyostelium discoideum),
,,A01.A91,Sxa1 peptidase (Schizosaccharomyces pombe),
,,A01.A92,DDB_G0270722 g.p. (Dictyostelium discoideum),
,,A01.A93,plasmepsin-10,
,,A01.A94,SCRG_02223 g.p. (Saccharomyces cerevisiae),
,,A01.A95,plasmepsin-9,
,,A01.A96,hCG39993 g.p. (Homo sapiens),
,,A01.P01,napsin B pseudogene,
,,A01.P02,CYMP g.p. (Homo sapiens),
,,A01.UNA,subfamily A1A non-peptidase homologues,
,,A01.UNB,subfamily A1B non-peptidase homologues,
,,A01.UNW,family A1 non-peptidase homologues,
,,A01.UPA,subfamily A1A unassigned peptidases,
,,A01.UPB,subfamily A1B unassigned peptidases,
,,A01.UPW,family A1 unassigned peptidases,
,,A02.005,bovine immunodeficiency virus retropepsin,
,,A02.006,Visna lentivirus-type retropepsin,
,,A02.010,mouse mammary tumor virus retropepsin,
,,A02.016,intracisternal A-particle retropepsin,
,,A02.018,simian T-cell lymphotropic virus retropepsin,
,,A02.019,multiple-sclerosis-associated retrovirus retropepsin,
,,A02.020,porcine endogenous retrovirus peptidase,
,,A02.021,Gypsy transposon peptidase,
,,A02.022,Ty3 transposon peptidase,
,,A02.024,rabbit endogenous retrovirus endopeptidase,
,,A02.051,retrotransposon peptidase (Schizosaccharomyces pombe),
,,A02.052,retrotransposon 17.6 peptidase,
,,A02.053,S71-related human endogenous retropepsin,
,,A02.054,Osvaldo retrotransposon peptidase,
,,A02.055,RTVL-H-type putative peptidase,
,,A02.056,human endogenous retrovirus retropepsin homologue 1,
,,A02.057,human endogenous retrovirus retropepsin homologue 2,
,,A02.060,type D-like endogenous retrovirus peptidase (Mus musculus),
,,A02.061,Ulysses retrotransposon retropepsin,
,,A02.062,TED retrotransposon peptidase (Trichoplusia ni),
,,A02.063,walleye dermal sarcoma virus retropepsin,
,,A02.P01,endogenous retrovirus retropepsin pseudogene 1 (Homo sapiens chromosome 14),
,,A02.P02,endogenous retrovirus retropepsin pseudogene 2 (Homo sapiens chromosome 8),
,,A02.P03,endogenous retrovirus retropepsin pseudogene 3 (Homo sapiens chromosome 17),
,,A02.P04,endogenous retrovirus retropepsin pseudogene 5 (Homo sapiens chromosome 12),
,,A02.P05,endogenous retrovirus retropepsin pseudogene 6 (Homo sapiens chromosome 7),
,,A02.P06,endogenous retrovirus retropepsin pseudogene 7 (Homo sapiens chromosome 6),
,,A02.P07,endogenous retrovirus retropepsin pseudogene 8 (Homo sapiens chromosome Y),
,,A02.P08,endogenous retrovirus retropepsin pseudogene 9 (Homo sapiens chromosome 19),
,,A02.P09,endogenous retrovirus retropepsin pseudogene 10 (Homo sapiens chromosome 12),
,,A02.P10,endogenous retrovirus retropepsin pseudogene 11 (Homo sapiens chromosome 17),
,,A02.P11,endogenous retrovirus retropepsin pseudogene 12 (Homo sapiens chromosome 11),
,,A02.P12,endogenous retrovirus retropepsin pseudogene 13 (Homo sapiens chromosome 2 and similar),
,,A02.P13,endogenous retrovirus retropepsin pseudogene 14 (Homo sapiens chromosome 2),
,,A02.P14,endogenous retrovirus retropepsin pseudogene 15 (Homo sapiens chromosome 4),
,,A02.P15,endogenous retrovirus retropepsin pseudogene 16,
,,A02.P16,endogenous retrovirus retropepsin pseudogene 17 (Homo sapiens chromosome 8),
,,A02.P17,endogenous retrovirus retropepsin pseudogene 18 (Homo sapiens chromosome 4),
,,A02.P18,endogenous retrovirus retropepsin pseudogene 19 (Homo sapiens chromosome 16),
,,A02.P19,endogenous retrovirus retropepsin pseudogene 21 (Homo sapiens),
,,A02.P20,endogenous retrovirus retropepsin pseudogene 22 (Homo sapiens chromosome X),
,,A02.UNA,subfamily A2A non-peptidase homologues,
,,A02.UNB,subfamily A2B non-peptidase homologues,
,,A02.UNC,subfamily A2D non-peptidase homologues,
,,A02.UND,subfamily A2D non-peptidase homologues,
,,A02.UNW,family A2 non-peptidase homologues,
,,A02.UPA,subfamily A2A unassigned peptidases,
,,A02.UPB,subfamily A2B unassigned peptidases,
,,A02.UPC,subfamily A2C unassigned peptidases,
,,A02.UPD,subfamily A2D unassigned peptidases,
,,A02.UPW,family A2 unassigned peptidases,
,,A03.001,cauliflower mosaic virus-type peptidase,
,,A03.002,bacilliform virus peptidase,
,,A03.003,banana streak virus peptidase,
,,A03.004,Commelina yellow mottle virus peptidase,
,,A03.005,cassava vein mosaic virus-type peptidase,
,,A03.006,retrotransposon peptidase (Nicotiana-type),
,,A03.UPA,subfamily A3A unassigned peptidases,
,,A03.UPW,family A3 unassigned peptidases,
,,A05.UPW,family A5 unassigned peptidases,
,,A08.UNW,family A8 non-peptidase homologues,
,,A08.UPW,family A8 unassigned peptidases,
,,A09.UPW,family A9 unassigned peptidases,
,,A11.001,Copia transposon peptidase,
,,A11.002,Tnt1 retrotransposon (plant) peptidase,
,,A11.003,Ty1 transposon peptidase,
,,A11.004,Evelknievel retrotransposon peptidase,
,,A11.005,Melmoth transposon peptidase,
,,A11.051,SIRE-1 peptidase,
,,A11.UNA,subfamily A11A non-peptidase homologues,
,,A11.UNB,subfamily A11B non-peptidase homologues,
,,A11.UNW,family A11 non-peptidase homologues,
,,A11.UPA,subfamily A11A unassigned peptidases,
,,A11.UPB,subfamily A11B unassigned peptidases,
,,A11.UPW,family A11 unassigned peptidases,
,,A22.002,presenilin 2,
,,A22.003,impas 1 peptidase,
,,A22.004,signal peptide peptidase-like protein 2B,
,,A22.005,impas 2 peptidase,
,,A22.006,signal peptide peptidase-like protein 2C,
,,A22.007,signal peptide peptidase-like protein 2A,
,,A22.008,yeast presenilin fold 1,
,,A22.009,SEL-12 peptidase (Caenorhabditis-type),
,,A22.010,hop-1 peptidase,
,,A22.012,SPE-4 peptidase,
,,A22.013,mSPP peptidase (Plasmodium-type),
,,A22.014,Psn peptidase (Drosophila-type),
,,A22.015,intramembrane aspartyl peptidase (Methanoculleus marisnigri JR1),
,,A22.A01,AtPS1 protein (Arabidopsis thaliana),
,,A22.A02,AtPS2 protein (Arabidopsis thaliana),
,,A22.A03,At1g01650 (Arabidopsis thaliana),
,,A22.A04,At1g05820 (Arabidopsis thaliana),
,,A22.A05,At1g63690 (Arabidopsis thaliana),
,,A22.A06,At2g43105 (Arabidopsis thaliana)-type peptidase,
,,A22.A07,imp-3 g.p. (Caenorhabditis elegans),
,,A22.A08,imp-1 g.p. (Caenorhabditis elegans),
,,A22.A09,psenA (Dictyostelium discoideum),
,,A22.A10,psenB (Dictyostelium discoideum),
,,A22.A11,SPAC25B8.17 (Schizosaccharomyces pombe),
,,A22.A12,DDB_G0292836 (Dictyostelium discoideum),
,,A22.A13,DDB_G0287521 (Dictyostelium discoideum),
,,A22.A14,At4g33410 g.p. (Arabidopsis thaliana),
,,A22.A15,At2g03120 g.p. (Arabidopsis thaliana),
,,A22.P01,possible family A22 pseudogene (Homo sapiens chromosome 18),
,,A22.P02,possible family A22 pseudogene (Homo sapiens chromosome 11),
,,A22.UNA,subfamily A22A non-peptidase homologues,
,,A22.UNB,subfamily A22B non-peptidase homologues,
,,A22.UPA,subfamily A22A unassigned peptidases,
,,A22.UPB,subfamily A22B unassigned peptidases,
,,A22.UPW,family A22 unassigned peptidases,
,,A24.003,type 4 prepilin peptidase 2,
,,A24.016,FlaK peptidase,
,,A24.017,PibD peptidase,
,,A24.018,EppA peptidase,
,,A24.019,ComC peptidase,
,,A24.A01,PppA protein (Escherichia coli),
,,A24.A10,gspO g.p. (Escherichia coli),
,,A24.UNA,subfamily A24A non-peptidase homologues,
,,A24.UNW,family A24 non-peptidase homologues,
,,A24.UPA,subfamily A24A unassigned peptidases,
,,A24.UPB,subfamily A24B unassigned peptidases,
,,A24.UPW,family A24 unassigned peptidases,
,,A25.UNW,family A25 non-peptidase homologues,
,,A25.UPW,family A25 unassigned peptidases,
,,A26.002,OmpP peptidase,
,,A26.004,protein E (Salmonella sp.),
,,A26.005,IcsP peptidase (Shigella flexneri),
,,A26.UNW,family A26 non-peptidase homologues,
,,A26.UPW,family A26 unassigned peptidases,
,,A28.001,DNA-damage inducible protein 1,
,,A28.002,nuclear receptor-interacting protein 3,
,,A28.003,DNA-damage inducible protein 2,
,,A28.004,skin SASPase,
,,A28.A01,gene name 1700011N24Rik (Mus musculus),
,,A28.A02,C01G5.6 (Caenorhabditis elegans),
,,A28.A03,At3g13235 (Arabidopsis thaliana),
,,A28.A04,DDB_G0288187 (Dictyostelium discoideum),
,,A28.A05,CG4420 g.p. (Drosophila melanogaster),
,,A28.A06,putative v-snare binding protein (Schizosaccharomyces pombe),
,,A28.A07,PF14_0090 (Plasmodium falciparum),
,,A28.A08,DDB_G0279931 (Dictyostelium discoideum),
,,A28.A09,K02A2.6 (Caenorhabditis elegans),
,,A28.A10,nuclear receptor interacting protein 2,
,,A28.UNA,subfamily A28A non-peptidase homologues,
,,A28.UNB,subfamily A28B non-peptidase homologues,
,,A28.UPA,subfamily A28A unassigned peptidases,
,,A28.UPB,subfamily A28B unassigned peptidases,
,,A31.002,HyaD peptidase,
,,A31.004,hoxW peptidase,
,,A31.005,hupW peptidase,
,,A31.006,FrxA peptidase,
,,A31.007,TK2004 peptidase,
,,A31.008,TK2066 peptidase,
,,A31.UNW,family A31 non-peptidase homologues,
,,A31.UPW,family A31 unassigned peptidases,
,,A32.001,PerP peptidase (Caulobacter sp.),
,,A32.002,RC1339 g.p. (Rickettsia conorii),
,,A32.UPW,family A32 unassigned peptidases,
,,A36.001,sporulation factor SpoIIGA,
,,A36.UPW,family A36 unassigned peptidases,
,,A37.001,sso1175 g.p. (Sulfolobus solfataricus),
,,A37.UPW,family A37 unassigned peptidases,
,,A39.001,TseI g.p. (Aeromonas dhakensis),
,,A39.UNW,family A39 non-peptidase homologues,
,,A39.UPW,family A39 unassigned peptidases,
,,C01.008,asclepain A,EC 3.4.22.7
,,C01.011,calotropain,
,,C01.016,cathepsin-1,
,,C01.019,CC-I peptidase (Vasconcellea sp.),
,,C01.020,CC-III peptidase (Vasconcellea-type),
,,C01.021,brassicain,
,,C01.022,glycinain,
,,C01.023,cathepsin M,
,,C01.024,endopeptidase-B (Hordeum-type),
,,C01.027,comosain,
,,C01.029,pseudotzain,
,,C01.030,crustapain,
,,C01.031,cathepsin-2,
,,C01.035,cathepsin O,EC 3.4.22.42
,,C01.037,cathepsin W,
,,C01.038,cathepsin P,
,,C01.039,cathepsin Q,
,,C01.042,cathepsin R,
,,C01.044,SmCL2 peptidase,
,,C01.045,cathepsin-6,
,,C01.046,falcipain-2,
,,C01.047,granulovirus cathepsin,
,,C01.049,"cathepsin B, plant form",
,,C01.051,Mername-AA069 putative peptidase,
,,C01.052,cathepsin Q-like peptidase (Rattus norvegicus),
,,C01.053,cathepsin-3,
,,C01.054,2310051m13rik protein,
,,C01.055,papain homologue (nematode),
,,C01.056,RCR3 peptidase,
,,C01.057,vinckepain-2,
,,C01.058,peptidase similar to cathepsin 7,
,,C01.061,SmCB2 peptidase (Schistosoma-type),
,,C01.062,cathepsin B-like peptidase (platyhelminth),
,,C01.063,falcipain-3,
,,C01.064,RD21 peptidase,
,,C01.065,XCP1 peptidase (Arabidopsis-type),
,,C01.066,CPL-1 peptidase (Caenorhabditis elegans-type),
,,C01.067,insect 26/29 kDa peptidase,
,,C01.068,vitellogenic cathepsin B,
,,C01.069,Mername-AA203 peptidase,
,,C01.071,toxopain-1,
,,C01.072,rhodesain,
,,C01.076,CPA peptidase,
,,C01.077,falcipain-1,
,,C01.079,papain homologue (Theileria-type),
,,C01.081,papain homologue (Dictyostelium-type),
,,C01.082,Mername-AA287 peptidase,
,,C01.087,L3 cysteine peptidase (Onchocerca volvulus-type),
,,C01.088,oligopeptidase E,
,,C01.089,peptidase G,
,,C01.091,peptidase W,
,,C01.092,cathepsin L1 (arthropod-type),
,,C01.093,miltpain,
,,C01.094,giardain,
,,C01.095,papain homologue (Archaeoglobus-type),
,,C01.096,melain G,
,,C01.097,phytolacain,
,,C01.099,ervatamin B,
,,C01.100,cruzipain 2,
,,C01.101,"cathepsin B-like peptidase, nematode",
,,C01.102,encystation-specific peptidase (Giardia sp.),
,,C01.104,SPG31-like peptidase,
,,C01.105,maize insect resistant 1 g.p. (Zea mays),
,,C01.107,papain homologue (Rattus-type),
,,C01.108,Mername-AA301 peptidase,
,,C01.109,Mername-AA302 peptidase,
,,C01.111,cathepsin Q2 (Rattus norvegicus),
,,C01.113,tetrain,
,,C01.114,testin-3,
,,C01.115,fascipain B,
,,C01.116,ervatamin C,
,,C01.117,senescence-associated gene 12,
,,C01.119,EhCP112 peptidase (Entamoeba sp.),
,,C01.120,Mername-AA249 peptidase,
,,C01.123,EhCP-B peptidase (Entamoeba histolytica),
,,C01.124,dipeptidylpeptidase I (Plasmodium-type),
,,C01.125,Cwp84 peptidase,
,,C01.126,ECP-1 peptidase,
,,C01.127,TsCL-1 peptidase,
,,C01.128,xylellain,
,,C01.129,cathepsin L3 (Fasciola sp.),
,,C01.130,CSCP3 peptidase (Clonorchis-type),
,,C01.131,WCP2 peptidase,
,,C01.132,Mername-AA303 peptidase,
,,C01.133,CmCatB (Callosobruchus maculatus)-type peptidase,
,,C01.134,mexicain,
,,C01.135,Mername-AA250 peptidase,
,,C01.137,ervatamin A,
,,C01.138,Kth-CL peptidase (Kudoa sp.),
,,C01.139,dipeptidylaminopeptidase 3 (Plasmodium sp.),
,,C01.140,PIP1 peptidase (Solanum sp.),
,,C01.141,GsCL1 peptidase (Gnathostoma spinigerum),
,,C01.142,cathepsin L2 (Fasciola sp.),
,,C01.143,intestain D4 (Leptinotarsa decemlineata),
,,C01.144,cathepsin B-like cysteine peptidase (Raphanus sativus),
,,C01.145,hieronymain I,
,,C01.146,hieronymain II,
,,C01.147,hieronymain III,
,,C01.148,cryptopain-1,
,,C01.149,TgCPL peptidase (Toxoplasma-type),
,,C01.150,asclepain f (Asclepias fruticosa),
,,C01.151,asclepain B,
,,C01.152,SmCL3 peptidase (Schistosoma-type),
,,C01.153,araujiain (Araujia sp.),
,,C01.154,Ta.61026 peptidase (Triticum aestivum),
,,C01.155,EhCP4 peptidase (Entamoeba histolytica),
,,C01.156,CysP peptidase (Mycoplasma sp.),
,,C01.157,vivapain-4 (Plasmodium vivax),
,,C01.158,asclepain cI (Asclepias curassavica),
,,C01.159,asclepain cII (Asclepias curassavica),
,,C01.160,morrenain b I (Morrenia brachystephana),
,,C01.161,morrenain b II (Morrenia brachystephana),
,,C01.162,At3g45310-type peptidase,
,,C01.163,At5g60360-type peptidase,
,,C01.164,CPXaC peptidase (Xanthomonas sp.),
,,C01.165,TgCPC1 (Toxoplasma gondii),
,,C01.166,SmCL1 peptidase (Schistosoma mansoni and similar),
,,C01.167,Cwp13 (Clostridium difficile),
,,C01.168,endopeptidase-A (Hordeum-type),
,,C01.169,SERA6 (Plasmodium sp.),
,,C01.170,macrodontain,
,,C01.171,Pd_dinase (Parabacteroides distasonis),
,,C01.172,endopeptidase (bacterium symbiont of Theonella swinhoei),
,,C01.972,testin,
,,C01.973,tubulointerstitial nephritis antigen,
,,C01.974,Mername-AA140 protein,
,,C01.975,tubulointerstitial nephritis antigen-related protein,
,,C01.977,protein similar to testin 1/2 precursor (Rattus norvegicus),
,,C01.978,Mername-AA305 nonpeptidase homologue,
,,C01.979,LOC311491 protein (Rattus norvegicus),
,,C01.984,serine-repeat antigen (Plasmodium sp.),
,,C01.987,papain-like protein SPE31 (Pachyrhizus erosus),
,,C01.988,silicatein,
,,C01.989,Mername-AA300 peptidase,
,,C01.990,allergen Blo t 1 (Blomia tropicalis-type),
,,C01.A01,AtCEP2 peptidase (Arabidopsis thaliana),
,,C01.A02,AtCEP3 peptidase (Arabidopsis thaliana),
,,C01.A03,AtCEP1 peptidase (Arabidopsis thaliana),
,,C01.A04,At2g21430 (Arabidopsis thaliana),
,,C01.A05,At3g54940 (Arabidopsis thaliana),
,,C01.A06,At4g16190 (Arabidopsis thaliana)-type peptidase,
,,C01.A12,At5g43060 (Arabidopsis thaliana)-type peptidase,
,,C01.A13,CP14 peptidase,
,,C01.A14,At1g29080 (Arabidopsis thaliana),
,,C01.A15,At1g29090 (Arabidopsis thaliana),
,,C01.A16,At2g27420 (Arabidopsis thaliana),
,,C01.A17,At2g34080 (Arabidopsis thaliana),
,,C01.A18,At3g43960 (Arabidopsis thaliana),
,,C01.A19,At3g49340 (Arabidopsis thaliana),
,,C01.A20,At4g11310 (Arabidopsis thaliana),
,,C01.A21,At4g11320 (Arabidopsis thaliana),
,,C01.A22,At4g23520 (Arabidopsis thaliana),
,,C01.A23,At5g17080 (Arabidopsis thaliana),
,,C01.A24,At5g17140 (Arabidopsis thaliana),
,,C01.A26,At1g06260 (Arabidopsis thaliana),
,,C01.A27,CG12163 g.p. (Drosophila melanogaster),
,,C01.A28,CG4847 g.p. (Drosophila melanogaster),
,,C01.A29,CG6347 g.p. (Drosophila melanogaster),
,,C01.A30,CG5367 g.p. (Drosophila melanogaster),
,,C01.A31,CG11459 g.p. (Drosophila melanogaster),
,,C01.A32,cpr-1 g.p. (Caenorhabditis elegans),
,,C01.A33,cathepsin B-like cysteine peptidase 3 (Caenorhabditis elegans),
,,C01.A34,cathepsin B-like cysteine peptidase 4 (Caenorhabditis elegans),
,,C01.A35,cathepsin B-like cysteine peptidase 5 (Caenorhabditis elegans),
,,C01.A36,tag-329 g.p. (Caenorhabditis elegans),
,,C01.A37,Y51A2D.1 g.p. (Caenorhabditis elegans),
,,C01.A38,cpz-1 g.p. (Caenorhabditis elegans),
,,C01.A39,W07B8.4 g.p (Caenorhabditis elegans),
,,C01.A40,cpr-2 g.p. (Caenorhabditis elegans),
,,C01.A41,cpz-2 g.p. (Caenorhabditis elegans),
,,C01.A42,F57F5.1 g.p. (Caenorhabditis elegans),
,,C01.A43,R07E3.1 g.p. (Caenorhabditis elegans),
,,C01.A44,R09F10.1 g.p. (Caenorhabditis elegans),
,,C01.A45,F15D4.4 g.p. (Caenorhabditis elegans),
,,C01.A46,Y65B4A.2 g.p. (Caenorhabditis elegans),
,,C01.A47,Y113G7B.15 g.p. (Caenorhabditis elegans),
,,C01.A48,Y40H7A.10 g.p. (Caenorhabditis elegans),
,,C01.A49,Y51A2D.8 g.p. (Caenorhabditis elegans),
,,C01.A51,cathepsin B-like cysteine peptidase 6 (Caenorhabditis elegans),
,,C01.A52,gmsA (Dictyostelium discoideum),
,,C01.A53,DDB_0203746 (Dictyostelium discoideum),
,,C01.A54,DDB_G0274385 (Dictyostelium discoideum),
,,C01.A55,cprC (Dictyostelium discoideum),
,,C01.A56,DDB_G0292462 (Dictyostelium discoideum),
,,C01.A57,cysteine proteinase 5 (Dictyostelium discoideum),
,,C01.A58,DDB_G0288563 (Dictyostelium discoideum),
,,C01.A59,ctsB (Dictyostelium discoideum),
,,C01.A60,ctsZ (Dictyostelium discoideum),
,,C01.A61,DDB_G0280187 (Dictyostelium discoideum),
,,C01.A62,DDB_G0278401 (Dictyostelium discoideum),
,,C01.A63,Cysteine endopeptidase 2 (Dictyostelium discoideum),
,,C01.A64,PFB0335c g.p. (Plasmodium falciparum),
,,C01.A65,ctsl1b g.p. (Brachydanio rerio),
,,C01.P01,pseudogene similar to cathepsin M (Mus musculus),
,,C01.P02,cathepsin L-like pseudogene 1 (Homo sapiens),
,,C01.P03,"cathepsin B-like pseudogene (chromosome 4, Homo sapiens)",
,,C01.P04,"cathepsin B-like pseudogene (chromosome 1, Homo sapiens)",
,,C01.P05,cathepsin 1 pseudogene (Mus musculus),
,,C01.P06,pseudogene (Mus musculus mouse chromosome X),
,,C01.P07,CTSLL2 g.p. (Homo sapiens),
